ranking,upper_ch,ascii_upper_ch,count_all,num_chars,base_frequency,actual_frequency,relative_frequency
60,9,57,27669429,115,0.008695652173913044,6.317441534481972e-05,0.007265057764654268
61,8,56,27669429,115,0.008695652173913044,8.789483874061876e-05,0.010107906455171158
62,0,48,27669429,115,0.008695652173913044,9.114752602953968e-05,0.010481965493397064
63,7,55,27669429,115,0.008695652173913044,9.591813405329037e-05,0.011030585416128393
64,6,54,27669429,115,0.008695652173913044,0.00012367439891874891,0.014222555875656125
65,5,53,27669429,115,0.008695652173913044,0.00015826130709094142,0.018200050315458263
66,Æ,198,27669429,115,0.008695652173913044,0.000166646012102382,0.01916429139177393
67,É,201,27669429,115,0.008695652173913044,0.00019194469101621142,0.022073639466864314
68,4,52,27669429,115,0.008695652173913044,0.00024138553780780948,0.02775933684789809
69,Ö,214,27669429,115,0.008695652173913044,0.00041760890692756975,0.04802502429667052
70,3,51,27669429,115,0.008695652173913044,0.000425053946722211,0.048881203873054266
71,',39,27669429,115,0.008695652173913044,0.00043260740942648295,0.04974985208404554
72,+,43,27669429,115,0.008695652173913044,0.0004427630219618916,0.050917747525617535
73,&,38,27669429,115,0.008695652173913044,0.0005971572452760048,0.06867308320674055
74,2,50,27669429,115,0.008695652173913044,0.0009650723186228383,0.1109833166416264
75,J,74,27669429,115,0.008695652173913044,0.0010688330431394158,0.12291579996103282
76,1,49,27669429,115,0.008695652173913044,0.001090951316704078,0.12545940142096898
77,Q,81,27669429,115,0.008695652173913044,0.0011281042337375304,0.129731986879816
78,Z,90,27669429,115,0.008695652173913044,0.0011922544552690263,0.137109262355938
79,`,96,27669429,115,0.008695652173913044,0.0013102185809472252,0.15067513680893088
80,X,88,27669429,115,0.008695652173913044,0.0017852916299790646,0.20530853744759242
81,),41,27669429,115,0.008695652173913044,0.002832693077981479,0.32575970396787013
82,(,40,27669429,115,0.008695652173913044,0.0029058785419821998,0.33417603232795295
83,],93,27669429,115,0.008695652173913044,0.0032804074128165057,0.37724685247389816
84,[,91,27669429,115,0.008695652173913044,0.0034565584999965123,0.3975042274995989
85,-,45,27669429,115,0.008695652173913044,0.00390181524887991,0.44870875362118967
86,*,42,27669429,115,0.008695652173913044,0.0040034436561737505,0.4603960204599813
87,"""",34,27669429,115,0.008695652173913044,0.004723697044850474,0.5432251601578045
88,K,75,27669429,115,0.008695652173913044,0.004942819745214114,0.5684242706996231
89,:,58,27669429,115,0.008695652173913044,0.006031205053056932,0.6935885811015471
90,;,59,27669429,115,0.008695652173913044,0.007470844447133333,0.8591471114203333
91,V,86,27669429,115,0.008695652173913044,0.007851372718967204,0.9029078626812285
92,W,87,27669429,115,0.008695652173913044,0.009554913475084723,1.098815049634743
93,B,66,27669429,115,0.008695652173913044,0.012708104673934543,1.4614320375024725
94,Y,89,27669429,115,0.008695652173913044,0.012876593875500648,1.4808082956825745
95,G,71,27669429,115,0.008695652173913044,0.01588265518598161,1.8265053463878853
96,",",44,27669429,115,0.008695652173913044,0.016714764876427337,1.9221979607891437
97,P,80,27669429,115,0.008695652173913044,0.019057241838998557,2.191582811484834
98,M,77,27669429,115,0.008695652173913044,0.019953176482246888,2.2946152954583923
99,U,85,27669429,115,0.008695652173913044,0.020321886656931014,2.3370169655470665
100,F,70,27669429,115,0.008695652173913044,0.02243454319205503,2.5799724670863284
101,"
",10,27669429,115,0.008695652173913044,0.024852916191367737,2.85808536200729
102,C,67,27669429,115,0.008695652173913044,0.02653809733478779,3.051881193500596
103,D,68,27669429,115,0.008695652173913044,0.02780259758884074,3.1972987227166847
104,H,72,27669429,115,0.008695652173913044,0.027995879495742396,3.2195261420103756
105,L,76,27669429,115,0.008695652173913044,0.03312012690973854,3.8088145946199323
106,.,46,27669429,115,0.008695652173913044,0.03370991139715966,3.876639810673361
107,S,83,27669429,115,0.008695652173913044,0.046605876832514326,5.359675835739147
108,R,82,27669429,115,0.008695652173913044,0.04990847480083525,5.739474602096053
109,I,73,27669429,115,0.008695652173913044,0.05251196184785743,6.038875612503604
110,N,78,27669429,115,0.008695652173913044,0.05572746007877503,6.408657909059128
111,O,79,27669429,115,0.008695652173913044,0.05918701827927132,6.806507102116202
112,T,84,27669429,115,0.008695652173913044,0.06023828681105056,6.927402983270815
113,A,65,27669429,115,0.008695652173913044,0.06070681834453469,6.981284109621489
114,E,69,27669429,115,0.008695652173913044,0.08750903388718285,10.063538897026028
115, ,32,27669429,115,0.008695652173913044,0.14036849116040667,16.142376483446768
