upper_ch1,ascii_upper_ch1,upper_ch2,ascii_upper_ch2,upper_ch1_ch2,count_ch1_ch2
O,79,T,84,OT,70052
I,73,L,76,IL,69129
S,83,S,83,SS,68715
S,83,O,79,SO,68134
B,66,E,69,BE,67887
U,85,N,78,UN,67694
L,76,.,46,L.,67635
E,69,C,67,EC,66765
H,72,O,79,HO,66117
R,82,T,84,RT,64651
T,84,.,46,T.,64351
S,83,H,72,SH,63335
N,78,C,67,NC,63192
O,79,L,76,OL,62998
L,76, ,32,L ,62947
G,71,E,69,GE,62935
C,67,T,84,CT,62736
F,70,O,79,FO,62464
N,78,I,73,NI,62031
N,78,S,83,NS,61866
L,76,Y,89,LY,61494
P,80,O,79,PO,59969
],93,"
",10,"]
",58556
Y,89,M,77,YM,58136
A,65,I,73,AI,56592
P,80,A,65,PA,56416
N,78,A,65,NA,56316
E,69,"
",10,"E
",55845
N,78,O,79,NO,54746
 ,32,V,86, V,54741
M,77,I,73,MI,54405
W,87,H,72,WH,54366
M,77,:,58,M:,53487
W,87,I,73,WI,52993
"
",10,S,83,"
S",51980
M,77,O,79,MO,51745
I,73,E,69,IE,51414
U,85,T,84,UT,51083
F,70,R,82,FR,50101
S,83,U,85,SU,49643
A,65,D,68,AD,49548
C,67,I,73,CI,48400
I,73,M,77,IM,48235
I,73,R,82,IR,48099
P,80,L,76,PL,47893
S,83,P,80,SP,47741
E,69,M,77,EM,47597
U,85,L,76,UL,47554
 ,32,U,85, U,47531
O,79,W,87,OW,46988
A,65,M,77,AM,46925
O,79,S,83,OS,46894
B,66,L,76,BL,46635
R,82,S,83,RS,45758
I,73,D,68,ID,45551
F,70,.,46,F.,45075
"
",10,T,84,"
T",44030
I,73,A,65,IA,43628
G,71,R,82,GR,43484
I,73,V,86,IV,42597
.,46,),41,.),42143
"
",10,A,65,"
A",41693
I,73,G,71,IG,41609
V,86,I,73,VI,41505
-,45, ,32,- ,40894
T,84,U,85,TU,40307
P,80,.,46,P.,40009
 ,32,-,45, -,39839
F,70,I,73,FI,39523
B,66,O,79,BO,39429
K,75,E,69,KE,39387
"
",10,C,67,"
C",39341
E,69,;,59,E;,39065
M,77, ,32,M ,38993
M,77,P,80,MP,38694
A,65,.,46,A.,38251
O,79,P,80,OP,37403
),41,"
",10,")
",36962
R,82,Y,89,RY,36938
A,65,P,80,AP,36757
-,45,-,45,--,36642
A,65,B,66,AB,36245
S,83,A,65,SA,35287
O,79,O,79,OO,35232
T,84,S,83,TS,35089
N,78,",",44,"N,",34703
"
",10,P,80,"
P",34682
R,82,D,68,RD,34130
W,87,A,65,WA,34124
O,79,B,66,OB,34023
O,79,D,68,OD,33271
W,87,E,69,WE,33213
A,65,K,75,AK,32860
U,85,M,77,UM,32735
D,68,.,46,D.,32347
R,82,M,77,RM,32335
F,70,E,69,FE,32175
C,67,U,85,CU,31816
],93, ,32,] ,31763
P,80,I,73,PI,31754
S,83,C,67,SC,31671
Y,89,",",44,"Y,",31266
T,84,T,84,TT,31107
A,65,G,71,AG,30906
T,84,",",44,"T,",30887
B,66,Y,89,BY,30145
R,82,U,85,RU,30098
R,82,",",44,"R,",29337
A,65,V,86,AV,29295
B,66,A,65,BA,29185
E,69,X,88,EX,29133
C,67,K,75,CK,29087
Y,89,.,46,Y.,29004
G,71,A,65,GA,28768
Q,81,U,85,QU,28588
V,86,.,46,V.,28156
L,76,U,85,LU,27651
G,71,H,72,GH,27552
B,66,R,82,BR,27548
E,69,I,73,EI,27189
U,85,C,67,UC,27079
B,66,S,83,BS,26989
C,67,R,82,CR,26956
G,71,.,46,G.,26803
A,65,U,85,AU,26708
G,71,I,73,GI,26502
C,67,L,76,CL,26112
E,69,P,80,EP,26014
W,87,O,79,WO,26000
P,80,H,72,PH,25737
I,73,F,70,IF,25385
O,79,C,67,OC,25359
L,76,S,83,LS,25121
S,83,;,59,S;,24831
R,82,N,78,RN,24830
F,70,A,65,FA,24816
D,68,",",44,"D,",24783
"
",10,I,73,"
I",24756
A,65,Y,89,AY,24582
D,68,O,79,DO,24169
O,79,V,86,OV,24114
S,83,"
",10,"S
",23919
B,66,I,73,BI,23901
U,85,A,65,UA,23537
R,82,"
",10,"R
",23344
N,78,"
",10,"N
",23287
[,91,O,79,[O,23285
"
",10, ,32,"
 ",23235
B,66,U,85,BU,23162
D,68,A,65,DA,22964
2,50,.,46,2.,22899
"
",10,B,66,"
B",22864
1,49,.,46,1.,22720
U,85,P,80,UP,22719
R,82,R,82,RR,22659
"
",10,1,49,"
1",22622
"
",10,M,77,"
M",22193
V,86,A,65,VA,22170
D,68,;,59,D;,22068
E,69,V,86,EV,21927
"
",10,2,50,"
2",21813
D,68,R,82,DR,21653
L,76,D,68,LD,21403
P,80,P,80,PP,21020
K,75,I,73,KI,20968
"
",10,O,79,"
O",20928
I,73,*,42,I*,20908
F,70,L,76,FL,20841
",",44,"
",10,",
",20834
F,70,F,70,FF,20592
O,79,I,73,OI,20408
U,85,I,73,UI,20347
D,68,"
",10,"D
",20141
T,84,;,59,T;,20086
Y,89,"
",10,"Y
",19989
L,76,T,84,LT,19903
"
",10,F,70,"
F",19897
N,78,;,59,N;,19845
"
",10,E,69,"
E",19742
R,82,C,67,RC,19555
G,71,O,79,GO,19166
),41, ,32,) ,19061
H,72,T,84,HT,18894
U,85,E,69,UE,18774
D,68,U,85,DU,18680
I,73,P,80,IP,18648
D,68,S,83,DS,18586
T,84,"
",10,"T
",18497
C,67,F,70,CF,18463
L,76,",",44,"L,",18209
P,80,U,85,PU,18190
M,77,B,66,MB,18174
"
",10,R,82,"
R",17953
"
",10,H,72,"
H",17594
H,72,.,46,H.,17469
"""",34,T,84,"""T",17407
U,85,B,66,UB,17250
E,69,G,71,EG,17139
Y,89,;,59,Y;,17012
G,71,U,85,GU,16986
),41,",",44,"),",16970
F,70,U,85,FU,16852
N,78,U,85,NU,16782
"
",10,W,87,"
W",16737
N,78,Y,89,NY,16718
O,79,G,71,OG,16583
 ,32,&,38, &,16361
&,38, ,32,& ,16225
K,75,.,46,K.,16125
K,75, ,32,K ,15946
M,77,.,46,M.,15932
G,71,L,76,GL,15874
S,83,M,77,SM,15835
E,69,Y,89,EY,15664
N,78,N,78,NN,15437
 ,32,K,75, K,15247
M,77,U,85,MU,15131
T,84,L,76,TL,15005
"""",34,I,73,"""I",14852
G,71,",",44,"G,",14777
H,72,R,82,HR,14548
H,72,Y,89,HY,14439
[,91,L,76,[L,14403
 ,32,J,74, J,14375
A,65,"
",10,"A
",14313
U,85,D,68,UD,14204
R,82,G,71,RG,14184
E,69,*,42,E*,14071
"
",10,L,76,"
L",14070
A,65,W,87,AW,14023
A,65,*,42,A*,14021
R,82,;,59,R;,13980
P,80,T,84,PT,13731
M,77,M,77,MM,13674
I,73,B,66,IB,13629
U,85,G,71,UG,13589
Z,90,O,79,ZO,13530
T,84,C,67,TC,13321
O,79,*,42,O*,13172
*,42,T,84,*T,12996
C,67, ,32,C ,12986
W,87, ,32,W ,12722
O,79,A,65,OA,12632
"
",10,G,71,"
G",12609
*,42,L,76,*L,12335
(,40,B,66,(B,12198
"
",10,N,78,"
N",12148
R,82,L,76,RL,12043
C,67,.,46,C.,12043
N,78,"""",34,"N""",12040
H,72,U,85,HU,11996
O,79,"
",10,"O
",11975
 ,32,+,43, +,11958
Y,89,S,83,YS,11929
L,76,"
",10,"L
",11851
H,72,",",44,"H,",11849
.,46,",",44,".,",11737
F,70,T,84,FT,11701
+,43, ,32,+ ,11654
V,86,O,79,VO,11344
S,83,L,76,SL,11330
A,65,",",44,"A,",11283
;,59,"
",10,";
",11163
R,82,K,75,RK,11123
C,67,C,67,CC,11108
A,65,F,70,AF,11072
O,79,Ö,214,OÖ,10929
(,40,A,65,(A,10888
O,79,",",44,"O,",10882
S,83,Y,89,SY,10737
F,70,"
",10,"F
",10721
Ö,214,L,76,ÖL,10653
E,69,O,79,EO,10560
 ,32,.,46, .,10539
(,40,Z,90,(Z,10528
Y,89,E,69,YE,10409
M,77,",",44,"M,",10319
G,71,N,78,GN,10302
I,73,.,46,I.,10274
I,73,Z,90,IZ,10209
W,87,N,78,WN,10193
E,69,W,87,EW,10144
N,78,*,42,N*,10089
T,84,"""",34,"T""",10083
 ,32,Q,81, Q,10060
T,84,W,87,TW,10060
P,80, ,32,P ,10038
R,82,V,86,RV,10008
Z,90,E,69,ZE,9960
*,42,A,65,*A,9908
"
",10,(,40,"
(",9789
O,79,E,69,OE,9777
"""",34, ,32,""" ",9752
3,51,.,46,3.,9737
E,69,"""",34,"E""",9573
 ,32,Y,89, Y,9564
N,78,F,70,NF,9444
R,82,P,80,RP,9383
G,71,;,59,G;,9355
R,82,"""",34,"R""",9336
B,66,.,46,B.,9227
R,82,*,42,R*,9158
I,73,K,75,IK,9102
',39,S,83,'S,8945
"
",10,3,51,"
3",8879
N,78,L,76,NL,8867
*,42,C,67,*C,8841
S,83,W,87,SW,8813
 ,32,"""",34," """,8759
W,87,.,46,W.,8721
D,68,Y,89,DY,8602
"
",10,U,85,"
U",8582
R,82,B,66,RB,8579
"""",34,",",44,""",",8486
*,42,N,78,*N,8481
"""",34,E,69,"""E",8415
J,74,E,69,JE,8398
D,68,V,86,DV,8361
N,78,K,75,NK,8303
L,76,"""",34,"L""",8275
.,46,"""",34,".""",8187
(,40,M,77,(M,8117
O,79,K,75,OK,7991
G,71,"
",10,"G
",7989
D,68,D,68,DD,7962
L,76,;,59,L;,7934
E,69,U,85,EU,7917
[,91,C,67,[C,7897
W,87,R,82,WR,7826
C,67,Y,89,CY,7803
M,77,S,83,MS,7745
[,91,F,70,[F,7691
D,68,L,76,DL,7674
J,74,U,85,JU,7649
S,83,K,75,SK,7572
A,65,"""",34,"A""",7547
Y,89,L,76,YL,7495
G,71,S,83,GS,7435
H,72,"
",10,"H
",7357
[,91,I,73,[I,7283
Y,89,O,79,YO,7236
S,83,"""",34,"S""",7213
(,40,C,67,(C,7017
R,82,F,70,RF,6987
X,88,T,84,XT,6972
A,65,),41,A),6949
P,80,S,83,PS,6942
J,74,O,79,JO,6903
M,77,Y,89,MY,6760
K,75,",",44,"K,",6724
"""",34,A,65,"""A",6721
Y,89,N,78,YN,6710
"
",10,V,86,"
V",6706
K,75,N,78,KN,6698
`,96,",",44,"`,",6625
*,42,P,80,*P,6481
X,88,I,73,XI,6425
D,68,G,71,DG,6399
L,76,F,70,LF,6369
I,73,U,85,IU,6257
E,69,B,66,EB,6207
N,78,V,86,NV,6188
*,42,R,82,*R,6094
X,88,P,80,XP,6073
K,75,S,83,KS,6059
[,91,R,82,[R,5985
V,86,B,66,VB,5972
M,77,"
",10,"M
",5935
"""",34,S,83,"""S",5895
E,69,Q,81,EQ,5847
*,42,S,83,*S,5786
*,42,B,66,*B,5747
I,73, ,32,I ,5729
C,67,",",44,"C,",5685
"""",34,L,76,"""L",5584
L,76,V,86,LV,5573
*,42,M,77,*M,5528
D,68,"""",34,"D""",5463
"""",34,R,82,"""R",5365
[,91,S,83,[S,5359
O,79,Y,89,OY,5339
H,72,;,59,H;,5229
Y,89,D,68,YD,5194
N,78,`,96,N`,5155
4,52,.,46,4.,5152
M,77,"""",34,"M""",5126
Y,89,I,73,YI,4970
I,73,X,88,IX,4939
"""",34,C,67,"""C",4901
E,69,:,58,E:,4890
[,91,P,80,[P,4877
 ,32,1,49, 1,4843
F,70,",",44,"F,",4822
U,85,*,42,U*,4786
S,83,),41,S),4700
X,88,C,67,XC,4660
O,79,X,88,OX,4648
.,46,;,59,.;,4623
Y,89,T,84,YT,4584
B,66,),41,B),4575
S,83,*,42,S*,4563
P,80,",",44,"P,",4558
`,96,T,84,`T,4523
C,67,"
",10,"C
",4435
G,71,Y,89,GY,4413
"""",34,D,68,"""D",4369
*,42,G,71,*G,4366
"
",10,4,52,"
4",4339
U,85,F,70,UF,4330
R,82,H,72,RH,4256
O,79,"""",34,"O""",4247
"""",34,M,77,"""M",4244
Y,89,P,80,YP,4238
*,42,O,79,*O,4234
X,88,E,69,XE,4180
L,76,K,75,LK,4176
L,76,*,42,L*,4169
"""",34,N,78,"""N",4148
G,71,G,71,GG,4138
O,79,H,72,OH,4096
[,91,G,71,[G,4083
"""",34,O,79,"""O",4022
A,65,X,88,AX,4017
U,85,"""",34,"U""",3969
[,91,N,78,[N,3907
J,74,A,65,JA,3893
L,76,M,77,LM,3837
W,87,S,83,WS,3815
B,66,B,66,BB,3814
"""",34,B,66,"""B",3801
*,42,D,68,*D,3771
P,80,"""",34,"P""",3752
H,72,"""",34,"H""",3742
(,40,P,80,(P,3730
I,73,Q,81,IQ,3715
E,69,H,72,EH,3639
M,77,;,59,M;,3636
S,83,N,78,SN,3617
),41,.,46,).,3598
E,69,`,96,E`,3543
Y,89,R,82,YR,3509
I,73,"""",34,"I""",3488
O,79,-,45,O-,3479
E,69,-,45,E-,3470
Y,89,A,65,YA,3460
W,87,",",44,"W,",3442
*,42,I,73,*I,3430
"""",34,P,80,"""P",3429
O,79,.,46,O.,3419
L,76,P,80,LP,3403
C,67,"""",34,"C""",3400
[,91,A,65,[A,3389
B,66,J,74,BJ,3348
G,71,"""",34,"G""",3342
E,69,',39,E',3319
K,75,L,76,KL,3224
*,42,F,70,*F,3223
B,66,T,84,BT,3197
U,85,O,79,UO,3168
P,80,Y,89,PY,3150
L,76,C,67,LC,3104
"""",34,G,71,"""G",3092
I,73,I,73,II,3092
X,88, ,32,X ,3091
5,53,.,46,5.,3054
"
",10,K,75,"
K",3041
X,88,A,65,XA,2988
"
",10,J,74,"
J",2988
U,85, ,32,U ,2964
K,75,A,65,KA,2919
K,75,;,59,K;,2906
H,72,L,76,HL,2870
"
",10,[,91,"
[",2865
F,70,;,59,F;,2838
-,45,S,83,-S,2834
 ,32,2,50, 2,2830
W,87,L,76,WL,2825
H,72,N,78,HN,2805
Z,90,A,65,ZA,2787
(,40,L,76,(L,2783
S,83,Q,81,SQ,2780
K,75,"
",10,"K
",2752
R,82,`,96,R`,2745
F,70,Y,89,FY,2728
A,65,E,69,AE,2683
C,67,*,42,C*,2682
N,78,-,45,N-,2634
-,45,"
",10,"-
",2622
(,40,S,83,(S,2602
M,77,N,78,MN,2593
`,96,I,73,`I,2582
B,66, ,32,B ,2579
T,84,`,96,T`,2562
A,65,Z,90,AZ,2555
W,87,),41,W),2531
Y,89,C,67,YC,2493
Z,90,I,73,ZI,2481
C,67,S,83,CS,2480
X,88,.,46,X.,2466
 ,32,X,88, X,2458
K,75,"""",34,"K""",2431
"
",10,5,53,"
5",2427
 ,32, ,32,  ,2413
N,78,H,72,NH,2407
L,76,`,96,L`,2387
`,96,E,69,`E,2383
R,82,-,45,R-,2377
E,69,K,75,EK,2275
U,85,.,46,U.,2270
T,84,M,77,TM,2262
K,75,R,82,KR,2251
[,91,W,87,[W,2251
Q,81,.,46,Q.,2241
M,77,*,42,M*,2239
D,68,`,96,D`,2224
O,79,Q,81,OQ,2224
`,96,A,65,`A,2212
(,40,N,78,(N,2211
G,71,M,77,GM,2200
D,68,N,78,DN,2189
R,82,W,87,RW,2155
*,42,E,69,*E,2150
"""",34,-,45,"""-",2114
L,76,G,71,LG,2105
(,40,R,82,(R,2103
S,83,`,96,S`,2102
"
",10,Q,81,"
Q",2100
"""",34,U,85,"""U",2093
"""",34,F,70,"""F",2079
(,40,E,69,(E,2064
N,78,J,74,NJ,2055
P,80,;,59,P;,2042
Y,89,*,42,Y*,2038
H,72,M,77,HM,2036
*,42,V,86,*V,2012
(,40,G,71,(G,2009
6,54,.,46,6.,1985
 ,32,Z,90, Z,1933
P,80,"
",10,"P
",1926
G,71,T,84,GT,1918
-,45,F,70,-F,1899
N,78,M,77,NM,1889
C,67,;,59,C;,1869
"
",10,Y,89,"
Y",1844
D,68,M,77,DM,1841
A,65,H,72,AH,1834
`,96,O,79,`O,1814
T,84,N,78,TN,1806
E,69,),41,E),1804
-,45,B,66,-B,1776
W,87,;,59,W;,1769
V,86,"""",34,"V""",1761
`,96,C,67,`C,1758
A,65,;,59,A;,1755
V,86,U,85,VU,1741
A,65,`,96,A`,1724
O,79,;,59,O;,1721
B,66,"""",34,"B""",1714
J,74,.,46,J.,1713
X,88,",",44,"X,",1713
T,84,*,42,T*,1703
T,84,-,45,T-,1694
(,40,K,75,(K,1694
I,73,",",44,"I,",1674
-,45,L,76,-L,1664
H,72,G,71,HG,1635
G,71,),41,G),1626
O,79,`,96,O`,1622
),41,;,59,);,1597
-,45,C,67,-C,1594
-,45,M,77,-M,1588
:,58,"
",10,":
",1560
M,77,`,96,M`,1557
"""",34,Y,89,"""Y",1556
D,68,J,74,DJ,1556
H,72,S,83,HS,1543
-,45,T,84,-T,1540
W,87,"
",10,"W
",1525
(,40,O,79,(O,1522
Y,89,"""",34,"Y""",1512
(,40,-,45,(-,1494
D,68,W,87,DW,1493
T,84,F,70,TF,1475
`,96,P,80,`P,1450
S,83,F,70,SF,1450
`,96,R,82,`R,1448
"""",34,W,87,"""W",1445
R,82,',39,R',1439
I,73,`,96,I`,1426
"""",34,V,86,"""V",1419
"
",10,6,54,"
6",1393
N,78,',39,N',1387
7,55,.,46,7.,1380
D,68,),41,D),1367
F,70,"""",34,"F""",1364
 ,32,3,51, 3,1362
N,78,Q,81,NQ,1357
K,75,Y,89,KY,1353
C,67,),41,C),1352
L,76,-,45,L-,1347
(,40,F,70,(F,1337
K,75,O,79,KO,1333
"""",34,"
",10,"""
",1319
U,85,`,96,U`,1317
N,78,R,82,NR,1308
B,66,",",44,"B,",1305
U,85,X,88,UX,1300
B,66,P,80,BP,1298
V,86,Y,89,VY,1289
-,45,H,72,-H,1284
-,45,E,69,-E,1271
`,96,D,68,`D,1270
S,83,:,58,S:,1268
W,87,D,68,WD,1261
-,45,P,80,-P,1251
X,88,X,88,XX,1247
D,68,*,42,D*,1245
Y,89,G,71,YG,1241
`,96,S,83,`S,1220
Y,89,-,45,Y-,1219
P,80,`,96,P`,1211
"
",10,-,45,"
-",1204
L,76,B,66,LB,1196
(,40,T,84,(T,1183
L,76,N,78,LN,1180
N,78,W,87,NW,1176
T,84,),41,T),1173
S,83,-,45,S-,1164
X,88,*,42,X*,1159
-,45,A,65,-A,1150
N,78,),41,N),1141
F,70,-,45,F-,1124
"""",34,H,72,"""H",1120
G,71,*,42,G*,1112
D,68,-,45,D-,1106
O,79,Z,90,OZ,1106
I,73,-,45,I-,1099
H,72,`,96,H`,1097
X,88,H,72,XH,1084
-,45,G,71,-G,1082
-,45,R,82,-R,1081
R,82,),41,R),1080
N,78,B,66,NB,1071
.,46,P,80,.P,1070
-,45,W,87,-W,1067
*,42,H,72,*H,1058
X,88,Y,89,XY,1041
O,79,J,74,OJ,1038
H,72,W,87,HW,1031
S,83,B,66,SB,1013
8,56,.,46,8.,1002
X,88,"""",34,"X""",1001
(,40,H,72,(H,1001
D,68,H,72,DH,1000
W,87,"""",34,"W""",1000
`,96,L,76,`L,995
W,87,T,84,WT,973
T,84,É,201,TÉ,969
A,65,-,45,A-,959
-,45,O,79,-O,957
E,69,J,74,EJ,950
 ,32,4,52, 4,949
U,85,V,86,UV,943
1,49,S,83,1S,942
U,85,K,75,UK,941
Z,90,Z,90,ZZ,932
[,91,E,69,[E,932
Y,89,`,96,Y`,927
K,75,`,96,K`,921
-,45,D,68,-D,916
`,96,M,77,`M,915
S,83,D,68,SD,910
C,67,`,96,C`,902
X,88,U,85,XU,897
B,66,D,68,BD,896
E,69,Z,90,EZ,894
"
",10,Z,90,"
Z",874
L,76,),41,L),865
9,57,.,46,9.,861
-,45,",",44,"-,",855
(,40,D,68,(D,852
L,76,R,82,LR,852
"
",10,"""",34,"
""",842
"
",10,7,55,"
7",839
P,80,M,77,PM,838
L,76,W,87,LW,836
B,66,*,42,B*,835
S,83,G,71,SG,825
1,49,0,48,10,824
P,80,*,42,P*,823
(,40,.,46,(.,821
"""",34,K,75,"""K",819
`,96,.,46,`.,811
Y,89,:,58,Y:,810
N,78,P,80,NP,808
C,67,],93,C],808
H,72,-,45,H-,804
!,33, ,32,! ,799
W,87,Y,89,WY,796
U,85,",",44,"U,",792
M,77,),41,M),784
R,82,É,201,RÉ,784
*,42,U,85,*U,782
Y,89,),41,Y),781
X,88,V,86,XV,781
`,96,N,78,`N,767
M,77,L,76,ML,754
0,48,.,46,0.,754
-,45,N,78,-N,749
(,40,I,73,(I,749
X,88,O,79,XO,747
A,65,J,74,AJ,738
.,46,S,83,.S,736
1,49,8,56,18,725
G,71,-,45,G-,721
-,45,I,73,-I,717
D,68,É,201,DÉ,717
C,67,Q,81,CQ,706
[,91,H,72,[H,706
`,96, ,32,` ,700
K,75,W,87,KW,688
Æ,198,.,46,Æ.,686
W,87,K,75,WK,685
H,72,*,42,H*,675
A,65,Q,81,AQ,668
',39,E,69,'E,664
D,68,',39,D',660
É,201,.,46,É.,651
M,77,F,70,MF,646
[,91,T,84,[T,645
*,42,W,87,*W,641
L,76,',39,L',641
"""",34,),41,""")",640
K,75,U,85,KU,639
Z,90,L,76,ZL,638
*,42,Y,89,*Y,637
N,78,Z,90,NZ,635
 ,32,",",44," ,",634
`,96,V,86,`V,634
1,49, ,32,1 ,632
I,73,"
",10,"I
",625
X,88,"
",10,"X
",624
G,71,`,96,G`,623
1,49,6,54,16,611
W,87,P,80,WP,608
[,91,U,85,[U,608
D,68,F,70,DF,608
D,68,Æ,198,DÆ,601
É,201,R,82,ÉR,598
*,42,Z,90,*Z,593
F,70,S,83,FS,590
T,84,',39,T',581
G,71,F,70,GF,580
K,75,-,45,K-,578
O,79,:,58,O:,576
Æ,198,",",44,"Æ,",568
[,91,M,77,[M,565
U,85,Z,90,UZ,561
`,96,G,71,`G,556
H,72,F,70,HF,556
H,72,Æ,198,HÆ,554
+,43,"
",10,"+
",551
S,83,R,82,SR,543
Z,90,Y,89,ZY,542
P,80,N,78,PN,536
"
",10,8,56,"
8",535
`,96,Y,89,`Y,532
B,66,"
",10,"B
",530
I,73,W,87,IW,527
M,77,R,82,MR,525
M,77,-,45,M-,523
 ,32,5,53, 5,519
1,49,7,55,17,519
2,50, ,32,2 ,518
',39, ,32,' ,518
1,49,1,49,11,517
[,91,1,49,[1,515
É,201,T,84,ÉT,514
A,65,A,65,AA,514
T,84,Z,90,TZ,514
`,96,B,66,`B,513
.,46,:,58,.:,507
A,65,O,79,AO,505
B,66,;,59,B;,500
X,88,;,59,X;,498
W,87,M,77,WM,494
S,83,',39,S',493
K,75,M,77,KM,487
(,40, ,32,( ,486
1,49,2,50,12,485
W,87,F,70,WF,484
T,84,:,58,T:,483
*,42,Q,81,*Q,482
U,85,Y,89,UY,478
N,78,X,88,NX,477
1,49,5,53,15,476
 ,32,6,54, 6,475
X,88,`,96,X`,474
F,70,`,96,F`,468
`,96,U,85,`U,467
B,66,`,96,B`,466
1,49,3,51,13,465
Æ,198, ,32,Æ ,465
H,72,B,66,HB,464
`,96,-,45,`-,463
[,91,D,68,[D,460
',39,L,76,'L,460
I,73,H,72,IH,459
W,87,-,45,W-,456
0,48, ,32,0 ,450
(,40,",",44,"(,",449
Y,89,B,66,YB,442
Z,90,"""",34,"Z""",439
 ,32,É,201, É,438
 ,32,',39, ',433
-,45,.,46,-.,431
L,76,Æ,198,LÆ,427
R,82,J,74,RJ,426
S,83,],93,S],424
B,66,M,77,BM,424
*,42,J,74,*J,421
(,40,;,59,(;,415
 ,32,),41, ),415
F,70,*,42,F*,414
G,71,D,68,GD,414
X,88,L,76,XL,413
0,48,0,48,00,411
"""",34,Z,90,"""Z",410
(,40,W,87,(W,410
J,74,I,73,JI,410
R,82,Æ,198,RÆ,409
"
",10,X,88,"
X",408
.,46,E,69,.E,407
P,80,-,45,P-,403
G,71,],93,G],402
É,201,C,67,ÉC,400
P,80,B,66,PB,396
Y,89,',39,Y',396
1,49,9,57,19,396
-,45,K,75,-K,392
2,50,D,68,2D,392
H,72,D,68,HD,385
D,68,T,84,DT,383
(,40,#,35,(#,376
N,78,Æ,198,NÆ,369
1,49,4,52,14,367
"
",10,9,57,"
9",366
E,69,],93,E],364
Y,89,W,87,YW,359
Y,89,X,88,YX,358
Ë,203,R,82,ËR,356
O,79,',39,O',355
S,83,V,86,SV,355
#,35,),41,#),352
H,72,),41,H),350
",",44,"""",34,",""",347
K,75,H,72,KH,345
M,77,É,201,MÉ,345
(,40,1,49,(1,344
P,80,W,87,PW,342
 ,32,9,57, 9,339
R,82,:,58,R:,338
T,84,G,71,TG,338
Æ,198,S,83,ÆS,335
R,82,Q,81,RQ,334
G,71,W,87,GW,328
 ,32,8,56, 8,326
