p_brand|p_type|p_size|supplier_cnt
Brand#11|PROMO POLISHED BRASS|3|4
Brand#11|PROMO POLISHED BRASS|9|4
Brand#11|PROMO POLISHED BRASS|19|4
Brand#11|PROMO POLISHED COPPER|14|4
Brand#11|PROMO POLISHED COPPER|45|4
Brand#11|PROMO POLISHED TIN|49|4
Brand#11|SMALL ANODIZED COPPER|36|4
Brand#11|SMALL ANODIZED NICKEL|3|4
Brand#11|SMALL ANODIZED NICKEL|14|4
Brand#11|SMALL ANODIZED TIN|14|4
Brand#11|SMALL ANODIZED TIN|19|4
Brand#11|SMALL ANODIZED TIN|45|4
Brand#11|SMALL BRUSHED TIN|14|4
Brand#11|SMALL BRUSHED TIN|23|4
Brand#11|SMALL BRUSHED TIN|45|4
Brand#11|SMALL BURNISHED BRASS|49|4
Brand#11|SMALL BURNISHED COPPER|23|4
Brand#11|SMALL PLATED COPPER|45|4
Brand#11|SMALL PLATED NICKEL|3|4
Brand#11|SMALL PLATED STEEL|36|4
Brand#11|SMALL PLATED TIN|19|4
Brand#11|SMALL POLISHED BRASS|14|4
Brand#11|SMALL POLISHED BRASS|23|4
Brand#11|SMALL POLISHED COPPER|14|4
Brand#11|SMALL POLISHED COPPER|36|4
Brand#11|SMALL POLISHED STEEL|9|4
Brand#11|STANDARD BRUSHED COPPER|23|4
Brand#11|STANDARD BRUSHED NICKEL|14|4
Brand#11|STANDARD BRUSHED TIN|14|4
Brand#11|STANDARD BURNISHED BRASS|3|4
Brand#11|STANDARD BURNISHED STEEL|23|4
Brand#11|STANDARD PLATED BRASS|19|4
Brand#11|STANDARD PLATED TIN|19|4
Brand#11|STANDARD POLISHED NICKEL|45|4
Brand#11|STANDARD POLISHED TIN|14|4
Brand#11|STANDARD POLISHED TIN|45|4
Brand#12|ECONOMY ANODIZED BRASS|23|4
Brand#12|ECONOMY ANODIZED COPPER|14|4
Brand#12|ECONOMY ANODIZED NICKEL|19|4
Brand#12|ECONOMY ANODIZED NICKEL|45|4
Brand#12|ECONOMY ANODIZED STEEL|9|4
Brand#12|ECONOMY BRUSHED COPPER|36|4
Brand#12|ECONOMY BRUSHED NICKEL|49|4
Brand#12|ECONOMY BRUSHED STEEL|49|4
Brand#12|ECONOMY BURNISHED COPPER|45|4
Brand#12|ECONOMY PLATED COPPER|23|4
Brand#12|ECONOMY PLATED STEEL|23|4
Brand#12|ECONOMY PLATED TIN|36|4
Brand#12|ECONOMY POLISHED BRASS|14|4
Brand#12|ECONOMY POLISHED COPPER|45|4
Brand#12|ECONOMY POLISHED NICKEL|9|4
Brand#12|LARGE ANODIZED NICKEL|9|4
Brand#12|LARGE ANODIZED NICKEL|49|4
Brand#12|LARGE ANODIZED STEEL|49|4
Brand#12|LARGE ANODIZED TIN|36|4
Brand#12|LARGE ANODIZED TIN|45|4
Brand#12|LARGE BURNISHED BRASS|14|4
Brand#12|LARGE BURNISHED BRASS|19|4
Brand#12|LARGE BURNISHED COPPER|9|4
Brand#12|LARGE BURNISHED NICKEL|45|4
Brand#12|LARGE BURNISHED TIN|36|4
Brand#12|LARGE PLATED BRASS|3|4
Brand#12|LARGE PLATED STEEL|36|4
Brand#12|LARGE PLATED STEEL|45|4
Brand#12|LARGE PLATED TIN|23|4
Brand#12|LARGE POLISHED COPPER|14|4
Brand#12|LARGE POLISHED COPPER|19|4
Brand#12|LARGE POLISHED COPPER|49|4
Brand#12|LARGE POLISHED STEEL|3|4
Brand#12|MEDIUM ANODIZED COPPER|9|4
Brand#12|MEDIUM ANODIZED COPPER|45|4
Brand#12|MEDIUM ANODIZED NICKEL|45|4
Brand#12|MEDIUM BRUSHED BRASS|19|4
Brand#12|MEDIUM BRUSHED COPPER|9|4
Brand#12|MEDIUM BRUSHED COPPER|36|4
Brand#12|MEDIUM BRUSHED COPPER|49|4
Brand#12|MEDIUM BRUSHED NICKEL|3|4
Brand#12|MEDIUM BRUSHED NICKEL|14|4
Brand#12|MEDIUM BRUSHED NICKEL|23|4
Brand#12|MEDIUM BURNISHED BRASS|3|4
Brand#12|MEDIUM BURNISHED COPPER|36|4
Brand#12|MEDIUM BURNISHED NICKEL|19|4
Brand#12|MEDIUM BURNISHED TIN|14|4
Brand#12|MEDIUM PLATED BRASS|23|4
Brand#12|MEDIUM PLATED TIN|19|4
Brand#12|MEDIUM PLATED TIN|23|4
Brand#12|MEDIUM PLATED TIN|49|4
Brand#12|PROMO ANODIZED BRASS|9|4
Brand#12|PROMO ANODIZED BRASS|45|4
Brand#12|PROMO ANODIZED NICKEL|14|4
Brand#12|PROMO ANODIZED STEEL|49|4
Brand#12|PROMO ANODIZED TIN|3|4
Brand#12|PROMO ANODIZED TIN|19|4
Brand#12|PROMO BRUSHED COPPER|14|4
Brand#12|PROMO BRUSHED COPPER|19|4
Brand#12|PROMO BRUSHED NICKEL|23|4
Brand#12|PROMO BRUSHED STEEL|23|4
Brand#12|PROMO BRUSHED STEEL|36|4
Brand#12|PROMO BURNISHED BRASS|49|4
Brand#12|PROMO BURNISHED TIN|9|4
Brand#12|PROMO BURNISHED TIN|14|4
Brand#12|PROMO PLATED BRASS|36|4
Brand#12|PROMO POLISHED COPPER|23|4
Brand#12|PROMO POLISHED NICKEL|3|4
Brand#12|PROMO POLISHED NICKEL|9|4
Brand#12|PROMO POLISHED STEEL|14|4
Brand#12|PROMO POLISHED TIN|23|4
Brand#12|PROMO POLISHED TIN|36|4
Brand#12|SMALL ANODIZED BRASS|36|4
Brand#12|SMALL ANODIZED COPPER|23|4
Brand#12|SMALL ANODIZED STEEL|36|4
Brand#12|SMALL ANODIZED TIN|14|4
Brand#12|SMALL BRUSHED COPPER|19|4
Brand#12|SMALL BRUSHED COPPER|36|4
Brand#12|SMALL BRUSHED TIN|36|4
Brand#12|SMALL BURNISHED BRASS|14|4
Brand#12|SMALL BURNISHED COPPER|9|4
Brand#12|SMALL BURNISHED COPPER|36|4
Brand#12|SMALL PLATED BRASS|9|4
Brand#12|SMALL POLISHED BRASS|49|4
Brand#12|SMALL POLISHED NICKEL|19|4
Brand#12|SMALL POLISHED TIN|3|4
Brand#12|STANDARD ANODIZED BRASS|19|4
Brand#12|STANDARD ANODIZED NICKEL|19|4
Brand#12|STANDARD ANODIZED STEEL|19|4
Brand#12|STANDARD BRUSHED COPPER|36|4
Brand#12|STANDARD BRUSHED NICKEL|23|4
Brand#12|STANDARD BRUSHED STEEL|49|4
Brand#12|STANDARD BURNISHED BRASS|23|4
Brand#12|STANDARD BURNISHED COPPER|14|4
Brand#12|STANDARD BURNISHED NICKEL|45|4
Brand#12|STANDARD BURNISHED NICKEL|49|4
Brand#12|STANDARD BURNISHED TIN|3|4
Brand#12|STANDARD BURNISHED TIN|14|4
Brand#12|STANDARD PLATED BRASS|19|4
Brand#12|STANDARD PLATED NICKEL|45|4
Brand#12|STANDARD PLATED STEEL|36|4
Brand#12|STANDARD PLATED STEEL|45|4
Brand#12|STANDARD PLATED TIN|9|4
Brand#12|STANDARD POLISHED BRASS|49|4
Brand#12|STANDARD POLISHED COPPER|3|4
Brand#12|STANDARD POLISHED NICKEL|23|4
Brand#12|STANDARD POLISHED TIN|14|4
Brand#13|ECONOMY ANODIZED NICKEL|14|4
Brand#13|ECONOMY ANODIZED NICKEL|19|4
Brand#13|ECONOMY ANODIZED STEEL|45|4
Brand#13|ECONOMY ANODIZED STEEL|49|4
Brand#13|ECONOMY BRUSHED BRASS|3|4
Brand#13|ECONOMY BURNISHED STEEL|14|4
Brand#13|ECONOMY BURNISHED TIN|19|4
Brand#13|ECONOMY BURNISHED TIN|45|4
Brand#13|ECONOMY PLATED COPPER|19|4
Brand#13|ECONOMY PLATED NICKEL|3|4
Brand#13|ECONOMY PLATED STEEL|23|4
Brand#13|ECONOMY PLATED TIN|3|4
Brand#13|ECONOMY POLISHED BRASS|3|4
Brand#13|ECONOMY POLISHED COPPER|9|4
Brand#13|ECONOMY POLISHED COPPER|49|4
Brand#13|ECONOMY POLISHED STEEL|23|4
Brand#13|ECONOMY POLISHED STEEL|49|4
Brand#13|LARGE ANODIZED BRASS|23|4
Brand#13|LARGE ANODIZED COPPER|19|4
Brand#13|LARGE ANODIZED NICKEL|9|4
Brand#13|LARGE ANODIZED STEEL|45|4
Brand#13|LARGE ANODIZED TIN|19|4
Brand#13|LARGE BRUSHED BRASS|3|4
Brand#13|LARGE BRUSHED BRASS|9|4
Brand#13|LARGE BRUSHED BRASS|19|4
Brand#13|LARGE BRUSHED COPPER|9|4
Brand#13|LARGE BRUSHED COPPER|36|4
Brand#13|LARGE BRUSHED NICKEL|3|4
Brand#13|LARGE BRUSHED NICKEL|9|4
Brand#13|LARGE BRUSHED NICKEL|14|4
Brand#13|LARGE BRUSHED NICKEL|23|4
Brand#13|LARGE BRUSHED STEEL|19|4
Brand#13|LARGE BRUSHED TIN|49|4
Brand#13|LARGE BURNISHED BRASS|49|4
Brand#13|LARGE BURNISHED TIN|49|4
Brand#13|LARGE PLATED COPPER|23|4
Brand#13|LARGE PLATED STEEL|14|4
Brand#13|LARGE PLATED STEEL|19|4
Brand#13|LARGE PLATED STEEL|36|4
Brand#13|LARGE PLATED TIN|14|4
Brand#13|LARGE PLATED TIN|45|4
Brand#13|LARGE POLISHED BRASS|3|4
Brand#13|LARGE POLISHED BRASS|23|4
Brand#13|LARGE POLISHED BRASS|49|4
Brand#13|MEDIUM ANODIZED BRASS|3|4
Brand#13|MEDIUM ANODIZED BRASS|36|4
Brand#13|MEDIUM ANODIZED COPPER|14|4
Brand#13|MEDIUM ANODIZED NICKEL|3|4
Brand#13|MEDIUM ANODIZED STEEL|14|4
Brand#13|MEDIUM ANODIZED STEEL|19|4
Brand#13|MEDIUM ANODIZED STEEL|36|4
Brand#13|MEDIUM BRUSHED BRASS|49|4
Brand#13|MEDIUM BRUSHED COPPER|23|4
Brand#13|MEDIUM BRUSHED NICKEL|45|4
Brand#13|MEDIUM BURNISHED BRASS|9|4
Brand#13|MEDIUM BURNISHED STEEL|19|4
Brand#13|MEDIUM BURNISHED STEEL|49|4
Brand#13|MEDIUM PLATED BRASS|3|4
Brand#13|MEDIUM PLATED BRASS|23|4
Brand#13|MEDIUM PLATED BRASS|36|4
Brand#13|MEDIUM PLATED COPPER|19|4
Brand#13|MEDIUM PLATED COPPER|23|4
Brand#13|MEDIUM PLATED STEEL|3|4
Brand#13|PROMO ANODIZED BRASS|14|4
Brand#13|PROMO ANODIZED COPPER|9|4
Brand#13|PROMO ANODIZED COPPER|45|4
Brand#13|PROMO ANODIZED STEEL|23|4
Brand#13|PROMO BRUSHED COPPER|49|4
Brand#13|PROMO BURNISHED COPPER|19|4
Brand#13|PROMO BURNISHED NICKEL|9|4
Brand#13|PROMO BURNISHED STEEL|23|4
Brand#13|PROMO BURNISHED STEEL|45|4
Brand#13|PROMO BURNISHED TIN|19|4
Brand#13|PROMO PLATED BRASS|14|4
Brand#13|PROMO PLATED BRASS|19|4
Brand#13|PROMO PLATED COPPER|3|4
Brand#13|PROMO PLATED COPPER|19|4
Brand#13|PROMO PLATED TIN|19|4
Brand#13|PROMO POLISHED BRASS|49|4
Brand#13|PROMO POLISHED STEEL|45|4
Brand#13|PROMO POLISHED TIN|14|4
Brand#13|SMALL ANODIZED STEEL|23|4
Brand#13|SMALL ANODIZED TIN|3|4
Brand#13|SMALL ANODIZED TIN|45|4
Brand#13|SMALL BRUSHED COPPER|3|4
Brand#13|SMALL BRUSHED NICKEL|19|4
Brand#13|SMALL BRUSHED TIN|9|4
Brand#13|SMALL BRUSHED TIN|45|4
Brand#13|SMALL BURNISHED BRASS|19|4
Brand#13|SMALL BURNISHED BRASS|45|4
Brand#13|SMALL PLATED BRASS|9|4
Brand#13|SMALL PLATED TIN|45|4
Brand#13|SMALL POLISHED NICKEL|19|4
Brand#13|SMALL POLISHED STEEL|49|4
Brand#13|STANDARD ANODIZED COPPER|45|4
Brand#13|STANDARD ANODIZED NICKEL|9|4
Brand#13|STANDARD ANODIZED NICKEL|19|4
Brand#13|STANDARD ANODIZED STEEL|14|4
Brand#13|STANDARD ANODIZED TIN|9|4
Brand#13|STANDARD ANODIZED TIN|36|4
Brand#13|STANDARD BRUSHED BRASS|19|4
Brand#13|STANDARD BRUSHED TIN|9|4
Brand#13|STANDARD BURNISHED BRASS|9|4
Brand#13|STANDARD BURNISHED BRASS|14|4
Brand#13|STANDARD BURNISHED COPPER|45|4
Brand#13|STANDARD PLATED BRASS|49|4
Brand#13|STANDARD PLATED COPPER|19|4
Brand#13|STANDARD PLATED NICKEL|23|4
Brand#13|STANDARD PLATED TIN|9|4
Brand#13|STANDARD POLISHED BRASS|49|4
Brand#13|STANDARD POLISHED COPPER|9|4
Brand#13|STANDARD POLISHED COPPER|49|4
Brand#13|STANDARD POLISHED NICKEL|14|4
Brand#13|STANDARD POLISHED NICKEL|19|4
Brand#13|STANDARD POLISHED STEEL|23|4
Brand#14|ECONOMY ANODIZED BRASS|19|4
Brand#14|ECONOMY ANODIZED COPPER|9|4
Brand#14|ECONOMY ANODIZED STEEL|19|4
Brand#14|ECONOMY ANODIZED STEEL|45|4
Brand#14|ECONOMY BRUSHED BRASS|19|4
Brand#14|ECONOMY BRUSHED COPPER|45|4
Brand#14|ECONOMY BRUSHED NICKEL|14|4
Brand#14|ECONOMY BRUSHED TIN|14|4
Brand#14|ECONOMY BURNISHED COPPER|9|4
Brand#14|ECONOMY BURNISHED COPPER|19|4
Brand#14|ECONOMY BURNISHED STEEL|36|4
Brand#14|ECONOMY BURNISHED TIN|3|4
Brand#14|ECONOMY PLATED BRASS|36|4
Brand#14|ECONOMY PLATED COPPER|49|4
Brand#14|ECONOMY PLATED STEEL|45|4
Brand#14|ECONOMY PLATED TIN|9|4
Brand#14|ECONOMY POLISHED COPPER|3|4
Brand#14|ECONOMY POLISHED TIN|19|4
Brand#14|LARGE ANODIZED COPPER|9|4
Brand#14|LARGE ANODIZED COPPER|23|4
Brand#14|LARGE ANODIZED NICKEL|3|4
Brand#14|LARGE ANODIZED NICKEL|9|4
Brand#14|LARGE ANODIZED NICKEL|19|4
Brand#14|LARGE ANODIZED TIN|9|4
Brand#14|LARGE BRUSHED COPPER|14|4
Brand#14|LARGE BRUSHED NICKEL|45|4
Brand#14|LARGE PLATED BRASS|3|4
Brand#14|LARGE PLATED NICKEL|3|4
Brand#14|LARGE PLATED NICKEL|14|4
Brand#14|LARGE PLATED NICKEL|49|4
Brand#14|LARGE PLATED TIN|49|4
Brand#14|LARGE POLISHED BRASS|9|4
Brand#14|LARGE POLISHED BRASS|14|4
Brand#14|LARGE POLISHED BRASS|36|4
Brand#14|LARGE POLISHED NICKEL|3|4
Brand#14|LARGE POLISHED NICKEL|14|4
Brand#14|LARGE POLISHED STEEL|9|4
Brand#14|LARGE POLISHED STEEL|23|4
Brand#14|LARGE POLISHED STEEL|36|4
Brand#14|MEDIUM ANODIZED NICKEL|3|4
Brand#14|MEDIUM ANODIZED NICKEL|49|4
Brand#14|MEDIUM ANODIZED STEEL|23|4
Brand#14|MEDIUM ANODIZED STEEL|36|4
Brand#14|MEDIUM BRUSHED BRASS|9|4
Brand#14|MEDIUM BRUSHED COPPER|23|4
Brand#14|MEDIUM BRUSHED STEEL|14|4
Brand#14|MEDIUM BURNISHED COPPER|14|4
Brand#14|MEDIUM BURNISHED STEEL|3|4
Brand#14|MEDIUM BURNISHED STEEL|49|4
Brand#14|MEDIUM PLATED BRASS|36|4
Brand#14|MEDIUM PLATED STEEL|49|4
Brand#14|MEDIUM PLATED TIN|14|4
Brand#14|PROMO ANODIZED BRASS|49|4
Brand#14|PROMO ANODIZED STEEL|36|4
Brand#14|PROMO BRUSHED STEEL|19|4
Brand#14|PROMO BURNISHED BRASS|23|4
Brand#14|PROMO BURNISHED STEEL|36|4
Brand#14|PROMO PLATED BRASS|9|4
Brand#14|PROMO PLATED BRASS|45|4
Brand#14|PROMO PLATED COPPER|45|4
Brand#14|PROMO PLATED STEEL|3|4
Brand#14|PROMO POLISHED BRASS|9|4
Brand#14|PROMO POLISHED COPPER|49|4
Brand#14|PROMO POLISHED STEEL|19|4
Brand#14|SMALL ANODIZED STEEL|23|4
Brand#14|SMALL ANODIZED TIN|23|4
Brand#14|SMALL BRUSHED BRASS|19|4
Brand#14|SMALL BRUSHED BRASS|36|4
Brand#14|SMALL BRUSHED COPPER|9|4
Brand#14|SMALL BRUSHED TIN|36|4
Brand#14|SMALL BURNISHED BRASS|45|4
Brand#14|SMALL BURNISHED COPPER|9|4
Brand#14|SMALL BURNISHED COPPER|14|4
Brand#14|SMALL BURNISHED COPPER|45|4
Brand#14|SMALL BURNISHED NICKEL|36|4
Brand#14|SMALL BURNISHED STEEL|36|4
Brand#14|SMALL BURNISHED TIN|23|4
Brand#14|SMALL PLATED NICKEL|3|4
Brand#14|SMALL PLATED NICKEL|9|4
Brand#14|SMALL PLATED STEEL|14|4
Brand#14|SMALL POLISHED BRASS|36|4
Brand#14|SMALL POLISHED COPPER|36|4
Brand#14|SMALL POLISHED NICKEL|9|4
Brand#14|SMALL POLISHED STEEL|14|4
Brand#14|SMALL POLISHED TIN|14|4
Brand#14|STANDARD ANODIZED BRASS|19|4
Brand#14|STANDARD ANODIZED NICKEL|14|4
Brand#14|STANDARD ANODIZED STEEL|9|4
Brand#14|STANDARD BRUSHED COPPER|45|4
Brand#14|STANDARD BRUSHED NICKEL|45|4
Brand#14|STANDARD BRUSHED TIN|45|4
