"Books                                             "|"arts                                              "|"amalgmaxi #12                                     "||||||1713760.68|24
"Books                                             "|"science                                           "|"maximaxi #2                                       "||||||867201.70|88
"Books                                             "|"science                                           "|"maximaxi #3                                       "||||||1105020.86|66
"Books                                             "|"science                                           "|"maximaxi #6                                       "||||||1682297.47|25
"Books                                             "|"science                                           "|"maximaxi #8                                       "||||||1188731.79|61
"Books                                             "|"science                                           "|"maximaxi #9                                       "||||||997255.27|77
"Books                                             "|"science                                           "|||||||6431820.99|10
"Books                                             "|"self-help                                         "|"exportiunivamalg #2                               "||||||1328463.37|46
"Books                                             "|"self-help                                         "|"exportiunivamalg #3                               "||||||799815.68|97
"Books                                             "|"self-help                                         "|"exportiunivamalg #6                               "||||||1661031.81|27
"Books                                             "|"self-help                                         "|"exportiunivamalg #8                               "||||||865390.95|89
"Books                                             "|"self-help                                         "|"exportiunivamalg #9                               "||||||1542544.25|33
"Books                                             "|"self-help                                         "|||||||6893524.95|9
"Books                                             "|"sports                                            "|"edu packunivamalg #12                             "||||||934248.95|84
"Books                                             "|"sports                                            "|"edu packunivamalg #6                              "||||||1594768.19|31
"Books                                             "|"sports                                            "|"edu packunivamalg #8                              "||||||1284643.21|51
"Books                                             "|"sports                                            "|"edu packunivamalg #9                              "||||||863297.35|90
"Books                                             "|"sports                                            "|||||||5905556.73|15
"Books                                             "|"travel                                            "|"univunivamalg #12                                 "||||||1242300.06|54
"Books                                             "|"travel                                            "|"univunivamalg #2                                  "||||||1198769.82|56
"Books                                             "|"travel                                            "|"univunivamalg #3                                  "||||||1195926.75|58
"Books                                             "|"travel                                            "|"univunivamalg #8                                  "||||||1599720.74|30
"Books                                             "|"travel                                            "|"univunivamalg #9                                  "||||||1058366.54|71
"Books                                             "|"travel                                            "|||||||6989380.24|8
"Books                                             "||||||||111172839.67|1
