s_acctbal|s_name|n_name|p_partkey|p_mfgr|s_address|s_phone|s_comment
8271.39|Supplier#000000146|RUSSIA|4637|Manufacturer#5|rBDNgCr04x0sfdzD5,gFOutCiG2|32-792-619-3155|s cajole quickly special requests. quickly enticing theodolites h
8096.98|Supplier#000000574|RUSSIA|323|Manufacturer#4|2O8 sy9g2mlBOuEjzj0pA2pevk,|32-866-246-8752|ully after the regular requests. slyly final dependencies wake slyly along the busy deposit
7392.78|Supplier#000000170|UNITED KINGDOM|7655|Manufacturer#2|RtsXQ,SunkA XHy9|33-803-340-5398|ake carefully across the quickly
7205.20|Supplier#000000477|GERMANY|10956|Manufacturer#5|VtaNKN5Mqui5yh7j2ldd5waf|17-180-144-7991| excuses wake express deposits. furiously careful asymptotes according to the carefull
6820.35|Supplier#000000007|UNITED KINGDOM|13217|Manufacturer#5|s,4TicNGB4uO6PaSqNBUq|33-990-965-2201|s unwind silently furiously regular courts. final requests are deposits. requests wake quietly blit
6721.70|Supplier#000000954|FRANCE|4191|Manufacturer#3|P3O5p UFz1QsLmZX|16-537-341-8517|ect blithely blithely final acco
6329.90|Supplier#000000996|GERMANY|10735|Manufacturer#2|Wx4dQwOAwWjfSCGupfrM|17-447-811-3282| ironic forges cajole blithely agai
6173.87|Supplier#000000408|RUSSIA|18139|Manufacturer#1|qcor1u,vJXAokjnL5,dilyYNmh|32-858-724-2950|blithely pending packages cajole furiously slyly pending notornis. slyly final 
5364.99|Supplier#000000785|RUSSIA|13784|Manufacturer#4|W VkHBpQyD3qjQjWGpWicOpmILFehmEdWy67kUGY|32-297-653-2203| packages boost carefully. express ideas along
5069.27|Supplier#000000328|GERMANY|16327|Manufacturer#1|SMm24d WG62|17-231-513-5721|he unusual ideas. slyly final packages a
4941.88|Supplier#000000321|ROMANIA|7320|Manufacturer#5|pLngFl5yeMcHyov|29-573-279-1406|y final requests impress s
4672.25|Supplier#000000239|RUSSIA|12238|Manufacturer#1|XO101kgHrJagK2FL1U6QCaTE ncCsMbeuTgK6o8|32-396-654-6826|arls wake furiously deposits. even, regular depen
4586.49|Supplier#000000680|RUSSIA|5679|Manufacturer#3|UhvDfdEfJh,Qbe7VZb8uSGO2TU 0jEa6nXZXE|32-522-382-1620| the regularly regular dependencies. carefully bold excuses under th
4518.31|Supplier#000000149|FRANCE|18344|Manufacturer#5|pVyWsjOidpHKp4NfKU4yLeym|16-660-553-2456|ts detect along the foxes. final Tiresias are. idly pending deposits haggle; even, blithe pin
4315.15|Supplier#000000509|FRANCE|18972|Manufacturer#2|SF7dR8V5pK|16-298-154-3365|ronic orbits are furiously across the requests. quickly express ideas across the special, bold
3526.53|Supplier#000000553|FRANCE|8036|Manufacturer#4|a,liVofXbCJ|16-599-552-3755|lar dinos nag slyly brave
3526.53|Supplier#000000553|FRANCE|17018|Manufacturer#3|a,liVofXbCJ|16-599-552-3755|lar dinos nag slyly brave
3294.68|Supplier#000000350|GERMANY|4841|Manufacturer#4|KIFxV73eovmwhh|17-113-181-4017|e slyly special foxes. furiously unusual deposits detect carefully carefully ruthless foxes. quick
2972.26|Supplier#000000016|RUSSIA|1015|Manufacturer#4|YjP5C55zHDXL7LalK27zfQnwejdpin4AMpvh|32-822-502-4215|ously express ideas haggle quickly dugouts? fu
2963.09|Supplier#000000840|ROMANIA|3080|Manufacturer#2|iYzUIypKhC0Y|29-781-337-5584|eep blithely regular dependencies. blithely regular platelets sublate alongside o
2221.25|Supplier#000000771|ROMANIA|13981|Manufacturer#2|lwZ I15rq9kmZXUNhl|29-986-304-9006|nal foxes eat slyly about the fluffily permanent id
1381.97|Supplier#000000104|FRANCE|18103|Manufacturer#3|Dcl4yGrzqv3OPeRO49bKh78XmQEDR7PBXIs0m|16-434-972-6922|gular ideas. bravely bold deposits haggle through the carefully final deposits. slyly unusual idea
906.07|Supplier#000000138|ROMANIA|8363|Manufacturer#4|utbplAm g7RmxVfYoNdhcrQGWuzRqPe0qHSwbKw|29-533-434-6776|ickly unusual requests cajole. accounts above the furiously special excuses 
765.69|Supplier#000000799|RUSSIA|11276|Manufacturer#2|jwFN7ZB3T9sMF|32-579-339-1495|nusual requests. furiously unusual epitaphs integrate. slyly 
727.89|Supplier#000000470|ROMANIA|6213|Manufacturer#3|XckbzsAgBLbUkdfjgJEPjmUMTM8ebSMEvI|29-165-289-1523|gular excuses. furiously regular excuses sleep slyly caref
683.07|Supplier#000000651|RUSSIA|4888|Manufacturer#4|oWekiBV6s,1g|32-181-426-4490|ly regular requests cajole abou
167.56|Supplier#000000290|FRANCE|2037|Manufacturer#1|6Bk06GVtwZaKqg01|16-675-286-5102| the theodolites. ironic, ironic deposits above 
91.39|Supplier#000000949|UNITED KINGDOM|9430|Manufacturer#2|a,UE,6nRVl2fCphkOoetR1ajIzAEJ1Aa1G1HV|33-332-697-2768|pinto beans. carefully express requests hagg
-314.06|Supplier#000000510|ROMANIA|17242|Manufacturer#4|VmXQl ,vY8JiEseo8Mv4zscvNCfsY|29-207-852-3454| bold deposits. carefully even d
-820.89|Supplier#000000409|GERMANY|2156|Manufacturer#5|LyXUYFz7aXrvy65kKAbTatGzGS,NDBcdtD|17-719-517-9836|y final, slow theodolites. furiously regular req
-845.44|Supplier#000000704|ROMANIA|9926|Manufacturer#5|hQvlBqbqqnA5Dgo1BffRBX78tkkRu|29-300-896-5991|ctions. carefully sly requ
-942.73|Supplier#000000563|GERMANY|5797|Manufacturer#1|Rc7U1cRUhYs03JD|17-108-537-2691|slyly furiously final decoys; silent, special realms poach f
