nation|o_year|sum_profit
JORDAN|1994|2417892.0921
JORDAN|1993|3107641.7661
JORDAN|1992|3316379.0585
KENYA|1998|2579075.4190
KENYA|1997|2929194.2317
KENYA|1996|3569129.5619
KENYA|1995|3542889.1087
KENYA|1994|3983095.3994
KENYA|1993|3713988.9708
KENYA|1992|3304641.8340
MOROCCO|1998|1815334.8180
MOROCCO|1997|3693214.8447
MOROCCO|1996|4116175.9230
MOROCCO|1995|3515127.1402
MOROCCO|1994|4003072.1120
MOROCCO|1993|3599199.6679
MOROCCO|1992|3958335.4224
MOZAMBIQUE|1998|1620428.7346
MOZAMBIQUE|1997|2802166.6473
MOZAMBIQUE|1996|2409955.1755
MOZAMBIQUE|1995|2771602.6274
MOZAMBIQUE|1994|2548226.2158
MOZAMBIQUE|1993|2843748.9053
MOZAMBIQUE|1992|2556501.0943
PERU|1998|2036430.3602
PERU|1997|4064142.4091
PERU|1996|4068678.5671
PERU|1995|4657694.8412
PERU|1994|4731959.4655
PERU|1993|4144006.6610
PERU|1992|3754635.0078
ROMANIA|1998|1992773.6811
ROMANIA|1997|2854639.8680
ROMANIA|1996|3139337.3029
ROMANIA|1995|3222153.3776
ROMANIA|1994|3222844.3190
ROMANIA|1993|3488994.0288
ROMANIA|1992|3029274.4420
RUSSIA|1998|2339865.6635
RUSSIA|1997|4153619.5424
RUSSIA|1996|3772067.4041
RUSSIA|1995|4704988.8607
RUSSIA|1994|4479082.8694
RUSSIA|1993|4767719.9791
RUSSIA|1992|4533465.5590
SAUDI ARABIA|1998|3386948.9564
SAUDI ARABIA|1997|5425980.3373
SAUDI ARABIA|1996|5227607.1677
SAUDI ARABIA|1995|4506731.6411
SAUDI ARABIA|1994|4698658.7425
SAUDI ARABIA|1993|5493626.5285
SAUDI ARABIA|1992|4573560.0150
UNITED KINGDOM|1998|2252021.5137
UNITED KINGDOM|1997|4343926.8026
UNITED KINGDOM|1996|4189476.3065
UNITED KINGDOM|1995|4469569.8829
UNITED KINGDOM|1994|4410094.6264
UNITED KINGDOM|1993|4054677.1050
UNITED KINGDOM|1992|3978688.8831
UNITED STATES|1998|2238771.5581
UNITED STATES|1997|4135581.5734
UNITED STATES|1996|3624013.2660
UNITED STATES|1995|3892244.5172
UNITED STATES|1994|3289224.1138
UNITED STATES|1993|3626170.2028
UNITED STATES|1992|3993973.4997
VIETNAM|1998|1924313.4862
VIETNAM|1997|3436195.3709
VIETNAM|1996|4017288.8927
VIETNAM|1995|3644054.1372
VIETNAM|1994|4141277.6665
VIETNAM|1993|2556114.1693
VIETNAM|1992|4090524.4905
