i_category|i_brand|cc_name|d_year|d_moy|avg_monthly_sales|sum_sales|psum|nsum
Books|brandmaxi #2|NY Metro|1999|2|2.165000|0.21|3.58|3.45
Music|exportischolar #2|NY Metro|1999|1|5.000000|3.06|13.32|3.69
Women|edu packamalg #2|NY Metro|1999|12|3.438333|1.51|5.14|9.41
Sports|maxinameless #5|NY Metro|1999|1|2.644000|0.72|5.39|1.57
Men|edu packimporto #1|NY Metro|1999|4|9.671667|7.76|10.07|6.56
Electronics|corpunivamalg #7|NY Metro|1999|9|1.921667|0.01|1.84|1.20
Women|amalgamalg #1|NY Metro|1999|5|3.475000|1.57|1.35|2.25
Children|amalgexporti #1|NY Metro|1999|6|5.212500|3.31|7.83|4.98
Jewelry|importobrand #6|NY Metro|1999|10|2.251000|0.35|3.16|4.28
Sports|scholarmaxi #2|NY Metro|1999|1|2.118000|0.23|6.26|2.62
Men|edu packimporto #1|NY Metro|1999|6|9.671667|7.79|6.56|6.25
Shoes|edu packedu pack #1|NY Metro|1999|6|6.640833|4.76|6.00|6.35
Music|amalgscholar #1|NY Metro|1999|4|3.529167|1.65|5.21|1.94
Children|exportiexporti #1|NY Metro|1999|4|2.930833|1.06|3.09|0.82
Home|namelessbrand #9|NY Metro|1999|6|1.880909|0.02|0.92|1.36
Women|edu packamalg #2|NY Metro|1999|4|3.438333|1.59|6.02|2.39
Books|univunivamalg #8|NY Metro|1999|1|1.847500|0.02|3.55|1.18
Sports|edu packnameless #1|NY Metro|1999|6|2.502727|0.70|3.02|2.74
Music|importoscholar #1|NY Metro|1999|7|2.064167|0.27|2.59|1.23
Books|scholarunivamalg #8|NY Metro|1999|2|2.851818|1.06|4.28|1.69
Shoes|exportiedu pack #1|NY Metro|1999|3|7.290833|5.52|4.06|3.16
Sports|maxinameless #3|NY Metro|1999|8|2.030000|0.26|0.40|0.44
Men|edu packimporto #2|NY Metro|1999|4|4.079167|2.33|1.90|4.30
Jewelry|importobrand #6|NY Metro|1999|8|2.251000|0.51|1.36|3.16
Jewelry|edu packcorp #7|NY Metro|1999|7|1.907500|0.17|4.31|0.24
Home|corpnameless #6|NY Metro|1999|4|1.851667|0.13|1.68|1.29
Electronics|corpunivamalg #7|NY Metro|1999|5|1.921667|0.21|4.49|0.21
Electronics|corpunivamalg #7|NY Metro|1999|6|1.921667|0.21|0.21|2.24
Home|exportibrand #8|NY Metro|1999|3|2.222500|0.53|2.43|1.78
Electronics|maxiunivamalg #12|NY Metro|1999|7|2.228333|0.55|3.31|1.14
Jewelry|importobrand #7|NY Metro|1999|4|1.738333|0.06|1.84|0.44
Books|scholarunivamalg #2|NY Metro|1999|11|1.884167|0.21|1.31|3.80
Home|exportibrand #8|NY Metro|1999|1|2.222500|0.55|5.09|2.43
Jewelry|edu packcorp #7|NY Metro|1999|8|1.907500|0.24|0.17|0.70
Women|exportiamalg #2|NY Metro|1999|8|1.679167|0.03|2.75|1.76
Jewelry|amalgbrand #3|NY Metro|1999|4|1.781667|0.14|2.34|7.25
Sports|namelessnameless #9|NY Metro|1999|9|1.726364|0.09|0.81|2.46
Jewelry|amalgbrand #2|NY Metro|1999|1|1.795000|0.16|2.61|1.73
Sports|maxinameless #3|NY Metro|1999|7|2.030000|0.40|1.71|0.26
Music|amalgscholar #1|NY Metro|1999|7|3.529167|1.91|4.95|4.28
Books|univunivamalg #8|NY Metro|1999|5|1.847500|0.23|0.38|3.25
Electronics|corpamalgamalg #12|NY Metro|1999|5|2.014545|0.40|0.50|0.04
Books|corpmaxi #3|NY Metro|1999|9|1.930000|0.32|2.09|2.66
Home|exportibrand #8|NY Metro|1999|8|2.222500|0.62|2.32|3.93
Jewelry|importobrand #7|NY Metro|1999|10|1.738333|0.14|2.98|3.87
Home|edu packbrand #9|NY Metro|1999|4|1.881000|0.29|0.56|3.10
Sports|maxinameless #3|NY Metro|1999|10|2.030000|0.44|0.26|4.63
Music|amalgscholar #1|NY Metro|1999|5|3.529167|1.94|1.65|4.95
Women|exportiamalg #2|NY Metro|1999|3|1.679167|0.09|0.13|1.24
Electronics|amalgamalgamalg #6|NY Metro|1999|5|2.220000|0.64|1.42|1.96
Women|importoamalg #1|NY Metro|1999|3|5.574167|4.02|4.92|4.96
Jewelry|amalgbrand #3|NY Metro|1999|1|1.781667|0.23|3.93|0.37
Women|exportiamalg #2|NY Metro|1999|2|1.679167|0.13|3.42|0.09
Books|exportiunivamalg #2|NY Metro|1999|3|3.945833|2.40|4.96|2.95
Sports|brandnameless #5|NY Metro|1999|1|1.555455|0.01|2.01|0.25
Home|namelessbrand #9|NY Metro|1999|3|1.880909|0.34|1.08|2.89
Children|exportiexporti #1|NY Metro|1999|10|2.930833|1.39|1.54|2.82
