w_substr|sm_type|cc_name_lower|30 days|31-60 days|61-90 days|91-120 days|>120 days
Of course ot|TWO DAY|ny metro|946|1056|1001|0|0
Social, royal laws m|EXPRESS|mid atlantic|1272|1345|1321|0|0
Social, royal laws m|EXPRESS|north midwest|1277|1341|1241|0|0
Social, royal laws m|EXPRESS|ny metro|1233|1288|1342|0|0
Social, royal laws m|LIBRARY|mid atlantic|1014|928|979|0|0
Social, royal laws m|LIBRARY|north midwest|940|985|988|0|0
Social, royal laws m|LIBRARY|ny metro|948|1030|952|0|0
Social, royal laws m|NEXT DAY|mid atlantic|1225|1303|1320|0|0
Social, royal laws m|NEXT DAY|north midwest|1288|1263|1292|0|0
Social, royal laws m|NEXT DAY|ny metro|1264|1309|1295|0|0
Social, royal laws m|OVERNIGHT|mid atlantic|934|1013|1028|0|0
Social, royal laws m|OVERNIGHT|north midwest|850|933|932|0|0
Social, royal laws m|OVERNIGHT|ny metro|911|968|1003|0|0
Social, royal laws m|REGULAR|mid atlantic|912|952|981|0|0
Social, royal laws m|REGULAR|north midwest|971|943|909|0|0
Social, royal laws m|REGULAR|ny metro|973|1032|969|0|0
Social, royal laws m|TWO DAY|mid atlantic|944|1023|962|0|0
Social, royal laws m|TWO DAY|north midwest|914|972|942|0|0
Social, royal laws m|TWO DAY|ny metro|947|979|1002|0|0
Terms overcome instr|EXPRESS|mid atlantic|1266|1273|1297|0|0
Terms overcome instr|EXPRESS|north midwest|1250|1279|1281|0|0
Terms overcome instr|EXPRESS|ny metro|1235|1281|1302|0|0
Terms overcome instr|LIBRARY|mid atlantic|961|1005|1011|0|0
Terms overcome instr|LIBRARY|north midwest|908|970|996|0|0
Terms overcome instr|LIBRARY|ny metro|969|952|963|0|0
Terms overcome instr|NEXT DAY|mid atlantic|1254|1271|1321|0|0
Terms overcome instr|NEXT DAY|north midwest|1287|1248|1217|0|0
Terms overcome instr|NEXT DAY|ny metro|1313|1355|1340|0|0
Terms overcome instr|OVERNIGHT|mid atlantic|986|987|970|0|0
Terms overcome instr|OVERNIGHT|north midwest|909|943|969|0|0
Terms overcome instr|OVERNIGHT|ny metro|989|940|998|0|0
Terms overcome instr|REGULAR|mid atlantic|953|992|944|0|0
Terms overcome instr|REGULAR|north midwest|927|960|958|0|0
Terms overcome instr|REGULAR|ny metro|949|949|1020|0|0
Terms overcome instr|TWO DAY|mid atlantic|959|947|1001|0|0
Terms overcome instr|TWO DAY|north midwest|927|958|939|0|0
Terms overcome instr|TWO DAY|ny metro|958|978|993|0|0
