ca_state|cd_gender|cd_marital_status|cd_dep_count|cnt1|min1|max1|avg1|cd_dep_employed_count|cnt2|min2|max2|avg2|cd_dep_college_count|cnt3|min|max|avg
NULL|F|M|4|1|4|4|4.0000000000000000|2|1|2|2|2.0000000000000000|1|1|1|1|1.00000000000000000000
NULL|F|M|4|1|4|4|4.0000000000000000|4|1|4|4|4.0000000000000000|1|1|1|1|1.00000000000000000000
NULL|F|M|5|1|5|5|5.0000000000000000|1|1|1|1|1.00000000000000000000|2|1|2|2|2.0000000000000000
NULL|F|M|5|1|5|5|5.0000000000000000|3|1|3|3|3.0000000000000000|3|1|3|3|3.0000000000000000
NULL|F|M|6|1|6|6|6.0000000000000000|2|1|2|2|2.0000000000000000|2|1|2|2|2.0000000000000000
NULL|F|M|6|1|6|6|6.0000000000000000|2|1|2|2|2.0000000000000000|3|1|3|3|3.0000000000000000
NULL|F|M|6|1|6|6|6.0000000000000000|5|1|5|5|5.0000000000000000|0|1|0|0|0.00000000000000000000
NULL|F|S|0|1|0|0|0.00000000000000000000|0|1|0|0|0.00000000000000000000|3|1|3|3|3.0000000000000000
NULL|F|S|0|1|0|0|0.00000000000000000000|2|1|2|2|2.0000000000000000|3|1|3|3|3.0000000000000000
NULL|F|S|0|1|0|0|0.00000000000000000000|4|1|4|4|4.0000000000000000|5|1|5|5|5.0000000000000000
NULL|F|S|0|2|0|0|0.00000000000000000000|5|2|5|5|5.0000000000000000|5|2|5|5|5.0000000000000000
NULL|F|S|1|1|1|1|1.00000000000000000000|0|1|0|0|0.00000000000000000000|3|1|3|3|3.0000000000000000
NULL|F|S|1|1|1|1|1.00000000000000000000|3|1|3|3|3.0000000000000000|4|1|4|4|4.0000000000000000
NULL|F|S|1|1|1|1|1.00000000000000000000|4|1|4|4|4.0000000000000000|0|1|0|0|0.00000000000000000000
NULL|F|S|1|1|1|1|1.00000000000000000000|4|1|4|4|4.0000000000000000|4|1|4|4|4.0000000000000000
NULL|F|S|2|1|2|2|2.0000000000000000|0|1|0|0|0.00000000000000000000|3|1|3|3|3.0000000000000000
NULL|F|S|2|1|2|2|2.0000000000000000|1|1|1|1|1.00000000000000000000|6|1|6|6|6.0000000000000000
NULL|F|S|2|1|2|2|2.0000000000000000|2|1|2|2|2.0000000000000000|2|1|2|2|2.0000000000000000
NULL|F|S|2|1|2|2|2.0000000000000000|4|1|4|4|4.0000000000000000|6|1|6|6|6.0000000000000000
NULL|F|S|2|1|2|2|2.0000000000000000|6|1|6|6|6.0000000000000000|1|1|1|1|1.00000000000000000000
NULL|F|S|2|1|2|2|2.0000000000000000|6|1|6|6|6.0000000000000000|5|1|5|5|5.0000000000000000
NULL|F|S|3|1|3|3|3.0000000000000000|1|1|1|1|1.00000000000000000000|0|1|0|0|0.00000000000000000000
NULL|F|S|3|1|3|3|3.0000000000000000|1|1|1|1|1.00000000000000000000|2|1|2|2|2.0000000000000000
NULL|F|S|3|1|3|3|3.0000000000000000|3|1|3|3|3.0000000000000000|0|1|0|0|0.00000000000000000000
NULL|F|S|3|1|3|3|3.0000000000000000|4|1|4|4|4.0000000000000000|6|1|6|6|6.0000000000000000
NULL|F|S|3|1|3|3|3.0000000000000000|6|1|6|6|6.0000000000000000|6|1|6|6|6.0000000000000000
NULL|F|S|4|1|4|4|4.0000000000000000|0|1|0|0|0.00000000000000000000|2|1|2|2|2.0000000000000000
NULL|F|S|5|1|5|5|5.0000000000000000|6|1|6|6|6.0000000000000000|6|1|6|6|6.0000000000000000
NULL|F|S|6|1|6|6|6.0000000000000000|0|1|0|0|0.00000000000000000000|0|1|0|0|0.00000000000000000000
NULL|F|S|6|1|6|6|6.0000000000000000|0|1|0|0|0.00000000000000000000|2|1|2|2|2.0000000000000000
NULL|F|S|6|1|6|6|6.0000000000000000|3|1|3|3|3.0000000000000000|6|1|6|6|6.0000000000000000
NULL|F|S|6|1|6|6|6.0000000000000000|4|1|4|4|4.0000000000000000|5|1|5|5|5.0000000000000000
NULL|F|U|0|1|0|0|0.00000000000000000000|4|1|4|4|4.0000000000000000|1|1|1|1|1.00000000000000000000
NULL|F|U|0|1|0|0|0.00000000000000000000|5|1|5|5|5.0000000000000000|1|1|1|1|1.00000000000000000000
NULL|F|U|0|1|0|0|0.00000000000000000000|6|1|6|6|6.0000000000000000|6|1|6|6|6.0000000000000000
NULL|F|U|1|1|1|1|1.00000000000000000000|5|1|5|5|5.0000000000000000|2|1|2|2|2.0000000000000000
NULL|F|U|2|1|2|2|2.0000000000000000|0|1|0|0|0.00000000000000000000|6|1|6|6|6.0000000000000000
NULL|F|U|2|1|2|2|2.0000000000000000|4|1|4|4|4.0000000000000000|4|1|4|4|4.0000000000000000
NULL|F|U|3|1|3|3|3.0000000000000000|1|1|1|1|1.00000000000000000000|6|1|6|6|6.0000000000000000
NULL|F|U|3|1|3|3|3.0000000000000000|3|1|3|3|3.0000000000000000|6|1|6|6|6.0000000000000000
NULL|F|U|3|1|3|3|3.0000000000000000|4|1|4|4|4.0000000000000000|3|1|3|3|3.0000000000000000
NULL|F|U|3|1|3|3|3.0000000000000000|5|1|5|5|5.0000000000000000|1|1|1|1|1.00000000000000000000
NULL|F|U|3|1|3|3|3.0000000000000000|6|1|6|6|6.0000000000000000|0|1|0|0|0.00000000000000000000
NULL|F|U|3|1|3|3|3.0000000000000000|6|1|6|6|6.0000000000000000|3|1|3|3|3.0000000000000000
NULL|F|U|4|1|4|4|4.0000000000000000|1|1|1|1|1.00000000000000000000|4|1|4|4|4.0000000000000000
NULL|F|U|4|1|4|4|4.0000000000000000|6|1|6|6|6.0000000000000000|5|1|5|5|5.0000000000000000
NULL|F|U|6|1|6|6|6.0000000000000000|1|1|1|1|1.00000000000000000000|3|1|3|3|3.0000000000000000
NULL|F|U|6|1|6|6|6.0000000000000000|2|1|2|2|2.0000000000000000|1|1|1|1|1.00000000000000000000
NULL|F|U|6|1|6|6|6.0000000000000000|5|1|5|5|5.0000000000000000|6|1|6|6|6.0000000000000000
NULL|F|W|0|1|0|0|0.00000000000000000000|2|1|2|2|2.0000000000000000|4|1|4|4|4.0000000000000000
NULL|F|W|0|1|0|0|0.00000000000000000000|6|1|6|6|6.0000000000000000|2|1|2|2|2.0000000000000000
NULL|F|W|2|1|2|2|2.0000000000000000|5|1|5|5|5.0000000000000000|1|1|1|1|1.00000000000000000000
NULL|F|W|3|1|3|3|3.0000000000000000|6|1|6|6|6.0000000000000000|1|1|1|1|1.00000000000000000000
NULL|F|W|4|1|4|4|4.0000000000000000|1|1|1|1|1.00000000000000000000|1|1|1|1|1.00000000000000000000
NULL|F|W|4|1|4|4|4.0000000000000000|2|1|2|2|2.0000000000000000|6|1|6|6|6.0000000000000000
NULL|F|W|4|1|4|4|4.0000000000000000|4|1|4|4|4.0000000000000000|3|1|3|3|3.0000000000000000
NULL|F|W|5|1|5|5|5.0000000000000000|3|1|3|3|3.0000000000000000|1|1|1|1|1.00000000000000000000
NULL|F|W|5|1|5|5|5.0000000000000000|6|1|6|6|6.0000000000000000|1|1|1|1|1.00000000000000000000
NULL|F|W|6|1|6|6|6.0000000000000000|2|1|2|2|2.0000000000000000|6|1|6|6|6.0000000000000000
NULL|F|W|6|1|6|6|6.0000000000000000|4|1|4|4|4.0000000000000000|0|1|0|0|0.00000000000000000000
NULL|F|W|6|1|6|6|6.0000000000000000|5|1|5|5|5.0000000000000000|4|1|4|4|4.0000000000000000
NULL|F|W|6|1|6|6|6.0000000000000000|5|1|5|5|5.0000000000000000|6|1|6|6|6.0000000000000000
NULL|M|D|0|1|0|0|0.00000000000000000000|3|1|3|3|3.0000000000000000|0|1|0|0|0.00000000000000000000
NULL|M|D|2|1|2|2|2.0000000000000000|3|1|3|3|3.0000000000000000|3|1|3|3|3.0000000000000000
NULL|M|D|2|1|2|2|2.0000000000000000|6|1|6|6|6.0000000000000000|1|1|1|1|1.00000000000000000000
NULL|M|D|2|1|2|2|2.0000000000000000|6|1|6|6|6.0000000000000000|6|1|6|6|6.0000000000000000
NULL|M|D|3|1|3|3|3.0000000000000000|1|1|1|1|1.00000000000000000000|5|1|5|5|5.0000000000000000
NULL|M|D|3|1|3|3|3.0000000000000000|4|1|4|4|4.0000000000000000|2|1|2|2|2.0000000000000000
NULL|M|D|3|1|3|3|3.0000000000000000|5|1|5|5|5.0000000000000000|4|1|4|4|4.0000000000000000
NULL|M|D|3|1|3|3|3.0000000000000000|6|1|6|6|6.0000000000000000|6|1|6|6|6.0000000000000000
NULL|M|D|4|1|4|4|4.0000000000000000|5|1|5|5|5.0000000000000000|5|1|5|5|5.0000000000000000
NULL|M|D|6|1|6|6|6.0000000000000000|2|1|2|2|2.0000000000000000|5|1|5|5|5.0000000000000000
NULL|M|D|6|1|6|6|6.0000000000000000|4|1|4|4|4.0000000000000000|3|1|3|3|3.0000000000000000
NULL|M|D|6|1|6|6|6.0000000000000000|4|1|4|4|4.0000000000000000|4|1|4|4|4.0000000000000000
NULL|M|M|0|1|0|0|0.00000000000000000000|0|1|0|0|0.00000000000000000000|2|1|2|2|2.0000000000000000
NULL|M|M|0|1|0|0|0.00000000000000000000|1|1|1|1|1.00000000000000000000|6|1|6|6|6.0000000000000000
NULL|M|M|0|1|0|0|0.00000000000000000000|2|1|2|2|2.0000000000000000|0|1|0|0|0.00000000000000000000
NULL|M|M|0|1|0|0|0.00000000000000000000|2|1|2|2|2.0000000000000000|5|1|5|5|5.0000000000000000
NULL|M|M|0|1|0|0|0.00000000000000000000|6|1|6|6|6.0000000000000000|1|1|1|1|1.00000000000000000000
NULL|M|M|0|1|0|0|0.00000000000000000000|6|1|6|6|6.0000000000000000|2|1|2|2|2.0000000000000000
