i_category|i_brand|s_store_name|s_company_name|d_year|d_moy|avg_monthly_sales|sum_sales|psum|nsum
Men|edu packimporto #1|eing|Unknown|1999|3|5357.6491666666666667|2540.39|2660.01|2941.55
Music|exportischolar #1|able|Unknown|1999|2|5091.8225000000000000|2275.06|3466.62|3404.43
Music|edu packscholar #1|ought|Unknown|1999|5|5745.6591666666666667|2950.56|3525.23|3841.30
Women|exportiamalg #1|ation|Unknown|1999|6|4043.7108333333333333|1257.49|2636.27|2741.38
Men|amalgimporto #1|ation|Unknown|1999|4|4592.0325000000000000|1810.70|3695.86|2592.03
Men|edu packimporto #1|ation|Unknown|1999|6|5441.2591666666666667|2660.71|3033.54|3153.13
Music|exportischolar #1|able|Unknown|1999|5|5091.8225000000000000|2314.25|2501.78|2499.53
Music|exportischolar #1|ation|Unknown|1999|4|5283.7225000000000000|2506.89|3160.44|3010.26
Shoes|edu packedu pack #1|ought|Unknown|1999|2|4738.0808333333333333|1973.24|4051.49|2689.86
Men|edu packimporto #1|ation|Unknown|1999|4|5441.2591666666666667|2679.92|3426.52|3033.54
Women|exportiamalg #1|ese|Unknown|1999|4|4062.7475000000000000|1303.08|2417.59|2518.05
Women|amalgamalg #1|eing|Unknown|1999|6|4757.8966666666666667|2003.37|3257.38|2590.08
Music|amalgscholar #1|ation|Unknown|1999|4|4565.0250000000000000|1825.71|2502.48|2665.15
Music|edu packscholar #1|ought|Unknown|1999|3|5745.6591666666666667|3008.60|4586.45|3525.23
Women|amalgamalg #1|ought|Unknown|1999|7|4709.4491666666666667|1975.80|2662.46|4872.04
Children|importoexporti #1|eing|Unknown|1999|7|4755.2666666666666667|2028.76|2810.40|6574.72
Music|amalgscholar #1|able|Unknown|1999|7|4695.4500000000000000|1974.68|2893.79|6419.56
Children|exportiexporti #1|ese|Unknown|1999|3|5345.1616666666666667|2629.86|3241.23|3715.50
Men|importoimporto #1|eing|Unknown|1999|2|5231.4508333333333333|2519.47|3990.80|3875.56
Men|amalgimporto #1|bar|Unknown|1999|7|4765.5175000000000000|2054.27|2833.45|5996.84
Children|importoexporti #1|able|Unknown|1999|5|4656.3833333333333333|1955.13|2891.13|2615.19
Men|edu packimporto #1|eing|Unknown|1999|2|5357.6491666666666667|2660.01|4274.42|2540.39
Men|edu packimporto #1|ese|Unknown|1999|3|5126.3458333333333333|2438.49|3321.80|3417.15
Shoes|importoedu pack #1|bar|Unknown|1999|3|4788.5283333333333333|2112.38|2382.55|2524.44
Music|edu packscholar #1|eing|Unknown|1999|7|5649.6916666666666667|2978.10|3886.73|7089.34
Music|edu packscholar #1|ese|Unknown|1999|2|5295.9650000000000000|2626.72|4362.69|3154.39
Shoes|exportiedu pack #1|eing|Unknown|1999|5|4893.8975000000000000|2225.27|3257.35|2641.51
Shoes|exportiedu pack #1|ation|Unknown|1999|4|4870.8258333333333333|2207.54|1888.87|1922.98
Music|exportischolar #1|ation|Unknown|1999|6|5283.7225000000000000|2622.97|3010.26|3005.05
Men|importoimporto #1|able|Unknown|1999|4|5093.8950000000000000|2435.18|3266.72|2523.05
Music|edu packscholar #1|bar|Unknown|1999|2|5421.8675000000000000|2774.63|3831.83|2431.81
Men|edu packimporto #1|bar|Unknown|1999|4|5545.5991666666666667|2902.54|2948.29|4109.17
Children|amalgexporti #1|ation|Unknown|1999|2|4466.4000000000000000|1842.50|3824.47|2674.77
Men|amalgimporto #1|bar|Unknown|1999|3|4765.5175000000000000|2141.99|3116.18|2597.69
Men|importoimporto #1|eing|Unknown|1999|6|5231.4508333333333333|2616.86|2008.09|3963.99
Women|amalgamalg #1|eing|Unknown|1999|4|4757.8966666666666667|2146.65|2403.11|3257.38
Men|edu packimporto #1|bar|Unknown|1999|2|5545.5991666666666667|2938.05|4395.27|2948.29
Shoes|amalgedu pack #1|eing|Unknown|1999|7|4872.6241666666666667|2273.12|2645.61|6426.35
Men|edu packimporto #1|bar|Unknown|1999|3|5545.5991666666666667|2948.29|2938.05|2902.54
Music|edu packscholar #1|ese|Unknown|1999|7|5295.9650000000000000|2701.86|2851.73|7345.56
Music|exportischolar #1|able|Unknown|1999|6|5091.8225000000000000|2499.53|2314.25|3577.20
Children|exportiexporti #1|bar|Unknown|1999|6|5267.4866666666666667|2675.84|4037.32|1975.77
Music|exportischolar #1|able|Unknown|1999|4|5091.8225000000000000|2501.78|3404.43|2314.25
Shoes|edu packedu pack #1|bar|Unknown|1999|4|4574.5950000000000000|1990.88|3790.38|3068.68
Shoes|importoedu pack #1|bar|Unknown|1999|7|4788.5283333333333333|2205.33|3332.52|6151.27
Women|edu packamalg #1|ought|Unknown|1999|2|4259.4916666666666667|1677.24|3545.22|2174.31
Children|amalgexporti #1|able|Unknown|1999|2|4514.0216666666666667|1933.36|3824.92|3045.79
Women|importoamalg #1|eing|Unknown|1999|3|4665.8141666666666667|2089.30|2429.44|2446.79
Men|importoimporto #1|able|Unknown|1999|5|5093.8950000000000000|2523.05|2435.18|2766.39
Music|edu packscholar #1|bar|Unknown|1999|7|5421.8675000000000000|2851.25|3056.06|7819.69
Shoes|edu packedu pack #1|bar|Unknown|1999|7|4574.5950000000000000|2015.29|2911.79|6660.40
Shoes|amalgedu pack #1|able|Unknown|1999|2|4598.7750000000000000|2041.46|3342.43|2321.91
Women|amalgamalg #1|ese|Unknown|1999|3|4784.7750000000000000|2230.87|2514.78|3506.84
Music|exportischolar #1|bar|Unknown|1999|4|5250.5808333333333333|2701.10|2923.25|3487.44
Shoes|amalgedu pack #1|ese|Unknown|1999|4|4561.0441666666666667|2013.17|2578.52|2503.22
Women|amalgamalg #1|ation|Unknown|1999|6|4744.3175000000000000|2196.49|2562.17|2701.26
Men|amalgimporto #1|ese|Unknown|1999|6|4467.7333333333333333|1927.45|2766.80|3559.74
Shoes|amalgedu pack #1|bar|Unknown|1999|3|4782.5425000000000000|2243.68|3076.76|2582.46
Men|amalgimporto #1|eing|Unknown|1999|3|4496.9525000000000000|1959.48|2947.55|2813.43
Women|amalgamalg #1|able|Unknown|1999|2|4551.6366666666666667|2015.05|2826.61|2507.85
Children|exportiexporti #1|able|Unknown|1999|4|4934.0766666666666667|2397.65|2716.15|3314.65
Children|edu packexporti #1|able|Unknown|1999|2|4468.0558333333333333|1934.65|3326.08|2254.51
Shoes|edu packedu pack #1|able|Unknown|1999|3|4760.5108333333333333|2228.72|2353.62|2410.96
Music|edu packscholar #1|able|Unknown|1999|7|5201.0500000000000000|2669.83|3312.44|6274.84
Men|edu packimporto #1|eing|Unknown|1999|5|5357.6491666666666667|2827.30|2941.55|2913.47
Shoes|importoedu pack #1|ation|Unknown|1999|2|4755.0408333333333333|2225.97|3518.43|2596.14
Children|exportiexporti #1|bar|Unknown|1999|4|5267.4866666666666667|2738.82|2837.11|4037.32
Men|importoimporto #1|ese|Unknown|1999|6|5324.9850000000000000|2796.90|3259.37|3034.74
Shoes|importoedu pack #1|eing|Unknown|1999|5|4729.3783333333333333|2202.78|2570.05|2855.28
Children|exportiexporti #1|ought|Unknown|1999|5|5174.9791666666666667|2650.66|3221.09|3074.04
Shoes|amalgedu pack #1|eing|Unknown|1999|3|4872.6241666666666667|2349.34|2923.00|2666.63
