i_category|i_class|i_brand|i_product_name|d_year|d_qoy|d_moy|s_store_id|sumsales|rk
Books|cooking|amalgunivamalg #9|NULL|NULL|NULL|NULL|NULL|960915.17|80
Books|entertainments|NULL|NULL|NULL|NULL|NULL|NULL|5968937.89|13
Books|entertainments|edu packmaxi #12|NULL|NULL|NULL|NULL|NULL|952398.60|82
Books|entertainments|edu packmaxi #2|NULL|NULL|NULL|NULL|NULL|1103070.19|67
Books|entertainments|edu packmaxi #3|NULL|NULL|NULL|NULL|NULL|1518059.93|34
Books|entertainments|edu packmaxi #6|NULL|NULL|NULL|NULL|NULL|855451.38|91
Books|entertainments|edu packmaxi #8|NULL|NULL|NULL|NULL|NULL|971475.32|79
Books|fiction|NULL|NULL|NULL|NULL|NULL|NULL|8491965.57|3
Books|fiction|scholarunivamalg #12|NULL|NULL|NULL|NULL|NULL|1169553.14|63
Books|fiction|scholarunivamalg #2|NULL|NULL|NULL|NULL|NULL|2036423.70|19
Books|fiction|scholarunivamalg #3|NULL|NULL|NULL|NULL|NULL|1350491.60|44
Books|fiction|scholarunivamalg #6|NULL|NULL|NULL|NULL|NULL|1094434.26|68
Books|fiction|scholarunivamalg #8|NULL|NULL|NULL|NULL|NULL|1437714.35|37
Books|fiction|scholarunivamalg #9|NULL|NULL|NULL|NULL|NULL|1398380.82|40
Books|history|NULL|NULL|NULL|NULL|NULL|NULL|9309227.36|2
Books|history|scholarmaxi #12|NULL|NULL|NULL|NULL|NULL|1559459.50|32
Books|history|scholarmaxi #2|NULL|NULL|NULL|NULL|NULL|1675489.04|26
Books|history|scholarmaxi #3|NULL|NULL|NULL|NULL|NULL|1191980.47|60
Books|history|scholarmaxi #6|NULL|NULL|NULL|NULL|NULL|1259488.94|52
Books|history|scholarmaxi #8|NULL|NULL|NULL|NULL|NULL|1312982.48|50
Books|history|scholarmaxi #9|NULL|NULL|NULL|NULL|NULL|2296352.89|18
Books|home repair|NULL|NULL|NULL|NULL|NULL|NULL|7687710.93|7
Books|home repair|importounivamalg #12|NULL|NULL|NULL|NULL|NULL|950667.43|83
Books|home repair|importounivamalg #2|NULL|NULL|NULL|NULL|NULL|1610447.80|29
Books|home repair|importounivamalg #3|NULL|NULL|NULL|NULL|NULL|1432555.36|38
Books|home repair|importounivamalg #6|NULL|NULL|NULL|NULL|NULL|767670.53|98
Books|home repair|importounivamalg #8|NULL|NULL|NULL|NULL|NULL|1780483.80|23
Books|home repair|importounivamalg #9|NULL|NULL|NULL|NULL|NULL|1141423.71|65
Books|mystery|NULL|NULL|NULL|NULL|NULL|NULL|5904450.57|16
Books|mystery|corpunivamalg #12|NULL|NULL|NULL|NULL|NULL|1181587.90|62
Books|mystery|corpunivamalg #3|NULL|NULL|NULL|NULL|NULL|1400043.26|39
Books|mystery|corpunivamalg #6|NULL|NULL|NULL|NULL|NULL|1068871.96|70
Books|mystery|corpunivamalg #8|NULL|NULL|NULL|NULL|NULL|753526.29|99
Books|parenting|NULL|NULL|NULL|NULL|NULL|NULL|6368534.43|11
Books|parenting|corpmaxi #12|NULL|NULL|NULL|NULL|NULL|1093744.79|69
Books|parenting|corpmaxi #2|NULL|NULL|NULL|NULL|NULL|892078.77|87
Books|parenting|corpmaxi #6|NULL|NULL|NULL|NULL|NULL|1871858.23|22
Books|parenting|corpmaxi #8|NULL|NULL|NULL|NULL|NULL|751351.88|100
Books|parenting|corpmaxi #9|NULL|NULL|NULL|NULL|NULL|1053081.36|72
Books|reference|NULL|NULL|NULL|NULL|NULL|NULL|7699002.72|6
Books|reference|brandmaxi #12|NULL|NULL|NULL|NULL|NULL|1355414.53|43
Books|reference|brandmaxi #2|NULL|NULL|NULL|NULL|NULL|1313167.83|49
Books|reference|brandmaxi #3|NULL|NULL|NULL|NULL|NULL|1324941.92|47
Books|reference|brandmaxi #6|NULL|NULL|NULL|NULL|NULL|1320458.81|48
Books|reference|brandmaxi #8|NULL|NULL|NULL|NULL|NULL|1460240.29|36
Books|reference|brandmaxi #9|NULL|NULL|NULL|NULL|NULL|919265.14|85
Books|romance|NULL|NULL|NULL|NULL|NULL|NULL|8100997.08|4
Books|romance|namelessmaxi #12|NULL|NULL|NULL|NULL|NULL|1654036.86|28
Books|romance|namelessmaxi #2|NULL|NULL|NULL|NULL|NULL|1382828.78|41
Books|romance|namelessmaxi #3|NULL|NULL|NULL|NULL|NULL|1952366.88|20
Books|romance|namelessmaxi #6|NULL|NULL|NULL|NULL|NULL|1348825.22|45
Books|romance|namelessmaxi #8|NULL|NULL|NULL|NULL|NULL|853817.21|92
Books|romance|namelessmaxi #9|NULL|NULL|NULL|NULL|NULL|892616.53|86
Books|science|NULL|NULL|NULL|NULL|NULL|NULL|6431820.99|10
Books|science|maximaxi #2|NULL|NULL|NULL|NULL|NULL|867201.70|88
Books|science|maximaxi #3|NULL|NULL|NULL|NULL|NULL|1105020.86|66
Books|science|maximaxi #6|NULL|NULL|NULL|NULL|NULL|1682297.47|25
Books|science|maximaxi #8|NULL|NULL|NULL|NULL|NULL|1188731.79|61
Books|science|maximaxi #9|NULL|NULL|NULL|NULL|NULL|997255.27|77
Books|self-help|NULL|NULL|NULL|NULL|NULL|NULL|6893524.95|9
Books|self-help|exportiunivamalg #2|NULL|NULL|NULL|NULL|NULL|1328463.37|46
Books|self-help|exportiunivamalg #3|NULL|NULL|NULL|NULL|NULL|799815.68|97
Books|self-help|exportiunivamalg #6|NULL|NULL|NULL|NULL|NULL|1661031.81|27
Books|self-help|exportiunivamalg #8|NULL|NULL|NULL|NULL|NULL|865390.95|89
Books|self-help|exportiunivamalg #9|NULL|NULL|NULL|NULL|NULL|1542544.25|33
Books|sports|NULL|NULL|NULL|NULL|NULL|NULL|5905556.73|15
Books|sports|edu packunivamalg #12|NULL|NULL|NULL|NULL|NULL|934248.95|84
Books|sports|edu packunivamalg #6|NULL|NULL|NULL|NULL|NULL|1594768.19|31
Books|sports|edu packunivamalg #8|NULL|NULL|NULL|NULL|NULL|1284643.21|51
Books|sports|edu packunivamalg #9|NULL|NULL|NULL|NULL|NULL|863297.35|90
Books|travel|NULL|NULL|NULL|NULL|NULL|NULL|6989380.24|8
Books|travel|univunivamalg #12|NULL|NULL|NULL|NULL|NULL|1242300.06|54
Books|travel|univunivamalg #2|NULL|NULL|NULL|NULL|NULL|1198769.82|56
Books|travel|univunivamalg #3|NULL|NULL|NULL|NULL|NULL|1195926.75|58
Books|travel|univunivamalg #8|NULL|NULL|NULL|NULL|NULL|1599720.74|30
