i_product_name|i_brand|i_class|i_category|qoh
oughtbarantiese|NULL|NULL|NULL|441.7459677419355
oughtbarantiese|exportiedu pack #2|NULL|NULL|441.7459677419355
oughtbarantiese|exportiedu pack #2|kids|NULL|441.7459677419355
oughtbarantiese|exportiedu pack #2|kids|Shoes|441.7459677419355
oughtbarprin st|NULL|NULL|NULL|442.0734693877551
oughtbarprin st|edu packscholar #2|NULL|NULL|442.0734693877551
oughtbarprin st|edu packscholar #2|classical|NULL|442.0734693877551
oughtbarprin st|edu packscholar #2|classical|Music|442.0734693877551
ationeingation|NULL|NULL|NULL|443.78225806451616
ationeingation|amalgexporti #2|NULL|NULL|443.78225806451616
ationeingation|amalgexporti #2|newborn|NULL|443.78225806451616
ationeingation|amalgexporti #2|newborn|Children|443.78225806451616
ationbarn stableought|NULL|NULL|NULL|444.09274193548384
ationbarn stableought|corpbrand #8|NULL|NULL|444.09274193548384
ationbarn stableought|corpbrand #8|rugs|NULL|444.09274193548384
ationbarn stableought|corpbrand #8|rugs|Home|444.09274193548384
eseationcallyableought|NULL|NULL|NULL|444.5443548387097
eseationcallyableought|importoexporti #1|NULL|NULL|444.5443548387097
eseationcallyableought|importoexporti #1|infants|NULL|444.5443548387097
eseationcallyableought|importoexporti #1|infants|Children|444.5443548387097
eingableableationought|NULL|NULL|NULL|444.7142857142857
eingableableationought|amalgimporto #1|NULL|NULL|444.7142857142857
eingableableationought|amalgimporto #1|accessories|NULL|444.7142857142857
eingableableationought|amalgimporto #1|accessories|Men|444.7142857142857
n steseantiation|NULL|NULL|NULL|445.33196721311475
n steseantiation|univmaxi #10|NULL|NULL|445.33196721311475
n steseantiation|univmaxi #10|pools|NULL|445.33196721311475
n steseantiation|univmaxi #10|pools|Sports|445.33196721311475
antibareingantiought|NULL|NULL|NULL|445.4065040650407
antibareingantiought|importoimporto #2|NULL|NULL|445.4065040650407
antibareingantiought|importoimporto #2|shirts|NULL|445.4065040650407
antibareingantiought|importoimporto #2|shirts|Men|445.4065040650407
ationantibarationought|NULL|NULL|NULL|445.4190871369295
ationantibarationought|univmaxi #8|NULL|NULL|445.4190871369295
ationantibarationought|univmaxi #8|pools|NULL|445.4190871369295
ationantibarationought|univmaxi #8|pools|Sports|445.4190871369295
oughtpricallybarought|NULL|NULL|NULL|445.4859437751004
oughtpricallybarought|edu packexporti #2|NULL|NULL|445.4859437751004
oughtpricallybarought|edu packexporti #2|school-uniforms|NULL|445.4859437751004
oughtpricallybarought|edu packexporti #2|school-uniforms|Children|445.4859437751004
ableationprieing|NULL|NULL|NULL|445.99583333333334
ableationprieing|amalgamalg #1|NULL|NULL|445.99583333333334
ableationprieing|amalgamalg #1|dresses|NULL|445.99583333333334
ableationprieing|amalgamalg #1|dresses|Women|445.99583333333334
pribarpribarought|NULL|NULL|NULL|446.0408163265306
pribarpribarought|edu packimporto #2|NULL|NULL|446.0408163265306
pribarpribarought|edu packimporto #2|sports-apparel|NULL|446.0408163265306
pribarpribarought|edu packimporto #2|sports-apparel|Men|446.0408163265306
oughtn stprin st|NULL|NULL|NULL|447.26666666666665
oughtn stprin st|exportiamalgamalg #8|NULL|NULL|447.26666666666665
oughtn stprin st|exportiamalgamalg #8|stereo|NULL|447.26666666666665
oughtn stprin st|exportiamalgamalg #8|stereo|Electronics|447.26666666666665
