tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0030627	movie	Prison Nurse	Prison Nurse	0	1938	\N	67	Drama,Film-Noir
tt0030628	movie	Prison Train	Prison Train	0	1938	\N	64	Crime,Drama
tt0030629	movie	Prison Without Bars	Prison Without Bars	0	1938	\N	72	Drama
tt0030630	movie	Marked Girls	Prisons de femmes	0	1938	\N	102	Drama
tt0030631	movie	Professor Beware	Professor Beware	0	1938	\N	93	Comedy
tt0030632	short	Afternoon of a Faun	Prélude à l'après-midi d'un faune	0	1937	\N	\N	Animation,Short
tt0030633	short	Betty Boop- Pudgy and the Lost Kitten	Pudgy and the Lost Kitten	0	1938	\N	7	Animation,Comedy,Family
tt0030634	short	Betty Boop- Pudgy the Watchman	Pudgy the Watchman	0	1938	\N	8	Animation,Comedy,Family
tt0030635	movie	The Puritan	Le puritain	0	1938	\N	85	Crime,Drama,Mystery
tt0030636	movie	The Purple Vigilantes	The Purple Vigilantes	0	1938	\N	58	Western
tt0030637	movie	Pygmalion	Pygmalion	0	1938	\N	96	Comedy,Drama,Romance
tt0030638	short	The Pygmy Hunt	The Pygmy Hunt	0	1938	\N	9	Animation,Comedy,Family
tt0030640	movie	A Cruise in the Albertina	På kryss med Albertina	0	1938	\N	89	\N
tt0030641	movie	Péntek Rézi	Péntek Rézi	0	1938	\N	81	Comedy
tt0030642	movie	Quadrille	Quadrille	0	1938	\N	95	Comedy,Romance
tt0030643	movie	Port of Shadows	Le quai des brumes	0	1938	\N	91	Crime,Drama,Romance
tt0030644	movie	Queer Cargo	Queer Cargo	0	1938	\N	61	Drama
tt0030645	movie	Quick Money	Quick Money	0	1937	\N	59	Comedy
tt0030646	movie	Quiet Please	Quiet Please	0	1938	\N	67	Comedy,Crime
tt0030647	short	Quintupland	Quintupland	0	1938	\N	19	Documentary,Short
tt0030648	movie	Racing Blood	Racing Blood	0	1936	\N	61	Crime,Drama,Romance
tt0030649	movie	Racing Romance	Racing Romance	0	1937	\N	63	Comedy
tt0030650	movie	Racket Busters	Racket Busters	0	1938	\N	71	Action,Adventure,Crime
tt0030651	movie	Radio City Revels	Radio City Revels	0	1938	\N	90	Comedy,Musical,Romance
tt0030652	movie	The Rage of Paris	The Rage of Paris	0	1938	\N	78	Comedy
tt0030653	movie	The Rangers' Round-Up	The Rangers' Round-Up	0	1938	\N	55	Western
tt0030654	movie	Rascals	Rascals	0	1938	\N	77	Comedy
tt0030655	movie	Rawhide	Rawhide	0	1938	\N	58	Action,Music,Romance
tt0030656	short	Ray Kinney and His Royal Hawaiian Orchestra and the Aloha Maids	Ray Kinney and His Royal Hawaiian Orchestra and The Aloha Maids	0	1938	\N	11	Music,Short
tt0030657	movie	Rebecca of Sunnybrook Farm	Rebecca of Sunnybrook Farm	0	1938	\N	81	Comedy,Drama,Family
tt0030658	movie	The Barbarian and the Lady	The Rebel's Son	0	1938	\N	88	Action,History
tt0030659	movie	Rebellious Daughters	Rebellious Daughters	0	1938	\N	69	Drama
tt0030660	movie	Reckless Living	Reckless Living	0	1938	\N	65	Comedy,Drama,Music
tt0030661	short	Reconstruyendo España, número 3	Reconstruyendo España, número 3	0	1938	\N	10	Documentary,Short,War
tt0030662	movie	Red Barry	Red Barry	0	1938	\N	256	Drama
tt0030663	movie	Red River Range	Red River Range	0	1938	\N	56	Action,Crime,Western
tt0030664	movie	Reformatory	Reformatory	0	1938	\N	61	Action,Adventure,Crime
tt0030665	movie	Refugees in Madrid	Refugiados en Madrid	0	1938	\N	104	Drama,Romance,War
tt0030666	movie	Religious Racketeers	Religious Racketeers	0	1938	\N	90	Crime,Drama,Mystery
tt0030667	movie	Let's Go Up the Champs-Élysées	Remontons les Champs-Élysées	0	1938	\N	100	Comedy,Drama
tt0030668	movie	The Renegade Ranger	The Renegade Ranger	0	1938	\N	59	Western
tt0030669	movie	On the Great White Trail	On the Great White Trail	0	1938	\N	58	Western
tt0030670	short	Resistencia en Levante	Resistencia en Levante	0	1938	\N	16	Documentary,Short,War
tt0030671	movie	She Returned at Dawn	Retour à l'aube	0	1938	\N	94	Drama,Romance
tt0030672	short	Retour à la terre	Retour à la terre	0	1938	\N	\N	Short
tt0030673	movie	The Return of Carol Deane	The Return of Carol Deane	0	1938	\N	76	Crime,Drama
tt0030674	movie	Nobody Home	Return of the Frog	0	1938	\N	73	Crime,Mystery,Thriller
tt0030675	movie	The Return of the Scarlet Pimpernel	The Return of the Scarlet Pimpernel	0	1937	\N	94	Drama,History,Romance
tt0030676	movie	Return to Life	Return to Life	0	1938	\N	50	Documentary
tt0030677	movie	Revolutionshochzeit	Revolutionshochzeit	0	1938	\N	\N	\N
tt0030678	movie	Rhythm of the Saddle	Rhythm of the Saddle	0	1938	\N	55	Western
tt0030679	movie	Rich Man, Poor Girl	Rich Man, Poor Girl	0	1938	\N	72	Comedy,Drama,Romance
tt0030680	movie	Ride a Crooked Mile	Ride a Crooked Mile	0	1938	\N	70	Crime,Drama
tt0030681	movie	Riders of the Black Hills	Riders of the Black Hills	0	1938	\N	55	Western
tt0030682	short	Betty Boop- Riding the Rails	Riding the Rails	0	1938	\N	6	Animation,Short
tt0030684	movie	Road Demon	Road Demon	0	1938	\N	65	Crime,Drama,Sport
tt0030685	movie	The Road to Reno	The Road to Reno	0	1938	\N	72	Comedy,Music,Romance
tt0030686	movie	Roaring Six Guns	Roaring Six Guns	0	1937	\N	57	Western
tt0030687	movie	The Song of the Camp	Roei no uta	0	1938	\N	82	Biography
tt0030688	movie	Roll Along, Cowboy	Roll Along, Cowboy	0	1937	\N	57	Western
tt0030689	movie	Rollin' Plains	Rollin' Plains	0	1938	\N	57	Western
tt0030690	movie	Rolling Caravans	Rolling Caravans	0	1938	\N	55	Western
tt0030691	movie	Romance in the Dark	Romance in the Dark	0	1938	\N	77	Comedy,Music,Romance
tt0030692	movie	Romance of the Limberlost	Romance of the Limberlost	0	1938	\N	75	Drama,Romance
tt0030693	movie	Romance of the Rockies	Romance of the Rockies	0	1937	\N	53	Action,Adventure,Drama
tt0030694	movie	Romance on the Run	Romance on the Run	0	1938	\N	68	Mystery
tt0030695	movie	Romance à la carte	Romance à la carte	0	1938	\N	72	Comedy
tt0030696	movie	Room Service	Room Service	0	1938	\N	78	Comedy
tt0030697	movie	A Rosa do Adro	A Rosa do Adro	0	1938	\N	92	Drama,History,Romance
tt0030698	movie	Rose of the Rio Grande	Rose of the Rio Grande	0	1938	\N	61	Western
tt0030699	movie	Rote Orchideen	Rote Orchideen	0	1938	\N	86	Crime
tt0030700	movie	Rothchild	Rothchild	0	1933	\N	101	Comedy
tt0030701	movie	A Royal Divorce	A Royal Divorce	0	1938	\N	85	Drama,History
tt0030702	movie	Rozmaring	Rozmaring	0	1938	\N	84	Comedy,Romance
tt0030703	movie	Street Without Joy	La rue sans joie	0	1938	\N	87	Drama
tt0030704	movie	Rykmentin murheenkryyni	Rykmentin murheenkryyni	0	1938	\N	99	Comedy
tt0030705	movie	Beate's Mystery	Rätsel um Beate	0	1938	\N	86	Drama
tt0030706	movie	Coral Reefs	Le récif de corail	0	1939	\N	95	Adventure,Drama
tt0030707	movie	Safety in Numbers	Safety in Numbers	0	1938	\N	55	Comedy,Crime,Drama
tt0030708	movie	Sailing Along	Sailing Along	0	1938	\N	80	Comedy,Musical,Romance
tt0030709	movie	The Saint in New York	The Saint in New York	0	1938	\N	69	Crime,Drama,Mystery
tt0030710	movie	Saleslady	Saleslady	0	1938	\N	65	Comedy,Drama,Romance
tt0030711	short	Betty Boop- Sally Swing	Sally Swing	0	1938	\N	7	Animation,Short
tt0030712	movie	Sally, Irene and Mary	Sally, Irene and Mary	0	1938	\N	86	Comedy,Music,Romance
tt0030713	short	Salvad la cosecha	Salvad la cosecha	0	1938	\N	11	Documentary,Short
tt0030714	movie	Santa Fe Stampede	Santa Fe Stampede	0	1938	\N	55	Western
tt0030715	short	Santiago de Compostela - Ciudades de la Nueva España	Santiago de Compostela - Ciudades de la Nueva España	0	1938	\N	\N	Documentary,Short,War
tt0030716	movie	Sarah Siddons	Sarah Siddons	0	1938	\N	\N	\N
tt0030717	movie	Save a Little Sunshine	Save a Little Sunshine	0	1938	\N	75	Comedy,Musical
tt0030718	movie	Say It in French	Say It in French	0	1938	\N	70	Comedy
tt0030719	movie	Scandal Street	Scandal Street	0	1938	\N	62	Drama
tt0030720	movie	Schatten über St. Pauli	Schatten über St. Pauli	0	1938	\N	82	\N
tt0030721	movie	Scheidungsreise	Scheidungsreise	0	1938	\N	91	Comedy,Romance
tt0030722	movie	Heartbeat	Le schpountz	0	1938	\N	160	Comedy
tt0030723	movie	Scruffy	Scruffy	0	1938	\N	61	Drama,Family
tt0030724	movie	Se quell'idiota ci pensasse...	Se quell'idiota ci pensasse...	0	1939	\N	80	\N
tt0030725	movie	The Secret of Treasure Island	The Secret of Treasure Island	0	1938	\N	300	Action,Adventure,Crime
tt0030726	movie	Secrets of a Nurse	Secrets of a Nurse	0	1938	\N	75	Drama,Mystery,Sport
tt0030727	movie	Secrets of an Actress	Secrets of an Actress	0	1938	\N	70	Drama,Romance
tt0030728	short	Segundo noticiario intercontinental	Segundo noticiario intercontinental	0	1938	\N	14	Documentary,Short,War
tt0030729	short	Self Control	Self Control	0	1938	\N	9	Animation,Comedy,Family
tt0030730	movie	Sergeant Berry	Sergeant Berry	0	1938	\N	113	Adventure,Comedy,Crime
tt0030731	movie	Sergeant Murphy	Sergeant Murphy	0	1938	\N	57	Action,Adventure,Comedy
tt0030732	movie	Service de Luxe	Service de Luxe	0	1938	\N	85	Comedy
tt0030733	movie	Sette giorni di gloria	Sette giorni di gloria	0	1938	\N	\N	\N
tt0030734	movie	Sexton Blake and the Hooded Terror	Sexton Blake and the Hooded Terror	0	1938	\N	70	Crime,Thriller
tt0030735	movie	The Mayor	El señor alcalde	0	1939	\N	111	Comedy,Drama
tt0030736	movie	Shadows Over Shanghai	Shadows Over Shanghai	0	1938	\N	65	Drama
tt0030737	movie	Shadows of Darkness	Yami no kagebôshi	0	1938	\N	52	\N
tt0030738	movie	Sharpshooters	Sharpshooters	0	1938	\N	65	Action,Adventure,Comedy
tt0030739	movie	She Loved a Fireman	She Loved a Fireman	0	1937	\N	58	Action,Drama,Romance
tt0030740	movie	She Married an Artist	She Married an Artist	0	1937	\N	77	Comedy,Music,Romance
tt0030741	movie	She's Got Everything	She's Got Everything	0	1937	\N	72	Comedy,Romance
tt0030742	movie	Shine on Harvest Moon	Shine on Harvest Moon	0	1938	\N	57	Western
tt0030743	movie	The Shining Hour	The Shining Hour	0	1938	\N	76	Drama
tt0030744	movie	The Shopworn Angel	The Shopworn Angel	0	1938	\N	85	Drama,Romance
tt0030746	movie	Sidewalks of London	St. Martin's Lane	0	1938	\N	85	Comedy
tt0030747	movie	Sigge Nilsson och jag	Sigge Nilsson och jag	0	1938	\N	75	Comedy
tt0030748	movie	The Woman of Monte Carlo	La signora di Montecarlo	0	1938	\N	85	Drama
tt0030749	movie	Silver Top	Silver Top	0	1938	\N	66	Crime
tt0030750	movie	The Silver Trail	The Silver Trail	0	1937	\N	58	Western
tt0030751	movie	Simply Terrific	Simply Terrific	0	1938	\N	72	Comedy
tt0030752	movie	Sing, You Sinners	Sing, You Sinners	0	1938	\N	88	Comedy,Drama,Music
tt0030753	movie	The Singing Cop	The Singing Cop	0	1938	\N	78	Musical
tt0030754	movie	Sinners in Paradise	Sinners in Paradise	0	1938	\N	65	Adventure,Drama,Romance
tt0030755	movie	The Sisters	The Sisters	0	1938	\N	99	Drama
tt0030756	movie	Six-Gun Trail	Six-Gun Trail	0	1938	\N	59	Western
tt0030757	movie	Six-Shootin' Sheriff	Six-Shootin' Sheriff	0	1938	\N	59	Western
tt0030760	movie	Sky Giant	Sky Giant	0	1938	\N	80	Action,Adventure,Drama
tt0030761	short	Sky Pirates	Sky Pirates	0	1938	\N	7	Animation,Comedy,Short
tt0030762	movie	The Sky's the Limit	The Sky's the Limit	0	1938	\N	78	Comedy,Musical
tt0030763	movie	Slander House	Slander House	0	1938	\N	65	Adventure,Crime,Drama
tt0030764	movie	A Slight Case of Murder	A Slight Case of Murder	0	1938	\N	85	Comedy,Crime
tt0030765	movie	Smashing the Rackets	Smashing the Rackets	0	1938	\N	69	Crime,Drama
tt0030766	short	The Sneezing Weasel	The Sneezing Weasel	0	1938	\N	7	Animation,Comedy,Family
tt0030767	movie	Sun Over Sweden	Sol över Sverige	0	1938	\N	91	Comedy
tt0030768	short	Soldados campesinos	Soldados campesinos	0	1938	\N	10	Documentary,Short,War
tt0030769	movie	Son oncle de Normandie	Son oncle de Normandie	0	1939	\N	80	\N
tt0030770	movie	Songs and Bullets	Songs and Bullets	0	1938	\N	57	Western
tt0030771	movie	Sons of the Legion	Sons of the Legion	0	1938	\N	60	Drama
tt0030772	short	Sorte Grande	Sorte Grande	0	1938	\N	14	Short
tt0030773	movie	Under the Southern Cross	Sotto la croce del sud	0	1938	\N	78	Drama,Romance
tt0030774	movie	South Riding	South Riding	0	1938	\N	85	Drama,Romance
tt0030775	movie	Spawn of the North	Spawn of the North	0	1938	\N	110	Action,Comedy,Drama
tt0030776	movie	Special Edition	Special Edition	0	1938	\N	\N	Thriller
tt0030777	movie	The Speed Reporter	The Speed Reporter	0	1936	\N	55	Action,Crime,Drama
tt0030778	movie	Speed to Burn	Speed to Burn	0	1938	\N	60	Action,Crime,Drama
tt0030779	movie	The Spider's Web	The Spider's Web	0	1938	\N	300	Action,Crime,Drama
tt0030780	movie	Life's Mirror	Spiegel des Lebens	0	1938	\N	95	Drama,Romance
tt0030781	movie	Spirit of Youth	Spirit of Youth	0	1938	\N	66	Biography,Drama,Sport
tt0030782	movie	La sposa dei re	La sposa dei re	0	1938	\N	68	Comedy,History
tt0030783	movie	Spring Madness	Spring Madness	0	1938	\N	67	Comedy,Romance
tt0030784	movie	The Spy Ring	The Spy Ring	0	1938	\N	61	Adventure,Crime,Drama
tt0030785	movie	Squadron of Honor	Squadron of Honor	0	1938	\N	65	Action,Crime,Drama
tt0030786	movie	Stablemates	Stablemates	0	1938	\N	89	Drama,Sport
tt0030789	short	A Star Is Hatched	A Star Is Hatched	0	1938	\N	8	Animation,Comedy,Family
tt0030790	movie	The Hidden Menace	Star of the Circus	0	1938	\N	68	Drama,Romance
tt0030791	movie	Starlight Over Texas	Starlight Over Texas	0	1938	\N	58	Western
tt0030792	movie	Stars Over Arizona	Stars Over Arizona	0	1937	\N	62	Western
tt0030793	movie	Start Cheering	Start Cheering	0	1938	\N	78	Comedy,Musical,Romance
tt0030794	movie	State Police	State Police	0	1938	\N	61	Action,Crime,Drama
tt0030795	movie	Star of the Sea	Stella del mare	0	1938	\N	80	\N
tt0030796	movie	Stolen Heaven	Stolen Heaven	0	1938	\N	88	Crime,Drama
tt0030797	movie	Den stora kärleken	Den stora kärleken	0	1938	\N	88	Comedy
tt0030798	movie	Storm Over Bengal	Storm Over Bengal	0	1938	\N	65	Action,Adventure,Romance
tt0030799	movie	Storm över skären	Storm över skären	0	1938	\N	98	Drama
tt0030800	movie	The Storm	The Storm	0	1938	\N	78	Action,Adventure,Drama
tt0030801	short	The Story of Doctor Carver	The Story of Doctor Carver	0	1938	\N	10	Biography,Drama,Short
tt0030802	movie	Straight Place and Show	Straight Place and Show	0	1938	\N	68	Comedy,Musical
tt0030803	movie	Strange Boarders	Strange Boarders	0	1938	\N	74	Mystery
tt0030804	movie	Strange Faces	Strange Faces	0	1938	\N	65	Drama
tt0030805	movie	The Stranger from Arizona	The Stranger from Arizona	0	1938	\N	55	Western
tt0030806	movie	Street Singer	Street Singer	0	1938	\N	135	Drama
tt0030807	movie	Styrman Karlssons flammor	Styrman Karlssons flammor	0	1938	\N	100	Comedy
tt0030808	movie	Submarine Patrol	Submarine Patrol	0	1938	\N	95	Action,Adventure,Drama
tt0030809	movie	Sudden Bill Dorn	Sudden Bill Dorn	0	1937	\N	60	Western
tt0030810	short	Sue My Lawyer	Sue My Lawyer	0	1938	\N	20	Comedy,Short
tt0030811	movie	Suez	Suez	0	1938	\N	104	Drama
tt0030812	movie	Sunset Trail	Sunset Trail	0	1938	\N	69	Western
tt0030813	movie	Il suo destino	Il suo destino	0	1938	\N	87	\N
tt0030814	movie	Sighs of Spain	Suspiros de España	0	1939	\N	100	Comedy
tt0030815	movie	Svensson ordnar allt!	Svensson ordnar allt!	0	1938	\N	75	Drama
tt0030816	movie	Sweet Devil	Sweet Devil	0	1938	\N	71	Comedy,Musical,Romance
tt0030817	movie	Sweethearts	Sweethearts	0	1938	\N	114	Musical
tt0030818	short	Betty Boop- The Swing School	The Swing School	0	1938	\N	7	Animation,Music,Romance
tt0030819	movie	Swing That Cheer	Swing That Cheer	0	1938	\N	70	Comedy,Musical,Sport
tt0030820	movie	Swing Your Lady	Swing Your Lady	0	1938	\N	77	Comedy,Music,Romance
tt0030821	movie	Swing, Sister, Swing	Swing, Sister, Swing	0	1938	\N	72	Comedy,Music
tt0030822	movie	Swing, Swing, Swing	Swing, Swing, Swing	0	1938	\N	\N	\N
tt0030823	short	Swingtime in the Movies	Swingtime in the Movies	0	1938	\N	20	Comedy,Musical,Short
tt0030824	movie	Swiss Miss	Swiss Miss	0	1938	\N	71	Comedy,Musical
tt0030825	movie	Sygnaly	Sygnaly	0	1938	\N	73	Drama,Romance
tt0030826	movie	Szegény gazdagok	Szegény gazdagok	0	1938	\N	73	Drama
tt0030827	movie	Szüts Mara házassága	Szüts Mara házassága	0	1941	\N	91	Romance
tt0030828	movie	Der Tag nach der Scheidung	Der Tag nach der Scheidung	0	1938	\N	90	Comedy
tt0030829	movie	Tanz auf dem Vulkan	Tanz auf dem Vulkan	0	1938	\N	86	Drama,History
tt0030830	short	The Country of Motzi	Tara Motilor	0	1939	\N	10	Documentary,Short
tt0030831	movie	Tarnished Angel	Tarnished Angel	0	1938	\N	67	Drama
tt0030833	movie	Tarzan's Revenge	Tarzan's Revenge	0	1938	\N	70	Adventure,Family
tt0030834	short	Tassels in the Air	Tassels in the Air	0	1938	\N	17	Comedy,Short
tt0030835	movie	Te csak pipálj Ladányi	Te csak pipálj Ladányi	0	1938	\N	97	Drama
tt0030836	short	The Tears of an Onion	The Tears of an Onion	0	1938	\N	7	Animation,Short
tt0030837	short	Tejados hundidos	Tejados hundidos	0	1938	\N	7	Documentary,Short,War
tt0030838	short	El telar	El telar	0	1938	\N	16	Documentary,Short
tt0030839	movie	Telephone Operator	Telephone Operator	0	1937	\N	70	Action,Drama,Romance
tt0030840	movie	Tempête sur l'Asie	Tempête sur l'Asie	0	1938	\N	95	Drama
tt0030841	movie	10th Ave Kid	Tenth Avenue Kid	0	1938	\N	66	Crime,Drama
tt0030842	short	Termites of 1938	Termites of 1938	0	1938	\N	18	Comedy,Short
tt0030843	movie	Terra di fuoco	Terra di fuoco	0	1939	\N	92	Drama
tt0030844	movie	Nobody's Land	Terra di nessuno	0	1939	\N	94	\N
tt0030845	movie	The Terror of Tiny Town	The Terror of Tiny Town	0	1938	\N	62	Family,Western
tt0030846	movie	The Terror	The Terror	0	1938	\N	73	Crime,Mystery
tt0030847	short	Teruel por la República	Teruel por la República	0	1938	\N	\N	Documentary,Short,War
tt0030848	movie	Test Pilot	Test Pilot	0	1938	\N	119	Drama,Romance
tt0030849	movie	Tex Rides with the Boy Scouts	Tex Rides with the Boy Scouts	0	1937	\N	66	Western
tt0030850	movie	The Texans	The Texans	0	1938	\N	92	Western
tt0030851	movie	Thank Evans	Thank Evans	0	1938	\N	78	Comedy
tt0030852	movie	Thanks for Everything	Thanks for Everything	0	1938	\N	70	Comedy
tt0030853	movie	Thanks for the Memory	Thanks for the Memory	0	1938	\N	75	Comedy,Music,Romance
tt0030854	movie	That Certain Age	That Certain Age	0	1938	\N	95	Comedy,Musical
tt0030855	short	That Mothers Might Live	That Mothers Might Live	0	1938	\N	10	Biography,Drama,Short
tt0030856	movie	There Goes My Heart	There Goes My Heart	0	1938	\N	83	Comedy,Romance
tt0030857	movie	There's Always a Woman	There's Always a Woman	0	1938	\N	81	Comedy,Crime,Mystery
