p_brand|p_type|p_size|supplier_cnt
Brand#11|STANDARD PLATED NICKEL|23|548
Brand#12|LARGE PLATED BRASS|9|548
Brand#13|LARGE BRUSHED BRASS|9|548
Brand#13|MEDIUM ANODIZED NICKEL|36|548
Brand#23|SMALL ANODIZED STEEL|3|548
Brand#23|SMALL POLISHED BRASS|36|548
Brand#25|SMALL BRUSHED TIN|9|548
Brand#31|PROMO POLISHED TIN|49|548
Brand#31|SMALL BRUSHED TIN|45|548
Brand#32|PROMO BRUSHED NICKEL|19|548
Brand#33|PROMO PLATED NICKEL|45|548
Brand#33|SMALL BRUSHED TIN|14|548
Brand#34|MEDIUM BRUSHED COPPER|9|548
Brand#41|SMALL BURNISHED COPPER|9|548
Brand#44|MEDIUM BRUSHED BRASS|45|548
Brand#51|ECONOMY POLISHED STEEL|49|548
Brand#52|SMALL BRUSHED COPPER|14|548
Brand#52|STANDARD PLATED NICKEL|9|548
Brand#55|SMALL BRUSHED BRASS|49|548
Brand#12|LARGE PLATED TIN|49|547
Brand#13|MEDIUM PLATED BRASS|9|547
Brand#22|MEDIUM ANODIZED NICKEL|3|547
Brand#35|STANDARD PLATED NICKEL|14|547
Brand#44|PROMO BRUSHED NICKEL|9|547
Brand#34|PROMO BRUSHED TIN|45|546
Brand#43|PROMO PLATED COPPER|45|546
Brand#53|ECONOMY POLISHED STEEL|45|546
Brand#11|LARGE POLISHED BRASS|19|544
Brand#12|STANDARD PLATED STEEL|49|544
Brand#13|STANDARD POLISHED STEEL|23|544
Brand#22|MEDIUM BRUSHED NICKEL|36|544
Brand#25|LARGE BRUSHED BRASS|9|544
Brand#31|ECONOMY PLATED COPPER|14|544
Brand#31|STANDARD BRUSHED BRASS|49|544
Brand#32|LARGE BURNISHED NICKEL|14|544
Brand#32|SMALL BRUSHED NICKEL|3|544
Brand#34|LARGE ANODIZED COPPER|49|544
Brand#35|SMALL ANODIZED BRASS|14|544
Brand#51|PROMO POLISHED NICKEL|3|544
Brand#52|PROMO PLATED COPPER|23|544
Brand#54|ECONOMY PLATED COPPER|14|544
Brand#55|ECONOMY BRUSHED STEEL|23|544
Brand#14|PROMO PLATED STEEL|36|543
Brand#22|SMALL POLISHED BRASS|19|543
Brand#32|STANDARD BRUSHED TIN|36|543
Brand#41|PROMO ANODIZED BRASS|19|543
Brand#43|PROMO POLISHED COPPER|49|543
Brand#44|STANDARD POLISHED TIN|14|543
Brand#11|ECONOMY BURNISHED TIN|19|540
Brand#12|SMALL BURNISHED BRASS|45|540
Brand#13|STANDARD BRUSHED NICKEL|49|540
Brand#14|PROMO BURNISHED BRASS|36|540
Brand#15|SMALL BURNISHED COPPER|49|540
Brand#15|STANDARD ANODIZED COPPER|19|540
Brand#22|MEDIUM BURNISHED NICKEL|3|540
Brand#22|SMALL BRUSHED STEEL|14|540
Brand#23|ECONOMY ANODIZED COPPER|36|540
Brand#23|STANDARD PLATED COPPER|36|540
Brand#25|STANDARD PLATED COPPER|45|540
Brand#31|LARGE BURNISHED STEEL|14|540
Brand#31|PROMO PLATED NICKEL|23|540
Brand#32|SMALL BRUSHED NICKEL|19|540
Brand#33|ECONOMY POLISHED STEEL|36|540
Brand#35|LARGE PLATED STEEL|49|540
Brand#42|LARGE BRUSHED NICKEL|9|540
Brand#43|STANDARD BURNISHED BRASS|3|540
Brand#54|STANDARD BRUSHED COPPER|19|540
Brand#12|MEDIUM ANODIZED NICKEL|49|539
Brand#34|LARGE ANODIZED COPPER|45|539
Brand#42|SMALL ANODIZED BRASS|3|539
Brand#43|PROMO PLATED BRASS|9|539
Brand#44|PROMO BRUSHED COPPER|45|539
Brand#52|ECONOMY POLISHED NICKEL|19|539
Brand#22|ECONOMY POLISHED BRASS|45|538
Brand#22|LARGE PLATED COPPER|45|538
Brand#23|PROMO POLISHED STEEL|23|538
Brand#33|ECONOMY ANODIZED NICKEL|23|538
Brand#12|SMALL BRUSHED BRASS|45|536
Brand#13|LARGE POLISHED TIN|19|536
Brand#13|PROMO BRUSHED COPPER|14|536
Brand#13|PROMO BRUSHED NICKEL|14|536
Brand#14|LARGE PLATED BRASS|36|536
Brand#14|PROMO ANODIZED TIN|3|536
Brand#23|MEDIUM ANODIZED BRASS|9|536
Brand#25|ECONOMY ANODIZED TIN|49|536
Brand#25|LARGE ANODIZED COPPER|14|536
Brand#25|MEDIUM BRUSHED NICKEL|45|536
Brand#25|MEDIUM BURNISHED STEEL|9|536
Brand#25|MEDIUM PLATED NICKEL|9|536
Brand#25|PROMO BURNISHED COPPER|45|536
Brand#31|PROMO POLISHED NICKEL|9|536
Brand#32|SMALL BRUSHED COPPER|49|536
Brand#32|SMALL BURNISHED BRASS|49|536
Brand#34|LARGE POLISHED BRASS|45|536
Brand#34|SMALL BRUSHED NICKEL|14|536
Brand#35|ECONOMY ANODIZED BRASS|3|536
Brand#42|SMALL PLATED NICKEL|36|536
Brand#42|STANDARD BURNISHED COPPER|36|536
Brand#44|STANDARD PLATED STEEL|45|536
Brand#51|STANDARD POLISHED TIN|9|536
Brand#53|ECONOMY ANODIZED COPPER|45|536
Brand#54|PROMO ANODIZED NICKEL|9|536
Brand#54|SMALL ANODIZED BRASS|19|536
Brand#54|STANDARD PLATED COPPER|36|536
Brand#55|MEDIUM BRUSHED STEEL|36|536
Brand#55|PROMO ANODIZED NICKEL|23|536
Brand#55|PROMO BRUSHED STEEL|9|536
Brand#55|STANDARD BURNISHED TIN|49|536
Brand#23|MEDIUM BURNISHED STEEL|45|535
Brand#24|PROMO PLATED NICKEL|9|535
Brand#35|MEDIUM BRUSHED NICKEL|19|535
Brand#35|SMALL ANODIZED BRASS|45|535
Brand#42|SMALL PLATED STEEL|45|535
Brand#52|PROMO POLISHED STEEL|3|535
Brand#54|PROMO BRUSHED NICKEL|45|535
Brand#13|ECONOMY BURNISHED TIN|19|534
Brand#22|SMALL BURNISHED COPPER|49|534
Brand#32|LARGE PLATED BRASS|9|534
Brand#11|STANDARD PLATED TIN|19|532
Brand#12|SMALL BRUSHED BRASS|3|532
Brand#12|SMALL POLISHED COPPER|45|532
Brand#13|STANDARD BURNISHED COPPER|36|532
Brand#13|STANDARD PLATED TIN|36|532
Brand#14|ECONOMY PLATED COPPER|19|532
Brand#14|LARGE ANODIZED NICKEL|9|532
Brand#14|MEDIUM BRUSHED NICKEL|19|532
Brand#14|STANDARD POLISHED BRASS|3|532
Brand#15|SMALL PLATED NICKEL|36|532
Brand#21|ECONOMY BURNISHED NICKEL|9|532
Brand#21|STANDARD BURNISHED STEEL|23|532
Brand#22|LARGE POLISHED BRASS|45|532
Brand#22|LARGE POLISHED NICKEL|9|532
Brand#24|ECONOMY ANODIZED STEEL|36|532
Brand#24|SMALL BURNISHED NICKEL|36|532
Brand#31|STANDARD ANODIZED NICKEL|19|532
Brand#33|STANDARD BRUSHED TIN|36|532
Brand#35|PROMO PLATED NICKEL|19|532
Brand#35|SMALL PLATED STEEL|3|532
Brand#35|SMALL PLATED STEEL|19|532
Brand#42|LARGE ANODIZED COPPER|49|532
Brand#42|MEDIUM ANODIZED NICKEL|49|532
Brand#42|SMALL PLATED NICKEL|14|532
Brand#42|STANDARD POLISHED NICKEL|9|532
Brand#43|PROMO PLATED COPPER|9|532
Brand#43|STANDARD ANODIZED STEEL|3|532
Brand#44|MEDIUM PLATED TIN|23|532
Brand#51|PROMO BURNISHED COPPER|45|532
Brand#52|ECONOMY BURNISHED TIN|36|532
Brand#52|MEDIUM BURNISHED COPPER|3|532
Brand#52|MEDIUM PLATED COPPER|9|532
Brand#53|LARGE POLISHED TIN|9|532
Brand#53|PROMO ANODIZED COPPER|14|532
Brand#54|ECONOMY BRUSHED COPPER|49|532
Brand#54|LARGE BRUSHED TIN|36|532
Brand#55|ECONOMY ANODIZED STEEL|23|532
Brand#11|STANDARD BURNISHED TIN|19|531
Brand#14|PROMO POLISHED BRASS|3|531
Brand#21|LARGE BURNISHED COPPER|23|531
Brand#24|STANDARD ANODIZED BRASS|9|531
Brand#32|STANDARD POLISHED BRASS|45|531
Brand#33|PROMO POLISHED STEEL|19|531
Brand#34|STANDARD BURNISHED NICKEL|19|531
Brand#35|LARGE BRUSHED BRASS|23|531
Brand#42|MEDIUM PLATED STEEL|3|531
Brand#44|PROMO BRUSHED COPPER|23|531
Brand#44|SMALL ANODIZED BRASS|49|531
Brand#44|STANDARD BRUSHED TIN|36|531
Brand#53|STANDARD PLATED TIN|9|531
Brand#55|LARGE BRUSHED NICKEL|3|531
Brand#55|MEDIUM BRUSHED TIN|19|531
Brand#14|SMALL BRUSHED NICKEL|9|530
Brand#15|STANDARD ANODIZED STEEL|19|530
Brand#42|STANDARD POLISHED NICKEL|36|530
Brand#51|ECONOMY ANODIZED STEEL|9|530
Brand#11|SMALL BRUSHED TIN|23|528
Brand#11|STANDARD POLISHED COPPER|14|528
Brand#12|ECONOMY BURNISHED NICKEL|19|528
Brand#12|MEDIUM BURNISHED STEEL|45|528
Brand#12|SMALL ANODIZED STEEL|36|528
Brand#12|SMALL POLISHED COPPER|49|528
Brand#13|MEDIUM PLATED TIN|23|528
Brand#13|PROMO ANODIZED NICKEL|45|528
Brand#13|SMALL BURNISHED TIN|49|528
Brand#14|STANDARD BRUSHED TIN|36|528
Brand#15|ECONOMY ANODIZED BRASS|45|528
Brand#15|LARGE BURNISHED COPPER|3|528
Brand#15|MEDIUM PLATED BRASS|19|528
Brand#15|PROMO PLATED STEEL|9|528
Brand#21|LARGE ANODIZED NICKEL|23|528
Brand#21|LARGE BRUSHED NICKEL|3|528
Brand#21|PROMO POLISHED BRASS|19|528
Brand#21|SMALL BRUSHED STEEL|14|528
Brand#21|SMALL POLISHED NICKEL|23|528
Brand#21|STANDARD PLATED BRASS|9|528
Brand#23|SMALL ANODIZED STEEL|9|528
Brand#24|MEDIUM BURNISHED STEEL|23|528
Brand#25|ECONOMY POLISHED STEEL|14|528
Brand#31|ECONOMY BURNISHED NICKEL|23|528
Brand#31|PROMO BRUSHED TIN|9|528
Brand#31|PROMO BRUSHED TIN|19|528
Brand#33|LARGE ANODIZED STEEL|45|528
Brand#33|MEDIUM PLATED STEEL|45|528
Brand#33|PROMO POLISHED NICKEL|49|528
Brand#34|STANDARD POLISHED BRASS|14|528
Brand#35|ECONOMY ANODIZED COPPER|9|528
Brand#42|ECONOMY POLISHED NICKEL|3|528
Brand#42|PROMO ANODIZED NICKEL|45|528
Brand#42|SMALL PLATED TIN|36|528
Brand#42|SMALL POLISHED NICKEL|49|528
Brand#43|ECONOMY BURNISHED BRASS|49|528
Brand#44|ECONOMY BURNISHED TIN|9|528
Brand#51|LARGE ANODIZED NICKEL|14|528
Brand#51|LARGE ANODIZED TIN|36|528
Brand#53|SMALL ANODIZED STEEL|19|528
Brand#53|SMALL BURNISHED STEEL|9|528
Brand#53|STANDARD POLISHED NICKEL|49|528
Brand#54|STANDARD PLATED COPPER|14|528
Brand#54|STANDARD POLISHED STEEL|49|528
Brand#12|STANDARD POLISHED BRASS|19|527
Brand#13|LARGE PLATED STEEL|3|527
Brand#21|MEDIUM PLATED NICKEL|23|527
Brand#21|PROMO POLISHED TIN|9|527
Brand#22|ECONOMY POLISHED STEEL|23|527
Brand#24|MEDIUM PLATED STEEL|14|527
Brand#24|PROMO BURNISHED COPPER|23|527
Brand#25|SMALL BRUSHED STEEL|3|527
Brand#33|MEDIUM PLATED COPPER|49|527
Brand#35|ECONOMY POLISHED NICKEL|36|527
Brand#51|ECONOMY ANODIZED NICKEL|36|527
Brand#51|MEDIUM PLATED NICKEL|45|527
Brand#51|STANDARD PLATED NICKEL|23|527
Brand#52|STANDARD POLISHED STEEL|36|527
Brand#55|ECONOMY POLISHED BRASS|9|527
Brand#32|ECONOMY BRUSHED NICKEL|3|526
Brand#34|STANDARD ANODIZED TIN|9|526
Brand#35|ECONOMY BURNISHED TIN|19|526
Brand#41|STANDARD BRUSHED BRASS|49|526
Brand#44|LARGE PLATED BRASS|19|526
Brand#53|LARGE BRUSHED STEEL|19|526
Brand#13|MEDIUM BURNISHED COPPER|3|524
Brand#14|ECONOMY BURNISHED NICKEL|49|524
Brand#14|LARGE BRUSHED COPPER|9|524
Brand#14|LARGE BURNISHED COPPER|23|524
Brand#14|PROMO BURNISHED NICKEL|45|524
Brand#15|STANDARD BRUSHED NICKEL|19|524
Brand#15|STANDARD BURNISHED COPPER|14|524
Brand#21|LARGE POLISHED TIN|19|524
Brand#21|MEDIUM PLATED NICKEL|49|524
Brand#21|PROMO POLISHED STEEL|9|524
Brand#21|STANDARD POLISHED TIN|23|524
Brand#22|LARGE BRUSHED NICKEL|36|524
Brand#22|LARGE POLISHED TIN|3|524
Brand#23|PROMO BRUSHED BRASS|14|524
Brand#23|PROMO POLISHED BRASS|45|524
Brand#23|SMALL ANODIZED BRASS|3|524
Brand#23|STANDARD PLATED BRASS|19|524
Brand#24|LARGE PLATED NICKEL|23|524
Brand#24|MEDIUM PLATED TIN|19|524
Brand#31|LARGE ANODIZED COPPER|45|524
Brand#32|LARGE ANODIZED TIN|49|524
Brand#32|PROMO POLISHED COPPER|19|524
Brand#32|PROMO POLISHED TIN|19|524
Brand#32|SMALL ANODIZED COPPER|23|524
Brand#33|LARGE POLISHED COPPER|49|524
Brand#33|SMALL BURNISHED STEEL|23|524
Brand#34|MEDIUM BRUSHED COPPER|36|524
Brand#35|MEDIUM ANODIZED NICKEL|49|524
Brand#35|PROMO BURNISHED TIN|14|524
Brand#35|SMALL BRUSHED BRASS|23|524
Brand#35|SMALL BRUSHED COPPER|9|524
Brand#41|LARGE ANODIZED BRASS|14|524
Brand#41|MEDIUM BRUSHED COPPER|9|524
Brand#42|ECONOMY BRUSHED NICKEL|19|524
Brand#42|PROMO POLISHED COPPER|19|524
Brand#43|ECONOMY BURNISHED COPPER|36|524
Brand#43|STANDARD BURNISHED TIN|36|524
Brand#44|MEDIUM PLATED COPPER|36|524
Brand#44|SMALL POLISHED NICKEL|14|524
Brand#52|LARGE ANODIZED STEEL|23|524
Brand#52|MEDIUM BRUSHED COPPER|19|524
Brand#52|PROMO BRUSHED STEEL|45|524
Brand#52|SMALL BURNISHED STEEL|19|524
Brand#53|MEDIUM BURNISHED TIN|9|524
Brand#53|SMALL BRUSHED TIN|19|524
Brand#54|ECONOMY BURNISHED STEEL|23|524
Brand#54|ECONOMY PLATED BRASS|19|524
Brand#55|MEDIUM ANODIZED COPPER|3|524
Brand#55|PROMO BRUSHED STEEL|19|524
Brand#55|PROMO POLISHED NICKEL|19|524
Brand#55|SMALL POLISHED BRASS|14|524
Brand#55|STANDARD BURNISHED COPPER|45|524
Brand#12|ECONOMY BRUSHED BRASS|14|523
Brand#12|ECONOMY BURNISHED NICKEL|3|523
Brand#12|PROMO PLATED STEEL|19|523
Brand#13|MEDIUM BRUSHED TIN|49|523
Brand#13|SMALL POLISHED NICKEL|19|523
Brand#15|PROMO ANODIZED TIN|23|523
Brand#15|SMALL POLISHED NICKEL|45|523
Brand#22|MEDIUM BURNISHED COPPER|9|523
Brand#22|SMALL BURNISHED STEEL|45|523
Brand#23|STANDARD BURNISHED BRASS|3|523
Brand#23|STANDARD POLISHED NICKEL|9|523
Brand#24|MEDIUM PLATED BRASS|3|523
Brand#25|ECONOMY ANODIZED TIN|3|523
Brand#25|LARGE PLATED COPPER|9|523
Brand#25|SMALL ANODIZED TIN|36|523
Brand#31|STANDARD POLISHED STEEL|49|523
Brand#43|SMALL POLISHED COPPER|3|523
Brand#44|STANDARD PLATED TIN|9|523
Brand#51|SMALL PLATED BRASS|45|523
Brand#11|ECONOMY ANODIZED NICKEL|49|520
Brand#11|LARGE POLISHED COPPER|14|520
Brand#11|PROMO ANODIZED COPPER|19|520
Brand#12|ECONOMY BRUSHED TIN|45|520
Brand#12|LARGE PLATED STEEL|36|520
Brand#12|MEDIUM BURNISHED BRASS|45|520
Brand#12|MEDIUM PLATED TIN|45|520
Brand#12|PROMO ANODIZED TIN|3|520
Brand#12|SMALL PLATED BRASS|49|520
Brand#13|ECONOMY PLATED BRASS|3|520
Brand#14|PROMO BRUSHED NICKEL|19|520
Brand#14|SMALL BRUSHED TIN|9|520
Brand#15|ECONOMY BRUSHED COPPER|14|520
Brand#15|SMALL ANODIZED TIN|49|520
Brand#15|SMALL BURNISHED COPPER|9|520
Brand#21|ECONOMY POLISHED BRASS|45|520
Brand#21|LARGE PLATED TIN|14|520
Brand#22|SMALL POLISHED BRASS|49|520
Brand#23|LARGE PLATED STEEL|3|520
Brand#23|STANDARD PLATED NICKEL|23|520
Brand#24|ECONOMY ANODIZED NICKEL|14|520
Brand#25|STANDARD BRUSHED BRASS|36|520
Brand#25|STANDARD BURNISHED BRASS|23|520
Brand#31|ECONOMY POLISHED TIN|23|520
Brand#31|SMALL BURNISHED COPPER|19|520
Brand#31|STANDARD ANODIZED BRASS|49|520
Brand#32|LARGE BURNISHED TIN|49|520
Brand#32|SMALL BRUSHED COPPER|23|520
Brand#33|SMALL ANODIZED NICKEL|14|520
Brand#33|STANDARD ANODIZED BRASS|19|520
Brand#34|LARGE ANODIZED COPPER|9|520
Brand#34|MEDIUM PLATED BRASS|36|520
Brand#35|LARGE ANODIZED TIN|19|520
Brand#35|LARGE BURNISHED NICKEL|3|520
Brand#35|PROMO BRUSHED COPPER|36|520
Brand#41|LARGE PLATED COPPER|19|520
Brand#42|ECONOMY BURNISHED STEEL|49|520
Brand#42|MEDIUM BURNISHED NICKEL|3|520
Brand#42|MEDIUM BURNISHED NICKEL|23|520
Brand#43|ECONOMY ANODIZED NICKEL|9|520
Brand#43|ECONOMY BRUSHED STEEL|3|520
Brand#43|LARGE BRUSHED NICKEL|14|520
Brand#43|LARGE POLISHED STEEL|9|520
Brand#43|PROMO BURNISHED NICKEL|49|520
Brand#44|ECONOMY BRUSHED NICKEL|19|520
Brand#44|LARGE BURNISHED BRASS|45|520
Brand#44|SMALL POLISHED TIN|19|520
Brand#51|LARGE BRUSHED STEEL|3|520
Brand#51|SMALL BURNISHED BRASS|49|520
Brand#52|ECONOMY BRUSHED NICKEL|3|520
Brand#52|ECONOMY BURNISHED BRASS|3|520
Brand#52|LARGE PLATED TIN|19|520
Brand#52|STANDARD BRUSHED NICKEL|36|520
Brand#52|STANDARD BURNISHED NICKEL|9|520
Brand#53|STANDARD BRUSHED COPPER|3|520
Brand#54|ECONOMY POLISHED COPPER|19|520
Brand#11|ECONOMY POLISHED COPPER|23|519
Brand#11|STANDARD BURNISHED STEEL|23|519
Brand#12|PROMO POLISHED STEEL|23|519
Brand#12|SMALL ANODIZED NICKEL|9|519
Brand#12|STANDARD BURNISHED COPPER|23|519
Brand#12|STANDARD PLATED STEEL|9|519
Brand#14|LARGE ANODIZED COPPER|23|519
Brand#14|PROMO BRUSHED STEEL|49|519
Brand#14|STANDARD BRUSHED BRASS|36|519
Brand#14|STANDARD BRUSHED STEEL|23|519
Brand#14|STANDARD BRUSHED TIN|19|519
Brand#21|ECONOMY ANODIZED BRASS|9|519
Brand#22|PROMO BURNISHED COPPER|45|519
Brand#22|SMALL PLATED TIN|14|519
Brand#23|SMALL BRUSHED STEEL|23|519
Brand#24|PROMO BURNISHED NICKEL|3|519
Brand#24|SMALL BURNISHED BRASS|3|519
Brand#24|SMALL PLATED TIN|14|519
Brand#24|STANDARD POLISHED NICKEL|3|519
Brand#32|LARGE BURNISHED BRASS|23|519
Brand#32|PROMO PLATED NICKEL|19|519
Brand#33|SMALL POLISHED TIN|19|519
Brand#34|ECONOMY PLATED BRASS|14|519
Brand#34|PROMO PLATED NICKEL|19|519
Brand#41|ECONOMY BRUSHED COPPER|9|519
Brand#41|SMALL POLISHED COPPER|36|519
Brand#43|SMALL ANODIZED NICKEL|23|519
Brand#44|SMALL PLATED COPPER|45|519
Brand#52|ECONOMY PLATED TIN|19|519
Brand#52|SMALL BURNISHED NICKEL|23|519
Brand#53|LARGE BRUSHED NICKEL|45|519
Brand#22|SMALL BRUSHED COPPER|36|518
Brand#23|LARGE POLISHED BRASS|23|518
Brand#24|STANDARD PLATED BRASS|3|518
Brand#31|PROMO BRUSHED STEEL|49|518
Brand#34|ECONOMY ANODIZED TIN|23|518
Brand#52|SMALL BURNISHED BRASS|49|518
Brand#11|ECONOMY PLATED STEEL|49|516
Brand#11|LARGE ANODIZED TIN|14|516
Brand#11|LARGE BURNISHED BRASS|19|516
Brand#12|ECONOMY BURNISHED BRASS|23|516
Brand#12|LARGE BRUSHED TIN|45|516
Brand#12|LARGE PLATED NICKEL|49|516
Brand#12|MEDIUM PLATED NICKEL|9|516
Brand#12|STANDARD BURNISHED NICKEL|45|516
Brand#13|LARGE PLATED BRASS|49|516
Brand#13|MEDIUM BURNISHED BRASS|49|516
Brand#13|MEDIUM PLATED BRASS|45|516
Brand#13|MEDIUM PLATED STEEL|3|516
Brand#14|LARGE ANODIZED STEEL|9|516
Brand#14|LARGE BRUSHED BRASS|23|516
Brand#14|LARGE POLISHED TIN|45|516
Brand#15|LARGE POLISHED NICKEL|23|516
Brand#15|PROMO BURNISHED TIN|36|516
Brand#21|MEDIUM ANODIZED STEEL|14|516
Brand#21|MEDIUM PLATED NICKEL|14|516
Brand#21|PROMO ANODIZED BRASS|49|516
Brand#21|STANDARD ANODIZED STEEL|49|516
Brand#22|ECONOMY BRUSHED TIN|19|516
Brand#22|SMALL BRUSHED TIN|9|516
Brand#22|STANDARD PLATED STEEL|23|516
Brand#22|STANDARD PLATED TIN|3|516
Brand#22|STANDARD PLATED TIN|49|516
Brand#24|ECONOMY POLISHED COPPER|45|516
Brand#24|PROMO BRUSHED STEEL|14|516
Brand#25|PROMO ANODIZED TIN|36|516
Brand#25|PROMO BRUSHED STEEL|49|516
Brand#31|ECONOMY BURNISHED COPPER|45|516
Brand#31|PROMO ANODIZED NICKEL|49|516
Brand#31|SMALL PLATED STEEL|23|516
Brand#31|STANDARD ANODIZED STEEL|19|516
Brand#32|LARGE POLISHED BRASS|23|516
Brand#33|PROMO BURNISHED STEEL|49|516
Brand#33|SMALL ANODIZED BRASS|36|516
Brand#33|SMALL ANODIZED COPPER|14|516
Brand#33|SMALL BRUSHED TIN|45|516
Brand#33|SMALL POLISHED TIN|9|516
Brand#34|ECONOMY PLATED NICKEL|23|516
Brand#34|LARGE BURNISHED STEEL|19|516
Brand#34|LARGE BURNISHED TIN|14|516
Brand#34|PROMO BRUSHED COPPER|49|516
Brand#34|PROMO BRUSHED TIN|23|516
Brand#34|STANDARD ANODIZED BRASS|45|516
Brand#34|STANDARD ANODIZED TIN|3|516
Brand#35|LARGE ANODIZED BRASS|45|516
Brand#35|LARGE POLISHED NICKEL|3|516
Brand#35|MEDIUM BRUSHED BRASS|36|516
Brand#35|MEDIUM BURNISHED TIN|23|516
Brand#35|PROMO ANODIZED COPPER|49|516
Brand#35|STANDARD POLISHED COPPER|3|516
Brand#41|ECONOMY ANODIZED COPPER|19|516
Brand#41|ECONOMY BRUSHED TIN|3|516
Brand#41|MEDIUM BURNISHED TIN|9|516
Brand#41|PROMO PLATED NICKEL|36|516
Brand#41|SMALL ANODIZED NICKEL|9|516
Brand#41|SMALL BURNISHED NICKEL|19|516
Brand#41|SMALL PLATED BRASS|49|516
Brand#41|SMALL POLISHED STEEL|19|516
Brand#41|STANDARD PLATED NICKEL|3|516
Brand#42|SMALL BRUSHED NICKEL|9|516
Brand#42|SMALL POLISHED NICKEL|9|516
Brand#42|STANDARD POLISHED STEEL|14|516
Brand#43|MEDIUM ANODIZED COPPER|14|516
Brand#43|PROMO PLATED COPPER|49|516
Brand#43|PROMO PLATED TIN|19|516
Brand#51|LARGE BRUSHED NICKEL|3|516
Brand#51|SMALL BURNISHED BRASS|19|516
Brand#52|ECONOMY POLISHED STEEL|19|516
Brand#52|MEDIUM ANODIZED TIN|36|516
Brand#52|MEDIUM BURNISHED TIN|3|516
Brand#53|ECONOMY PLATED STEEL|36|516
Brand#53|PROMO BURNISHED BRASS|14|516
Brand#53|PROMO POLISHED NICKEL|14|516
Brand#54|LARGE ANODIZED TIN|36|516
Brand#54|PROMO BRUSHED BRASS|36|516
Brand#54|PROMO BRUSHED STEEL|9|516
Brand#54|SMALL POLISHED TIN|14|516
Brand#54|STANDARD POLISHED STEEL|36|516
Brand#55|LARGE POLISHED BRASS|45|516
Brand#55|MEDIUM ANODIZED BRASS|19|516
Brand#55|MEDIUM ANODIZED NICKEL|36|516
