i_category|i_class|i_brand|s_store_name|s_company_name|d_moy|sum_sales|avg_monthly_sales
Men|shirts|importoimporto #1|cally|Unknown|2|185225.34|340636.7141666667
Women|dresses|amalgamalg #1|bar|Unknown|7|217779.87|372954.67583333334
Women|dresses|amalgamalg #1|ese|Unknown|3|203014.85|358121.1975
Men|shirts|importoimporto #1|eing|Unknown|6|208261.85|363196.5183333333
Men|shirts|importoimporto #1|able|Unknown|3|210533.95|364935.63666666666
Women|dresses|amalgamalg #1|eing|Unknown|7|218982.58|373189.18583333335
Men|shirts|importoimporto #1|ese|Unknown|4|197169.64|351348.0325
Women|dresses|amalgamalg #1|ese|Unknown|7|204200.59|358121.1975
Men|shirts|importoimporto #1|able|Unknown|4|211436.16|364935.63666666666
Women|dresses|amalgamalg #1|ese|Unknown|4|204808.13|358121.1975
Men|shirts|importoimporto #1|bar|Unknown|3|214477.04|366631.8475
Men|shirts|importoimporto #1|ese|Unknown|5|200371.34|351348.0325
Women|dresses|amalgamalg #1|able|Unknown|3|223779.80|374524.72833333333
Men|shirts|importoimporto #1|ese|Unknown|7|200723.52|351348.0325
Men|shirts|importoimporto #1|cally|Unknown|4|190032.22|340636.7141666667
Men|shirts|importoimporto #1|bar|Unknown|5|216490.93|366631.8475
Women|dresses|amalgamalg #1|eing|Unknown|5|223306.91|373189.18583333335
Men|shirts|importoimporto #1|ese|Unknown|3|202415.00|351348.0325
Women|dresses|amalgamalg #1|bar|Unknown|5|224494.13|372954.67583333334
Men|shirts|importoimporto #1|able|Unknown|7|216695.45|364935.63666666666
Men|shirts|importoimporto #1|eing|Unknown|7|215003.69|363196.5183333333
Men|shirts|importoimporto #1|bar|Unknown|7|218456.12|366631.8475
Men|shirts|importoimporto #1|eing|Unknown|5|215424.41|363196.5183333333
Women|dresses|amalgamalg #1|cally|Unknown|6|194476.87|341984.9375
Women|dresses|amalgamalg #1|cally|Unknown|4|195074.27|341984.9375
Women|dresses|amalgamalg #1|cally|Unknown|3|195080.74|341984.9375
Women|dresses|amalgamalg #1|ese|Unknown|5|212631.14|358121.1975
Men|shirts|importoimporto #1|cally|Unknown|3|199837.35|340636.7141666667
Men|shirts|importoimporto #1|cally|Unknown|7|200440.83|340636.7141666667
Men|shirts|importoimporto #1|cally|Unknown|6|201116.81|340636.7141666667
Women|dresses|amalgamalg #1|cally|Unknown|5|202779.73|341984.9375
Men|shirts|importoimporto #1|cally|Unknown|5|202186.09|340636.7141666667
Women|dresses|amalgamalg #1|cally|Unknown|7|205947.80|341984.9375
Women|dresses|amalgamalg #1|eing|Unknown|1|258852.31|373189.18583333335
Men|shirts|importoimporto #1|cally|Unknown|1|227924.58|340636.7141666667
Women|dresses|amalgamalg #1|able|Unknown|1|262432.12|374524.72833333333
Men|shirts|importoimporto #1|ese|Unknown|1|239448.74|351348.0325
Women|dresses|amalgamalg #1|bar|Unknown|1|263912.26|372954.67583333334
Women|dresses|amalgamalg #1|cally|Unknown|1|234892.69|341984.9375
Men|shirts|importoimporto #1|able|Unknown|1|259400.79|364935.63666666666
Men|shirts|importoimporto #1|eing|Unknown|1|259687.63|363196.5183333333
Men|shirts|importoimporto #1|bar|Unknown|1|263506.52|366631.8475
Women|dresses|amalgamalg #1|ese|Unknown|1|256587.66|358121.1975
Women|dresses|amalgamalg #2|bar|Unknown|2|98743.57|191321.60333333333
Women|dresses|amalgamalg #1|ation|Unknown|2|101354.79|192438.14666666667
Men|shirts|importoimporto #1|ation|Unknown|2|100581.47|189665.6075
Women|dresses|amalgamalg #2|eing|Unknown|2|103791.40|192241.38083333333
Women|dresses|amalgamalg #1|n st|Unknown|2|92550.09|179114.16166666665
Women|dresses|amalgamalg #2|able|Unknown|2|102902.23|189395.05
Women|dresses|amalgamalg #1|ought|Unknown|6|105606.05|191951.40583333332
Women|dresses|amalgamalg #2|ese|Unknown|4|96711.93|182486.1
Women|dresses|amalgamalg #1|ought|Unknown|2|106378.74|191951.40583333332
Women|dresses|amalgamalg #1|ation|Unknown|7|106991.10|192438.14666666667
Women|dresses|amalgamalg #1|ation|Unknown|4|107141.55|192438.14666666667
Women|dresses|amalgamalg #2|cally|Unknown|2|92328.68|177436.14083333334
Men|shirts|importoimporto #1|ought|Unknown|2|103248.06|188007.82916666666
Women|dresses|amalgamalg #2|eing|Unknown|4|107571.21|192241.38083333333
Women|dresses|amalgamalg #2|eing|Unknown|3|107818.31|192241.38083333333
Women|dresses|amalgamalg #1|ation|Unknown|6|108138.28|192438.14666666667
Women|dresses|amalgamalg #2|ese|Unknown|2|98553.39|182486.1
Women|dresses|amalgamalg #1|n st|Unknown|6|95560.32|179114.16166666665
Men|shirts|importoimporto #1|pri|Unknown|6|95124.17|178383.11166666666
Men|shirts|importoimporto #1|pri|Unknown|2|95198.04|178383.11166666666
Men|shirts|importoimporto #2|bar|Unknown|2|90859.07|174021.19333333333
Women|dresses|amalgamalg #2|able|Unknown|4|106491.34|189395.05
Men|shirts|importoimporto #2|able|Unknown|2|91994.51|174812.16166666665
Men|shirts|importoimporto #1|ation|Unknown|3|107194.55|189665.6075
Women|dresses|amalgamalg #1|ought|Unknown|4|109787.18|191951.40583333332
Women|dresses|amalgamalg #2|able|Unknown|6|107502.77|189395.05
Men|shirts|importoimporto #1|ation|Unknown|6|107974.23|189665.6075
Men|shirts|importoimporto #1|ation|Unknown|4|108002.78|189665.6075
Women|dresses|amalgamalg #1|ought|Unknown|3|110471.49|191951.40583333332
Women|dresses|amalgamalg #2|eing|Unknown|5|110930.55|192241.38083333333
