ca_state|cd_gender|cd_marital_status|cd_dep_count|cnt1|min1|max1|avg1|cd_dep_employed_count|cnt2|min2|max2|avg2|cd_dep_college_count|cnt3|min|max|avg)
NULL|F|D|1|9|1|1|1.0|2|9|2|2|2.0|2|9|2|2|2.0
NULL|F|D|1|10|1|1|1.0|2|10|2|2|2.0|3|10|3|3|3.0
NULL|F|D|1|12|1|1|1.0|2|12|2|2|2.0|4|12|4|4|4.0
NULL|F|D|1|8|1|1|1.0|2|8|2|2|2.0|5|8|5|5|5.0
NULL|F|D|1|6|1|1|1.0|2|6|2|2|2.0|6|6|6|6|6.0
NULL|F|D|1|11|1|1|1.0|3|11|3|3|3.0|0|11|0|0|0.0
NULL|F|D|1|7|1|1|1.0|3|7|3|3|3.0|1|7|1|1|1.0
NULL|F|D|1|10|1|1|1.0|3|10|3|3|3.0|2|10|2|2|2.0
NULL|F|D|1|8|1|1|1.0|3|8|3|3|3.0|3|8|3|3|3.0
NULL|F|D|1|9|1|1|1.0|3|9|3|3|3.0|4|9|4|4|4.0
NULL|F|D|1|14|1|1|1.0|3|14|3|3|3.0|5|14|5|5|5.0
NULL|F|D|1|8|1|1|1.0|3|8|3|3|3.0|6|8|6|6|6.0
NULL|F|D|1|5|1|1|1.0|4|5|4|4|4.0|0|5|0|0|0.0
NULL|F|D|1|7|1|1|1.0|4|7|4|4|4.0|1|7|1|1|1.0
NULL|F|D|1|10|1|1|1.0|4|10|4|4|4.0|2|10|2|2|2.0
NULL|F|D|1|8|1|1|1.0|4|8|4|4|4.0|3|8|3|3|3.0
NULL|F|D|1|11|1|1|1.0|4|11|4|4|4.0|4|11|4|4|4.0
NULL|F|D|1|10|1|1|1.0|4|10|4|4|4.0|5|10|5|5|5.0
NULL|F|D|1|12|1|1|1.0|4|12|4|4|4.0|6|12|6|6|6.0
NULL|F|D|1|10|1|1|1.0|5|10|5|5|5.0|0|10|0|0|0.0
NULL|F|D|1|6|1|1|1.0|5|6|5|5|5.0|1|6|1|1|1.0
NULL|F|D|1|5|1|1|1.0|5|5|5|5|5.0|2|5|2|2|2.0
NULL|F|D|1|5|1|1|1.0|5|5|5|5|5.0|3|5|3|3|3.0
NULL|F|D|1|15|1|1|1.0|5|15|5|5|5.0|4|15|4|4|4.0
NULL|F|D|1|5|1|1|1.0|5|5|5|5|5.0|5|5|5|5|5.0
NULL|F|D|1|12|1|1|1.0|5|12|5|5|5.0|6|12|6|6|6.0
NULL|F|D|1|8|1|1|1.0|6|8|6|6|6.0|0|8|0|0|0.0
NULL|F|D|1|6|1|1|1.0|6|6|6|6|6.0|1|6|1|1|1.0
NULL|F|D|1|2|1|1|1.0|6|2|6|6|6.0|2|2|2|2|2.0
NULL|F|D|1|8|1|1|1.0|6|8|6|6|6.0|3|8|3|3|3.0
NULL|F|D|1|8|1|1|1.0|6|8|6|6|6.0|4|8|4|4|4.0
NULL|F|D|1|8|1|1|1.0|6|8|6|6|6.0|5|8|5|5|5.0
NULL|F|D|1|8|1|1|1.0|6|8|6|6|6.0|6|8|6|6|6.0
NULL|F|D|2|12|2|2|2.0|0|12|0|0|0.0|0|12|0|0|0.0
NULL|F|D|2|10|2|2|2.0|0|10|0|0|0.0|1|10|1|1|1.0


