i_category|i_brand|cc_name|d_year|d_moy|avg_monthly_sales|sum_sales|psum|nsum
Women|exportiamalg #1|Hawaii/Alaska|1999|2|135543.77916666667|69683.83|85653.81|74599.04
Music|edu packscholar #1|Hawaii/Alaska_1|1999|4|136402.79583333334|70606.83|81345.13|84600.26
Shoes|importoedu pack #1|Pacific Northwest|1999|2|128690.9625|62982.44|76430.71|73590.14
Men|edu packimporto #1|Pacific Northwest_1|1999|2|137299.1175|71635.90|82907.43|77494.85
Children|exportiexporti #1|Hawaii/Alaska_1|1999|2|131101.35166666665|65451.87|76470.64|72666.43
Shoes|edu packedu pack #1|Mid Atlantic_1|1999|2|131658.71|66213.94|74237.67|69392.99
Music|edu packscholar #1|Mid Atlantic_2|1999|2|136294.46416666667|70970.63|82771.77|80013.03
Music|edu packscholar #1|Hawaii/Alaska_1|1999|2|136402.79583333334|71130.25|80348.78|81345.13
Women|amalgamalg #1|Pacific Northwest|1999|2|130697.57666666666|65429.03|75098.96|74908.06
Music|amalgscholar #1|California_1|1999|4|136551.58416666667|71287.99|78893.44|81741.32
Men|exportiimporto #1|Pacific Northwest|1999|2|130008.9225|64853.43|78998.34|78227.83
Men|importoimporto #1|NY Metro|1999|2|130420.85666666667|65278.59|78031.63|76522.30
Music|amalgscholar #1|California_1|1999|6|136551.58416666667|71415.50|81741.32|82289.71
Men|edu packimporto #1|Mid Atlantic|1999|2|141125.72416666665|76041.44|74881.13|82218.70
Shoes|exportiedu pack #1|Pacific Northwest|1999|2|132765.30666666667|67725.33|78684.01|78568.48
Men|edu packimporto #1|North Midwest|1999|2|140246.03083333332|75248.12|81253.73|71824.23
Shoes|amalgedu pack #1|NY Metro_2|1999|2|135640.97916666666|70677.06|80955.34|78620.93
Shoes|amalgedu pack #1|Mid Atlantic_2|1999|2|136014.315|71078.74|82068.62|78493.56
Shoes|edu packedu pack #1|Pacific Northwest|1999|2|130924.49833333334|66004.86|82033.43|79061.68
Children|importoexporti #1|NY Metro_2|1999|2|131259.91083333333|66438.73|74661.25|75935.51
Men|edu packimporto #1|California|1999|6|138722.61333333334|73952.97|85833.83|83803.16
Shoes|amalgedu pack #1|Hawaii/Alaska|1999|2|136138.81833333333|71494.52|77797.01|79009.64
Music|importoscholar #1|Mid Atlantic_1|1999|2|133932.24833333332|69296.04|77358.50|74758.17
Men|amalgimporto #1|NY Metro_2|1999|2|134594.21|70007.33|78425.30|75432.77
Children|importoexporti #1|NY Metro|1999|2|133551.32833333334|68969.55|80808.53|76381.21
Music|amalgscholar #1|NY Metro|1999|2|134843.435|70304.80|78626.35|74887.30
Women|amalgamalg #1|Mid Atlantic_1|1999|2|131241.25333333333|66839.00|79874.97|73630.83
Women|exportiamalg #1|Pacific Northwest|1999|2|135950.08833333335|71559.59|79196.01|75609.58
Shoes|importoedu pack #1|California|1999|2|131609.3525|67241.14|79475.97|73398.03
Music|exportischolar #1|Mid Atlantic|1999|2|127262.82583333334|63017.12|74900.88|73019.54
Children|amalgexporti #1|California|1999|2|133031.245|68810.92|78227.95|75528.71
Children|exportiexporti #1|Pacific Northwest|1999|2|129242.7825|65043.90|77216.14|72535.53
Children|amalgexporti #1|NY Metro|1999|2|133607.12083333332|69411.48|80916.92|73957.71
Children|amalgexporti #1|Pacific Northwest|1999|2|133163.375|69012.43|74917.79|77667.96
Women|exportiamalg #1|North Midwest_2|1999|2|135059.48|70920.33|77577.52|76783.99
Music|exportischolar #1|Mid Atlantic_1|1999|2|127242.1025|63115.37|77789.73|73174.31
Music|edu packscholar #1|California|1999|2|137371.1825|73247.98|80661.29|78817.71
Women|exportiamalg #1|Mid Atlantic_2|1999|2|134142.09833333333|70083.83|78964.09|80670.42
Music|edu packscholar #1|Pacific Northwest|1999|2|135741.54333333333|71683.56|82100.73|73315.74
Music|importoscholar #1|NY Metro_1|1999|2|133802.45|69777.67|80630.84|75124.39
Music|amalgscholar #1|Mid Atlantic_1|1999|2|135904.35583333333|71886.86|76445.07|75317.64
Shoes|edu packedu pack #1|North Midwest|1999|2|131278.32666666666|67282.12|79010.48|71704.09
Men|edu packimporto #1|Pacific Northwest|1999|2|140332.79583333334|76336.71|84284.37|82247.96
Children|exportiexporti #1|NY Metro|1999|2|129293.19|65322.93|77470.13|74886.62
Women|exportiamalg #1|Mid Atlantic_1|1999|2|135951.38416666666|71995.18|77935.09|75290.69
Men|amalgimporto #1|Mid Atlantic_2|1999|2|133664.36666666667|69726.59|77723.66|79594.02
Children|edu packexporti #1|North Midwest|1999|2|128289.57333333333|64373.68|75851.10|72965.14
Children|amalgexporti #1|Mid Atlantic|1999|2|132517.43166666667|68603.96|73461.65|77354.89
Men|edu packimporto #1|Mid Atlantic_2|1999|2|139758.08583333335|75869.55|83070.36|83315.75
Men|edu packimporto #1|North Midwest_2|1999|2|140297.80416666667|76420.07|83852.92|80207.26
Men|amalgimporto #1|Mid Atlantic|1999|2|132615.30333333334|68746.61|78444.48|76372.76
Children|amalgexporti #1|Pacific Northwest_1|1999|4|133820.31583333333|69954.08|81230.84|85079.13
Music|edu packscholar #1|NY Metro|1999|2|138458.655|74598.03|85780.89|81318.52
Men|edu packimporto #1|NY Metro_2|1999|7|140934.13583333333|77179.57|80379.93|185745.29
Women|amalgamalg #1|Hawaii/Alaska|1999|2|130848.4725|67134.85|77596.79|73856.27
Men|importoimporto #1|NY Metro_1|1999|2|130423.36333333333|66721.66|82889.98|75933.59
Music|importoscholar #1|Hawaii/Alaska|1999|2|135515.4775|71865.33|79668.06|78231.58
Women|exportiamalg #1|North Midwest|1999|6|135253.84583333333|71610.79|78138.30|83536.89
Women|importoamalg #1|Mid Atlantic_1|1999|2|129459.80666666667|65838.95|82172.71|72958.37
Children|importoexporti #1|NY Metro_1|1999|5|133658.315|70083.31|76199.47|77524.45
Music|edu packscholar #1|Mid Atlantic_1|1999|2|136139.83916666667|72590.01|78982.25|73929.72
Children|exportiexporti #1|Mid Atlantic|1999|2|130999.2025|67462.03|77828.31|75796.04
Men|amalgimporto #1|North Midwest_2|1999|2|133001.05833333332|69494.81|80893.37|76105.50
Shoes|amalgedu pack #1|Mid Atlantic_1|1999|3|136157.47333333333|72664.55|69312.64|79693.72
Men|edu packimporto #1|Hawaii/Alaska_1|1999|4|139404.345|75925.45|78176.49|84339.08
Men|amalgimporto #1|NY Metro|1999|2|133847.88083333333|70380.79|77107.60|79375.76
Music|amalgscholar #1|Mid Atlantic|1999|3|136434.25|72975.11|70147.57|76477.27
Children|amalgexporti #1|North Midwest|1999|2|134109.76083333333|70663.18|80890.65|75067.99
Men|amalgimporto #1|California_1|1999|2|134140.33166666667|70705.78|78560.66|78033.21
Shoes|exportiedu pack #1|California|1999|2|130148.87083333333|66720.87|77449.59|72545.59
Shoes|amalgedu pack #1|Pacific Northwest|1999|2|137002.87083333332|73598.71|86330.74|81446.24
Men|importoimporto #1|North Midwest|1999|2|129332.1675|65940.30|78025.86|73742.48
Music|amalgscholar #1|Mid Atlantic_2|1999|2|135180.195|71789.72|84376.77|81201.90
Women|exportiamalg #1|Hawaii/Alaska_1|1999|2|136052.27916666667|72674.10|78088.79|84733.64
Children|exportiexporti #1|California_1|1999|2|130067.4625|66708.22|82008.51|77534.50
