i_category|i_brand|s_store_name|s_company_name|d_year|d_moy|avg_monthly_sales|sum_sales|psum|nsum
Men|importoimporto #1|eing|Unknown|1999|2|363706.00916666666|186629.75|260100.54|206553.81
Women|exportiamalg #1|ese|Unknown|1999|2|365628.42333333334|188772.39|257991.94|208301.22
Women|amalgamalg #1|bar|Unknown|1999|2|372954.67583333334|196139.08|263912.26|216985.01
Children|amalgexporti #1|bar|Unknown|1999|2|376542.71166666667|199883.68|264194.74|223857.97
Children|importoexporti #1|able|Unknown|1999|2|378577.11916666664|202216.22|266979.91|221844.62
Men|edu packimporto #1|able|Unknown|1999|3|396815.25916666666|220469.66|203800.06|217757.09
Music|amalgscholar #1|able|Unknown|1999|2|381328.92333333334|205043.63|267598.86|219072.38
Music|edu packscholar #1|ese|Unknown|1999|2|372728.29083333333|197745.50|260332.79|206841.85
Children|importoexporti #1|bar|Unknown|1999|2|373483.69166666665|198838.20|264574.45|216900.73
Men|edu packimporto #1|eing|Unknown|1999|4|395733.5125|221617.84|225338.48|235101.88
Men|edu packimporto #1|bar|Unknown|1999|6|394108.24416666664|220060.10|236017.25|231543.47
Shoes|exportiedu pack #1|eing|Unknown|1999|2|370755.76166666666|196743.09|266710.21|217135.06
Men|edu packimporto #1|bar|Unknown|1999|3|394108.24416666664|220273.04|208040.03|224238.81
Women|edu packamalg #1|eing|Unknown|1999|2|368735.2366666667|195009.38|265954.45|213341.65
Children|edu packexporti #1|bar|Unknown|1999|2|367417.01666666666|193863.02|257037.29|214621.42
Women|edu packamalg #1|able|Unknown|1999|2|370062.32916666666|196571.72|261086.16|219183.28
Music|amalgscholar #1|ese|Unknown|1999|2|365444.85333333333|191973.95|253407.77|206819.19
Shoes|amalgedu pack #1|ese|Unknown|1999|2|367964.82916666666|194527.53|252115.40|209688.40
Men|amalgimporto #1|eing|Unknown|1999|2|373684.195|200307.93|272815.36|213278.33
Shoes|amalgedu pack #1|eing|Unknown|1999|2|381835.3825|208505.56|276733.55|213175.18
Men|exportiimporto #1|bar|Unknown|1999|2|366746.26416666666|193796.48|258291.93|214956.88
Men|edu packimporto #1|cally|Unknown|1999|2|367857.6525|194954.35|255507.52|211182.50
Music|edu packscholar #1|eing|Unknown|1999|3|387154.8958333333|214651.90|207608.95|217246.94
Women|importoamalg #1|eing|Unknown|1999|2|362094.10333333333|189615.77|244090.81|202447.70
Men|importoimporto #1|bar|Unknown|1999|2|367050.8|194577.13|263897.77|214734.11
Shoes|exportiedu pack #1|able|Unknown|1999|2|373697.02416666667|201255.03|262432.01|206563.36
Children|importoexporti #1|eing|Unknown|1999|2|375798.4841666667|203495.05|265589.96|212429.32
Music|edu packscholar #1|cally|Unknown|1999|2|361535.1116666667|189231.85|247597.88|211040.56
Women|exportiamalg #1|eing|Unknown|1999|4|378787.86916666664|206560.82|216954.71|231234.35
Shoes|edu packedu pack #1|eing|Unknown|1999|2|372623.24833333335|200668.58|260198.74|214325.95
Shoes|edu packedu pack #1|bar|Unknown|1999|2|368544.74666666664|196692.92|269922.63|212461.11
Women|exportiamalg #1|able|Unknown|1999|4|379322.735|207653.21|223133.33|226795.33
Children|amalgexporti #1|ese|Unknown|1999|2|360501.1558333333|189001.44|254056.73|208860.82
Music|importoscholar #1|able|Unknown|1999|3|382824.225|211591.05|200592.65|214521.07
Shoes|amalgedu pack #1|able|Unknown|1999|4|385213.2325|214159.09|219871.17|232048.72
Women|amalgamalg #1|eing|Unknown|1999|2|373189.18583333335|202262.71|258852.31|210203.65
Music|exportischolar #1|bar|Unknown|1999|2|362423.4558333333|191532.67|257033.20|212896.37
Music|exportischolar #1|eing|Unknown|1999|2|364116.3433333333|193229.33|252749.51|204292.92
Men|amalgimporto #1|ese|Unknown|1999|2|363088.00583333336|192401.15|250446.82|206376.34
Shoes|exportiedu pack #1|ese|Unknown|1999|2|359178.155|188581.50|245113.35|204749.86
Shoes|importoedu pack #1|bar|Unknown|1999|2|369368.3883333333|198822.51|261586.16|213613.13
Men|exportiimporto #1|eing|Unknown|1999|2|367278.815|196820.52|264465.19|211708.66
Music|importoscholar #1|eing|Unknown|1999|4|382250.0983333333|211834.85|222192.26|227455.75
Men|edu packimporto #1|eing|Unknown|1999|3|395733.5125|225338.48|210147.32|221617.84
Children|edu packexporti #1|eing|Unknown|1999|2|364372.1741666667|194155.14|249726.43|213096.91
Music|edu packscholar #1|eing|Unknown|1999|4|387154.8958333333|217246.94|214651.90|228247.71
Men|edu packimporto #1|bar|Unknown|1999|4|394108.24416666664|224238.81|220273.04|236017.25
Music|importoscholar #1|ese|Unknown|1999|2|364607.1775|194744.17|258866.43|204875.52
Children|exportiexporti #1|bar|Unknown|1999|2|368789.2158333333|199104.29|262441.16|217687.58
Music|edu packscholar #1|bar|Unknown|1999|4|388055.45416666666|218412.63|220368.43|229359.68
Shoes|amalgedu pack #1|bar|Unknown|1999|3|384835.22833333333|215245.00|200407.11|223233.23
Shoes|edu packedu pack #1|ese|Unknown|1999|2|355155.31166666665|185660.43|250893.04|203742.27
Women|amalgamalg #1|ese|Unknown|1999|2|358121.1975|188697.00|256587.66|203014.85
Men|edu packimporto #1|able|Unknown|1999|6|396815.25916666666|227538.47|233655.84|230174.44
Children|exportiexporti #1|eing|Unknown|1999|2|369118.00666666665|199872.66|257301.39|210846.57
Children|amalgexporti #1|eing|Unknown|1999|4|378323.00166666665|209242.95|223841.27|223433.73
Shoes|importoedu pack #1|eing|Unknown|1999|2|367981.2575|198962.82|263387.24|213036.96
Shoes|importoedu pack #1|able|Unknown|1999|2|366547.81083333335|197660.87|260651.41|202916.72
Music|amalgscholar #1|eing|Unknown|1999|4|381872.4683333333|212997.98|220032.37|217318.26
Men|edu packimporto #1|eing|Unknown|1999|6|395733.5125|226861.80|235101.88|231369.72
Men|amalgimporto #1|eing|Unknown|1999|4|373684.195|204903.18|213278.33|223456.37
Shoes|amalgedu pack #1|eing|Unknown|1999|3|381835.3825|213175.18|208505.56|219972.53
Men|edu packimporto #1|ese|Unknown|1999|3|380722.39|212329.70|200036.73|218463.36
Music|importoscholar #1|able|Unknown|1999|4|382824.225|214521.07|211591.05|220475.92
Shoes|amalgedu pack #1|able|Unknown|1999|6|385213.2325|216926.19|232048.72|235019.74
Shoes|edu packedu pack #1|able|Unknown|1999|2|370254.2658333333|202088.73|260290.64|216117.41
Women|importoamalg #1|bar|Unknown|1999|2|362744.60333333333|194650.32|246525.09|208993.51
Children|importoexporti #1|bar|Unknown|1999|4|373483.69166666665|205602.96|216900.73|223849.00
Music|edu packscholar #1|bar|Unknown|1999|3|388055.45416666666|220368.43|203682.09|218412.63
Men|importoimporto #1|able|Unknown|1999|2|365402.18583333335|197878.45|259759.21|210733.85
Children|importoexporti #1|able|Unknown|1999|4|378577.11916666664|211105.24|221844.62|225421.98
Music|amalgscholar #1|able|Unknown|1999|6|381328.92333333334|213943.48|227036.42|226858.01
Men|amalgimporto #1|cally|Unknown|1999|2|346673.7316666667|179305.64|245055.31|201018.58
Shoes|exportiedu pack #1|able|Unknown|1999|3|373697.02416666667|206563.36|201255.03|216622.13
