w_substr|sm_type|web_name|30 days|31-60 days|61-90 days|91-120 days|>120 days
Bad cards must make.|NEXT DAY|site_3|12020|12084|11973|12067|0
Bad cards must make.|OVERNIGHT|site_0|8973|8980|9094|8976|0
Bad cards must make.|OVERNIGHT|site_1|9126|9188|9076|9000|0
Bad cards must make.|OVERNIGHT|site_2|9088|9092|9305|9098|0
Bad cards must make.|OVERNIGHT|site_3|9149|9114|9010|9064|0
Bad cards must make.|REGULAR|site_0|9168|9031|9120|8903|0
Bad cards must make.|REGULAR|site_1|9030|8990|9012|8918|0
Bad cards must make.|REGULAR|site_2|9161|8961|8938|9056|0
Bad cards must make.|REGULAR|site_3|9274|8964|9034|9108|0
Bad cards must make.|TWO DAY|site_0|8945|9009|8908|8891|0
Bad cards must make.|TWO DAY|site_1|9115|9086|8950|9151|0
Bad cards must make.|TWO DAY|site_2|9006|8972|8943|8971|0
Bad cards must make.|TWO DAY|site_3|9081|9015|8971|9150|0
Conventional childr|EXPRESS|site_0|12125|12082|12162|11993|0
Conventional childr|EXPRESS|site_1|12034|11971|12145|11947|0
Conventional childr|EXPRESS|site_2|12040|11955|12011|11876|0
Conventional childr|EXPRESS|site_3|11837|12000|12304|12035|0
Conventional childr|LIBRARY|site_0|9095|9158|9119|8943|0
Conventional childr|LIBRARY|site_1|8978|9008|9040|9159|0
Conventional childr|LIBRARY|site_2|8999|8969|9104|8952|0
Conventional childr|LIBRARY|site_3|8833|9063|8944|9110|0
Conventional childr|NEXT DAY|site_0|12287|12044|12086|11928|0
Conventional childr|NEXT DAY|site_1|12072|11877|11920|11936|0
Conventional childr|NEXT DAY|site_2|11985|11974|12127|11987|0
Conventional childr|NEXT DAY|site_3|11973|11854|12251|12046|0
Conventional childr|OVERNIGHT|site_0|9061|9100|9045|9114|0
Conventional childr|OVERNIGHT|site_1|8995|9096|9048|9169|0
Conventional childr|OVERNIGHT|site_2|9069|9273|8892|9105|0
Conventional childr|OVERNIGHT|site_3|9021|9080|9056|9160|0
Conventional childr|REGULAR|site_0|9015|8975|9071|8888|0
Conventional childr|REGULAR|site_1|8980|8929|9175|9052|0
Conventional childr|REGULAR|site_2|9007|9170|9074|8931|0
Conventional childr|REGULAR|site_3|8830|8961|9059|9188|0
Conventional childr|TWO DAY|site_0|9166|9273|8978|8889|0
Conventional childr|TWO DAY|site_1|8969|9083|9061|9013|0
Conventional childr|TWO DAY|site_2|9045|9018|9028|9127|0
Conventional childr|TWO DAY|site_3|8838|9029|9192|8987|0
Doors canno|EXPRESS|site_0|12125|12327|11982|11884|0
Doors canno|EXPRESS|site_1|11987|12087|11878|11913|0
Doors canno|EXPRESS|site_2|12070|12056|11951|12056|0
Doors canno|EXPRESS|site_3|12032|11928|12003|11966|0
Doors canno|LIBRARY|site_0|9222|9083|8986|9102|0
Doors canno|LIBRARY|site_1|9045|9153|8917|8951|0
Doors canno|LIBRARY|site_2|9151|9043|9066|8927|0
Doors canno|LIBRARY|site_3|8955|9117|8904|8957|0
Doors canno|NEXT DAY|site_0|12097|12264|12112|12060|0
Doors canno|NEXT DAY|site_1|12014|11915|11893|12002|0
Doors canno|NEXT DAY|site_2|12071|12217|11955|11940|0
Doors canno|NEXT DAY|site_3|11966|12047|12125|12225|0
Doors canno|OVERNIGHT|site_0|8978|9074|9106|9019|0
Doors canno|OVERNIGHT|site_1|9038|8943|9077|8830|0
Doors canno|OVERNIGHT|site_2|9062|8971|9151|8902|0
Doors canno|OVERNIGHT|site_3|9117|8905|8966|9094|0
Doors canno|REGULAR|site_0|9037|8996|8865|9178|0
Doors canno|REGULAR|site_1|9078|9040|8953|8850|0
Doors canno|REGULAR|site_2|8879|9066|9161|8984|0
Doors canno|REGULAR|site_3|8937|9030|8997|9031|0
Doors canno|TWO DAY|site_0|9075|9090|9048|9028|0
Doors canno|TWO DAY|site_1|8985|9239|9023|9035|0
Doors canno|TWO DAY|site_2|9219|9074|8953|8994|0
Doors canno|TWO DAY|site_3|9090|9183|8944|8889|0
Friendly, suitable |EXPRESS|site_0|11957|11975|12163|11964|0
Friendly, suitable |EXPRESS|site_1|12206|11981|12132|12029|0
Friendly, suitable |EXPRESS|site_2|12009|12013|12213|11906|0
Friendly, suitable |EXPRESS|site_3|11956|12093|12279|12040|0
