cd_gender|cd_marital_status|cd_education_status|cnt1|cd_purchase_estimate|cnt2|cd_credit_rating|cnt3|cd_dep_count|cnt4|cd_dep_employed_count|cnt5|cd_dep_college_count|cnt6
F|D|College|1|1000|1|Low Risk|1|1|1|4|1|3|1
F|D|College|1|1500|1|High Risk|1|4|1|0|1|0|1
F|D|College|1|2000|1|High Risk|1|1|1|4|1|4|1
F|D|College|1|2000|1|Unknown|1|2|1|0|1|6|1
F|D|College|1|3000|1|Unknown|1|4|1|4|1|2|1
F|D|College|1|3500|1|Low Risk|1|4|1|0|1|2|1
F|D|College|1|4000|1|High Risk|1|1|1|6|1|6|1
F|D|College|1|4500|1|Low Risk|1|3|1|4|1|0|1
F|D|College|1|4500|1|Low Risk|1|4|1|1|1|1|1
F|D|College|1|4500|1|Unknown|1|5|1|1|1|6|1
F|D|College|1|5000|1|Good|1|3|1|0|1|2|1
F|D|College|1|5000|1|Good|1|4|1|4|1|2|1
F|D|College|1|5000|1|Good|1|6|1|4|1|0|1
F|D|College|1|5000|1|High Risk|1|3|1|3|1|5|1
F|D|College|1|5500|1|High Risk|1|3|1|4|1|2|1
F|D|College|1|5500|1|Low Risk|1|3|1|6|1|6|1


