i_product_name|i_brand|i_class|i_category|qoh
priantiationableoughtought|scholarunivamalg #2|fiction|Books|460.28724832214766
esebarn stationeingought|NULL|NULL|NULL|460.739837398374
esebarn stationeingought|univamalgamalg #4|NULL|NULL|460.739837398374
esebarn stationeingought|univamalgamalg #4|memory|NULL|460.739837398374
esebarn stationeingought|univamalgamalg #4|memory|Electronics|460.739837398374
ableationoughtbaration|NULL|NULL|NULL|461.1588785046729
ableationoughtbaration|importoexporti #1|NULL|NULL|461.1588785046729
ableationoughtbaration|importoexporti #1|infants|NULL|461.1588785046729
ableationoughtbaration|importoexporti #1|infants|Children|461.1588785046729
eingoughtcallycallyanti|NULL|NULL|NULL|461.19241192411926
eingoughtcallycallyanti|scholarnameless #9|NULL|NULL|461.19241192411926
eingoughtcallycallyanti|scholarnameless #9|fitness|NULL|461.19241192411926
eingoughtcallycallyanti|scholarnameless #9|fitness|Sports|461.19241192411926
callyablen steseable|NULL|NULL|NULL|461.35636856368563
callyablen steseable|importoscholar #1|NULL|NULL|461.35636856368563
callyablen steseable|importoscholar #1|country|NULL|461.35636856368563
callyablen steseable|importoscholar #1|country|Music|461.35636856368563
pripriantieseeing|NULL|NULL|NULL|461.37651821862346
pripriantieseeing|edu packbrand #6|NULL|NULL|461.37651821862346
pripriantieseeing|edu packbrand #6|estate|NULL|461.37651821862346
pripriantieseeing|edu packbrand #6|estate|Jewelry|461.37651821862346
barationableableantiought|NULL|NULL|NULL|461.514131897712
barationableableantiought|exportiamalg #1|NULL|NULL|461.514131897712
barationableableantiought|exportiamalg #1|maternity|NULL|461.514131897712
barationableableantiought|exportiamalg #1|maternity|Women|461.514131897712
callyantipripripri|NULL|NULL|NULL|461.7991858887381
callyantipripripri|amalgimporto #1|NULL|NULL|461.7991858887381
callyantipripripri|amalgimporto #1|accessories|NULL|461.7991858887381
callyantipripripri|amalgimporto #1|accessories|Men|461.7991858887381
n stanticallyoughtought|NULL|NULL|NULL|461.8075370121131
n stanticallyoughtought|maxiunivamalg #15|NULL|NULL|461.8075370121131
n stanticallyoughtought|maxiunivamalg #15|televisions|NULL|461.8075370121131
n stanticallyoughtought|maxiunivamalg #15|televisions|Electronics|461.8075370121131
pricallycallyeingcally|NULL|NULL|NULL|461.90040927694406
pricallycallyeingcally|amalgimporto #2|NULL|NULL|461.90040927694406
pricallycallyeingcally|amalgimporto #2|accessories|NULL|461.90040927694406
pricallycallyeingcally|amalgimporto #2|accessories|Men|461.90040927694406
callyableeingought|NULL|NULL|NULL|462.6864064602961
callyableeingought|corpcorp #3|NULL|NULL|462.6864064602961
callyableeingought|corpcorp #3|rings|NULL|462.6864064602961
callyableeingought|corpcorp #3|rings|Jewelry|462.6864064602961
eingprieseablen st|NULL|NULL|NULL|462.70794078061914
eingprieseablen st|maxiunivamalg #10|NULL|NULL|462.70794078061914
eingprieseablen st|maxiunivamalg #10|televisions|NULL|462.70794078061914
eingprieseablen st|maxiunivamalg #10|televisions|Electronics|462.70794078061914
oughtn stcallyantieing|NULL|NULL|NULL|462.92739726027395
oughtn stcallyantieing|importonameless #2|NULL|NULL|462.92739726027395
oughtn stcallyantieing|importonameless #2|paint|NULL|462.92739726027395
oughtn stcallyantieing|importonameless #2|paint|Home|462.92739726027395
oughtablebarbarn stought|NULL|NULL|NULL|463.05962059620595
oughtablebarbarn stought|exportischolar #2|NULL|NULL|463.05962059620595
oughtablebarbarn stought|exportischolar #2|pop|NULL|463.05962059620595
oughtablebarbarn stought|exportischolar #2|pop|Music|463.05962059620595
prieingationablebarable|NULL|NULL|NULL|463.0945945945946
prieingationablebarable|importoexporti #2|NULL|NULL|463.0945945945946
prieingationablebarable|importoexporti #2|infants|NULL|463.0945945945946
prieingationablebarable|importoexporti #2|infants|Children|463.0945945945946
n stationeseesecallyought|NULL|NULL|NULL|463.18353576248313
n stationeseesecallyought|corpnameless #10|NULL|NULL|463.18353576248313
n stationeseesecallyought|corpnameless #10|furniture|NULL|463.18353576248313
n stationeseesecallyought|corpnameless #10|furniture|Home|463.18353576248313
eingableantieingcally|NULL|NULL|NULL|463.24054054054056
eingableantieingcally|importoimporto #1|NULL|NULL|463.24054054054056
eingableantieingcally|importoimporto #1|shirts|NULL|463.24054054054056
eingableantieingcally|importoimporto #1|shirts|Men|463.24054054054056
ationantieseeinganti|NULL|NULL|NULL|463.45417789757414
ationantieseeinganti|exportimaxi #8|NULL|NULL|463.45417789757414
ationantieseeinganti|exportimaxi #8|sailing|NULL|463.45417789757414
ationantieseeinganti|exportimaxi #8|sailing|Sports|463.45417789757414
