nation|o_year|sum_profit
IRAN|1992|43052338.4143
IRAQ|1998|31188498.1914
IRAQ|1997|48585307.5222
IRAQ|1996|50036593.8404
IRAQ|1995|48774801.7275
IRAQ|1994|48795847.2310
IRAQ|1993|47435691.5082
IRAQ|1992|47562355.6571
JAPAN|1998|24694102.1720
JAPAN|1997|42377052.3454
JAPAN|1996|40267778.9094
JAPAN|1995|40925317.4650
JAPAN|1994|41159518.3058
JAPAN|1993|39589074.2771
JAPAN|1992|39113493.9052
JORDAN|1998|23489867.7893
JORDAN|1997|41615962.6619
JORDAN|1996|41860855.4684
JORDAN|1995|39931672.0908
JORDAN|1994|40707555.4638
JORDAN|1993|39060405.4658
JORDAN|1992|41657604.2684
KENYA|1998|25566337.4303
KENYA|1997|43108847.9024
KENYA|1996|43482953.5430
KENYA|1995|42517988.9814
KENYA|1994|43612479.4523
KENYA|1993|42724038.7571
KENYA|1992|43217106.2068
MOROCCO|1998|24915496.8756
MOROCCO|1997|42698382.8550
MOROCCO|1996|42986113.5049
MOROCCO|1995|42316089.1593
MOROCCO|1994|43458604.6029
MOROCCO|1993|42672288.0699
MOROCCO|1992|42800781.6415
MOZAMBIQUE|1998|28279876.0301
MOZAMBIQUE|1997|51159216.2298
MOZAMBIQUE|1996|48072525.0645
MOZAMBIQUE|1995|48905200.6007
MOZAMBIQUE|1994|46092076.2805
MOZAMBIQUE|1993|48555926.2669
MOZAMBIQUE|1992|47809075.1192
PERU|1998|26713966.2678
PERU|1997|48324008.6011
PERU|1996|50310008.8629
PERU|1995|49647080.9629
PERU|1994|46420910.2773
PERU|1993|51536906.2487
PERU|1992|47711665.3137
ROMANIA|1998|27271993.1010
ROMANIA|1997|45063059.1953
ROMANIA|1996|47492335.0323
ROMANIA|1995|45710636.2909
ROMANIA|1994|46088041.1066
ROMANIA|1993|47515092.5613
ROMANIA|1992|44111439.8044
RUSSIA|1998|27935323.7271
RUSSIA|1997|48222347.2924
RUSSIA|1996|47553559.4932
RUSSIA|1995|46755990.0976
RUSSIA|1994|48000515.6191
RUSSIA|1993|48569624.5082
RUSSIA|1992|47672831.5329
SAUDI ARABIA|1998|27113516.8424
SAUDI ARABIA|1997|46690468.9649
SAUDI ARABIA|1996|47775782.6670
SAUDI ARABIA|1995|46657107.8287
SAUDI ARABIA|1994|48181672.8100
SAUDI ARABIA|1993|45692556.4438
SAUDI ARABIA|1992|48924913.2717
UNITED KINGDOM|1998|26366682.8786
UNITED KINGDOM|1997|44518130.1851
UNITED KINGDOM|1996|45539729.6166
UNITED KINGDOM|1995|46845879.3390
UNITED KINGDOM|1994|43081609.5737
UNITED KINGDOM|1993|44770146.7555
UNITED KINGDOM|1992|44123402.5484
UNITED STATES|1998|27826593.6825
UNITED STATES|1997|46638572.3648
UNITED STATES|1996|46688280.5474
UNITED STATES|1995|48951591.6156
UNITED STATES|1994|45099092.0598
UNITED STATES|1993|46181600.5278
UNITED STATES|1992|46168214.0901
VIETNAM|1998|27281931.0011
VIETNAM|1997|48735914.1796
VIETNAM|1996|47824595.9040
VIETNAM|1995|48235135.8016
VIETNAM|1994|47729256.3324
VIETNAM|1993|45352676.8672
VIETNAM|1992|47846355.6485
