i_category|i_brand|cc_name|d_year|d_moy|avg_monthly_sales|sum_sales|psum|nsum
Music|"exportischolar #1"|California|1999|6|9949.073333333334|4648.94|5223.70|6942.28
Men|"edu packimporto #1"|NY Metro|1999|5|10963.441666666668|5674.47|6040.54|6033.12
Children|"amalgexporti #1"|NY Metro|1999|2|9321.149166666666|4041.42|5226.19|4200.69
Men|"importoimporto #1"|Pacific Northwest|1999|1|10108.415|4860.36|19747.13|5929.08
Women|"importoamalg #1"|California|1999|4|10037.590833333334|4790.46|6034.95|5486.97
Shoes|"amalgedu pack #1"|North Midwest|1999|2|10044.184166666666|4802.68|5432.62|7066.98
Music|"edu packscholar #1"|North Midwest|1999|6|11673.295833333334|6443.14|8164.09|7532.86
Children|"exportiexporti #1"|Hawaii/Alaska|1999|2|10156.098333333333|4930.20|6828.91|5526.65
Women|"amalgamalg #1"|NY Metro|1999|3|10974.2825|5750.85|6193.77|6191.72
Children|"edu packexporti #1"|Pacific Northwest|1999|3|8767.408333333333|3544.73|4351.29|5291.78
Children|"amalgexporti #1"|North Midwest|1999|2|8802.8675|3585.67|5301.29|4090.66
Music|"importoscholar #1"|NY Metro|1999|2|9462.876666666667|4245.74|4875.50|5159.80
Children|"amalgexporti #1"|California|1999|4|9295.8375|4081.97|4627.66|5944.75
Women|"amalgamalg #1"|Hawaii/Alaska|1999|5|10693.518333333333|5480.48|6150.65|5740.88
Shoes|"importoedu pack #1"|North Midwest|1999|2|9979.879166666668|4768.03|7442.24|4961.74
Men|"edu packimporto #1"|California|1999|6|10849.618333333334|5644.09|7672.73|6013.28
Music|"importoscholar #1"|California|1999|2|9546.431666666667|4348.49|5513.60|5906.05
Men|"edu packimporto #1"|Mid Atlantic|1999|5|10583.645833333334|5391.66|6454.95|5175.45
Men|"importoimporto #1"|North Midwest|1999|6|10163.140833333333|4973.43|6237.72|5401.80
Music|"edu packscholar #1"|Mid Atlantic|1999|3|11270.494166666667|6087.52|6536.38|6563.55
Music|"amalgscholar #1"|Mid Atlantic|1999|4|9356.795833333334|4176.34|4503.84|4940.38
Children|"importoexporti #1"|North Midwest|1999|5|10394.0725|5215.31|5934.70|5531.27
Shoes|"exportiedu pack #1"|Pacific Northwest|1999|2|11193.6|6015.11|5158.24|7882.60
Music|"edu packscholar #1"|Pacific Northwest|1999|2|11379.521666666667|6207.60|5506.19|5132.05
Shoes|"importoedu pack #1"|NY Metro|1999|1|10377.325|5220.25|21510.33|8217.61
