ss_sold_year|ss_item_sk|ss_customer_sk|ratio|store_qty|store_wholesale_cost|store_sales_price|other_chan_qty|other_chan_wholesale_cost|other_chan_sales_price
2000|1963|82314|9.44|85|7.08|6.03|9|6.56|9.54
2000|1991|14411|2.66|85|54.20|56.43|32|39.61|18.66
2000|2005|165319|3.63|29|5.60|5.43|8|34.80|26.16
2000|2153|129842|1.0|88|57.73|42.48|88|43.11|33.51
2000|2204|52363|0.7|37|22.03|41.23|53|94.96|12.72
2000|2204|128204|0.93|25|36.12|62.75|27|77.05|123.12
2000|2333|84174|1.29|58|16.02|12.80|45|56.97|88.96
2000|2365|49152|3.42|65|49.88|69.57|19|52.95|112.52
2000|2504|95032|0.82|72|40.45|56.48|88|14.80|33.43
2000|2527|185696|1.08|56|36.73|10.11|52|87.18|89.35
2000|2573|137253|8.22|74|40.36|32.66|9|36.63|48.28
2000|2645|141562|0.07|7|2.08|2.27|99|72.29|114.75
2000|2761|76310|0.22|10|47.47|35.23|45|39.75|74.03
2000|2833|62249|0.89|64|85.08|24.06|72|79.31|107.85
2000|2839|86028|0.73|44|54.64|51.97|60|34.32|9.94
2000|2873|137701|1.88|64|33.93|33.62|34|5.57|1.08
2000|2983|113700|0.15|10|13.14|1.35|65|54.58|37.20
2000|2984|30695|0.9|37|43.60|37.23|41|16.00|12.09
2000|2999|171260|0.32|22|58.49|32.63|69|57.23|166.53
2000|3002|1331|2.15|99|73.61|36.06|46|84.29|113.64
2000|3014|69003|9.7|97|NULL|NULL|10|40.13|72.51
2000|3025|127058|56.0|56|66.00|31.57|1|29.44|22.08
2000|3089|129526|1.34|51|75.52|127.02|38|60.96|31.59
2000|3266|185177|0.76|71|53.40|7.54|94|10.84|11.58
2000|3293|62715|8.44|76|41.11|65.77|9|31.22|56.54
2000|3386|53013|0.36|32|13.68|5.01|89|72.12|73.30
2000|3410|83797|2.97|95|97.59|113.74|32|22.83|34.51
2000|3485|61015|2.5|25|21.25|22.37|10|28.13|11.70
2000|3566|16547|0.09|2|17.08|14.89|22|56.33|22.11
2000|3767|75749|2.07|91|37.55|47.14|44|97.27|24.83
2000|3775|13505|0.3|22|25.46|29.00|73|55.55|133.27
2000|4003|94084|1.04|54|28.60|3.52|52|12.24|14.44
2000|4087|179291|3.33|70|63.17|35.88|21|53.51|4.88
2000|4159|28214|1.86|82|35.89|38.02|44|79.68|100.47
2000|4285|107890|2.94|47|45.73|54.91|16|45.22|37.03
2000|4381|43560|1.03|61|28.69|25.48|59|43.35|33.31
2000|4477|98319|1.13|95|5.79|0.22|84|89.18|52.93
2000|4484|162848|0.03|2|62.72|113.52|63|72.66|52.37
2000|4495|84907|4.53|68|90.88|66.35|15|65.55|139.80
2000|4580|46013|0.86|65|57.27|89.35|76|81.22|178.49
2000|4604|101238|1.16|65|65.77|97.01|56|18.56|1.01
2000|4703|26435|0.04|3|56.00|18.03|67|63.39|100.21
2000|4934|184285|2.97|98|75.43|28.51|33|69.14|20.13
2000|4967|28197|1.51|62|28.76|40.37|41|44.48|7.73
2000|4987|109836|1.0|2|50.22|31.93|2|10.97|21.94
2000|4993|185285|0.5|44|37.03|29.90|88|67.60|58.40
2000|5009|169492|1.2|24|40.57|35.63|20|14.46|9.89
2000|5096|96326|0.66|61|51.27|8.95|93|22.79|45.93
2000|5108|15433|0.54|52|30.28|27.04|96|92.10|41.26
2000|5141|168513|0.83|38|33.28|53.26|46|25.08|13.88
2000|5186|91314|NULL|NULL|5.41|NULL|42|82.01|204.52
2000|5323|100355|1.28|95|99.18|49.31|74|94.98|30.24
2000|5491|185165|0.63|41|95.80|26.89|65|32.47|68.38
2000|5561|80266|0.2|16|39.50|12.82|80|28.15|19.94
2000|5569|54711|1.13|34|85.14|77.00|30|60.84|92.68
2000|5623|108797|3.72|67|93.25|75.15|18|79.65|96.05
2000|5635|45282|6.19|99|63.11|21.88|16|18.99|29.32
2000|5743|140019|0.86|60|6.57|10.05|70|62.96|28.25
2000|5785|121464|1.38|40|43.07|37.71|29|11.14|8.23
2000|5983|2|0.24|22|59.13|45.07|92|78.59|95.56
2000|6241|34844|1.92|75|48.98|53.61|39|17.32|16.38
2000|6395|138799|1.71|94|96.18|127.37|55|64.21|103.91
2000|6413|117585|1.05|69|52.33|27.94|66|83.12|150.86
2000|6491|76405|0.68|58|94.67|83.96|85|35.57|0.51
2000|6563|65833|2.63|100|76.62|29.08|38|40.01|37.74
2000|6637|97620|3.0|30|63.50|63.34|10|75.57|4.66
2000|6941|150042|10.11|91|95.75|103.29|9|37.62|70.78
2000|6974|65339|0.67|18|31.06|2.47|27|64.75|54.68
