ca_state|cd_gender|cd_marital_status|cd_dep_count|cnt1|min1|max1|avg1|cd_dep_employed_count|cnt2|min2|max2|avg2|cd_dep_college_count|cnt3|min(cd_dep_college_count)|max(cd_dep_college_count)|avg(cd_dep_college_count)
NULL|F|D|4|1|4|4|4.0|1|1|1|1|1.0|6|1|6|6|6.0
NULL|F|D|4|1|4|4|4.0|2|1|2|2|2.0|6|1|6|6|6.0
NULL|F|D|4|1|4|4|4.0|3|1|3|3|3.0|0|1|0|0|0.0
NULL|F|D|4|1|4|4|4.0|3|1|3|3|3.0|2|1|2|2|2.0
NULL|F|D|4|1|4|4|4.0|3|1|3|3|3.0|3|1|3|3|3.0
NULL|F|D|4|1|4|4|4.0|4|1|4|4|4.0|0|1|0|0|0.0
NULL|F|D|4|1|4|4|4.0|4|1|4|4|4.0|3|1|3|3|3.0
NULL|F|D|4|1|4|4|4.0|5|1|5|5|5.0|2|1|2|2|2.0
NULL|F|D|4|1|4|4|4.0|6|1|6|6|6.0|3|1|3|3|3.0
NULL|F|D|4|2|4|4|4.0|6|2|6|6|6.0|6|2|6|6|6.0
NULL|F|D|5|1|5|5|5.0|0|1|0|0|0.0|2|1|2|2|2.0
NULL|F|D|5|1|5|5|5.0|1|1|1|1|1.0|5|1|5|5|5.0
NULL|F|D|5|1|5|5|5.0|2|1|2|2|2.0|4|1|4|4|4.0
NULL|F|D|5|1|5|5|5.0|4|1|4|4|4.0|3|1|3|3|3.0
NULL|F|D|5|1|5|5|5.0|4|1|4|4|4.0|4|1|4|4|4.0
NULL|F|D|5|1|5|5|5.0|5|1|5|5|5.0|2|1|2|2|2.0
NULL|F|D|5|1|5|5|5.0|5|1|5|5|5.0|6|1|6|6|6.0
NULL|F|D|5|1|5|5|5.0|6|1|6|6|6.0|1|1|1|1|1.0
NULL|F|D|5|1|5|5|5.0|6|1|6|6|6.0|2|1|2|2|2.0
NULL|F|D|5|1|5|5|5.0|6|1|6|6|6.0|4|1|4|4|4.0
NULL|F|D|6|1|6|6|6.0|3|1|3|3|3.0|4|1|4|4|4.0
NULL|F|D|6|1|6|6|6.0|6|1|6|6|6.0|6|1|6|6|6.0
NULL|F|M|0|1|0|0|0.0|0|1|0|0|0.0|2|1|2|2|2.0
NULL|F|M|0|1|0|0|0.0|1|1|1|1|1.0|2|1|2|2|2.0
NULL|F|M|0|2|0|0|0.0|1|2|1|1|1.0|3|2|3|3|3.0
NULL|F|M|0|1|0|0|0.0|2|1|2|2|2.0|2|1|2|2|2.0
NULL|F|M|0|1|0|0|0.0|4|1|4|4|4.0|3|1|3|3|3.0
NULL|F|M|0|1|0|0|0.0|4|1|4|4|4.0|4|1|4|4|4.0
NULL|F|M|0|1|0|0|0.0|6|1|6|6|6.0|1|1|1|1|1.0
NULL|F|M|0|1|0|0|0.0|6|1|6|6|6.0|5|1|5|5|5.0
NULL|F|M|0|1|0|0|0.0|6|1|6|6|6.0|6|1|6|6|6.0
NULL|F|M|1|1|1|1|1.0|1|1|1|1|1.0|2|1|2|2|2.0
NULL|F|M|1|1|1|1|1.0|1|1|1|1|1.0|4|1|4|4|4.0
NULL|F|M|1|1|1|1|1.0|2|1|2|2|2.0|6|1|6|6|6.0
NULL|F|M|1|1|1|1|1.0|4|1|4|4|4.0|2|1|2|2|2.0
NULL|F|M|1|1|1|1|1.0|5|1|5|5|5.0|4|1|4|4|4.0
NULL|F|M|1|1|1|1|1.0|6|1|6|6|6.0|0|1|0|0|0.0
NULL|F|M|1|1|1|1|1.0|6|1|6|6|6.0|1|1|1|1|1.0
NULL|F|M|2|1|2|2|2.0|0|1|0|0|0.0|1|1|1|1|1.0
NULL|F|M|2|1|2|2|2.0|0|1|0|0|0.0|3|1|3|3|3.0
NULL|F|M|2|1|2|2|2.0|0|1|0|0|0.0|4|1|4|4|4.0
NULL|F|M|2|1|2|2|2.0|1|1|1|1|1.0|0|1|0|0|0.0
NULL|F|M|2|1|2|2|2.0|1|1|1|1|1.0|3|1|3|3|3.0
NULL|F|M|2|1|2|2|2.0|2|1|2|2|2.0|1|1|1|1|1.0
NULL|F|M|2|1|2|2|2.0|3|1|3|3|3.0|0|1|0|0|0.0
NULL|F|M|2|1|2|2|2.0|3|1|3|3|3.0|5|1|5|5|5.0
NULL|F|M|2|1|2|2|2.0|4|1|4|4|4.0|0|1|0|0|0.0
NULL|F|M|2|1|2|2|2.0|4|1|4|4|4.0|3|1|3|3|3.0
NULL|F|M|2|1|2|2|2.0|5|1|5|5|5.0|5|1|5|5|5.0
NULL|F|M|2|1|2|2|2.0|6|1|6|6|6.0|4|1|4|4|4.0
NULL|F|M|2|1|2|2|2.0|6|1|6|6|6.0|5|1|5|5|5.0
NULL|F|M|3|1|3|3|3.0|0|1|0|0|0.0|4|1|4|4|4.0
NULL|F|M|3|1|3|3|3.0|1|1|1|1|1.0|1|1|1|1|1.0
NULL|F|M|3|1|3|3|3.0|2|1|2|2|2.0|2|1|2|2|2.0
NULL|F|M|3|1|3|3|3.0|2|1|2|2|2.0|4|1|4|4|4.0
NULL|F|M|3|1|3|3|3.0|3|1|3|3|3.0|1|1|1|1|1.0
NULL|F|M|3|1|3|3|3.0|5|1|5|5|5.0|3|1|3|3|3.0
NULL|F|M|4|2|4|4|4.0|0|2|0|0|0.0|0|2|0|0|0.0
NULL|F|M|4|1|4|4|4.0|0|1|0|0|0.0|3|1|3|3|3.0
NULL|F|M|4|1|4|4|4.0|1|1|1|1|1.0|0|1|0|0|0.0
NULL|F|M|4|1|4|4|4.0|1|1|1|1|1.0|2|1|2|2|2.0
NULL|F|M|4|2|4|4|4.0|1|2|1|1|1.0|5|2|5|5|5.0
NULL|F|M|4|1|4|4|4.0|2|1|2|2|2.0|1|1|1|1|1.0
NULL|F|M|4|1|4|4|4.0|3|1|3|3|3.0|2|1|2|2|2.0
NULL|F|M|4|1|4|4|4.0|4|1|4|4|4.0|0|1|0|0|0.0
NULL|F|M|4|1|4|4|4.0|4|1|4|4|4.0|2|1|2|2|2.0
NULL|F|M|4|1|4|4|4.0|4|1|4|4|4.0|6|1|6|6|6.0
NULL|F|M|4|2|4|4|4.0|5|2|5|5|5.0|3|2|3|3|3.0
NULL|F|M|4|1|4|4|4.0|6|1|6|6|6.0|2|1|2|2|2.0
NULL|F|M|4|1|4|4|4.0|6|1|6|6|6.0|6|1|6|6|6.0
NULL|F|M|5|1|5|5|5.0|0|1|0|0|0.0|0|1|0|0|0.0
NULL|F|M|5|1|5|5|5.0|0|1|0|0|0.0|2|1|2|2|2.0
NULL|F|M|5|1|5|5|5.0|2|1|2|2|2.0|2|1|2|2|2.0
NULL|F|M|5|1|5|5|5.0|2|1|2|2|2.0|5|1|5|5|5.0
NULL|F|M|5|1|5|5|5.0|3|1|3|3|3.0|6|1|6|6|6.0
