Contient la liste des mutations vers de la forêt entre les millésimes 2010 et 2021 pour le territoire choisi.
n_admin,id_admin,ocs_cod_10,ocs_cod_21,ocs_ha_chg
commune,10139,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.28099
commune,10142,5 - Surfaces en eau,31 - Forêts,0.05711
commune,10144,5 - Surfaces en eau,31 - Forêts,0.04780
commune,10148,1 - Emprises urbaines,31 - Forêts,0.15496
commune,10176,5 - Surfaces en eau,31 - Forêts,0.54190
commune,10176,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.10125
commune,10184,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.08258
commune,10192,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.06806
commune,10203,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.07832
commune,10214,5 - Surfaces en eau,31 - Forêts,0.06975
commune,10233,5 - Surfaces en eau,31 - Forêts,0.13639
commune,10250,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.03964
commune,10282,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.15136
commune,10284,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,2.06993
commune,10286,5 - Surfaces en eau,31 - Forêts,0.02462
commune,10287,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.06241
commune,10298,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.15780
commune,10314,5 - Surfaces en eau,31 - Forêts,0.05327
commune,10286,1 - Emprises urbaines,31 - Forêts,0.15153
commune,10320,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.08118
commune,10323,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.50152
commune,10326,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.17062
commune,10327,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,2.91247
commune,10331,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.63168
commune,10323,1 - Emprises urbaines,31 - Forêts,0.44807
commune,10349,5 - Surfaces en eau,31 - Forêts,0.03584
commune,10367,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.26925
commune,10397,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.07614
commune,10426,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.03140
commune,51001,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.06770
commune,51008,5 - Surfaces en eau,31 - Forêts,0.05839
commune,51009,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.10279
commune,51016,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.44793
commune,51018,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.03861
commune,51023,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.00306
commune,51030,5 - Surfaces en eau,31 - Forêts,0.43494
commune,51059,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.29688
commune,51028,1 - Emprises urbaines,31 - Forêts,0.12680
commune,51065,5 - Surfaces en eau,31 - Forêts,0.37411
commune,51065,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.00620
commune,51072,5 - Surfaces en eau,31 - Forêts,0.38270
commune,51085,5 - Surfaces en eau,31 - Forêts,0.05816
commune,51133,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.21393
commune,51144,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.24245
commune,51158,5 - Surfaces en eau,31 - Forêts,0.00925
commune,51162,5 - Surfaces en eau,31 - Forêts,0.15601
commune,51162,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.19882
commune,51163,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.11499
commune,51174,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.14612
commune,51183,5 - Surfaces en eau,31 - Forêts,0.08975
commune,51218,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,2.82665
commune,10329,1 - Emprises urbaines,31 - Forêts,0.26853
commune,51262,5 - Surfaces en eau,31 - Forêts,0.81609
commune,51262,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.47687
commune,51269,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.37012
commune,51275,5 - Surfaces en eau,31 - Forêts,0.00135
commune,51275,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.20817
commune,51277,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.24533
commune,51286,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.55398
commune,51300,5 - Surfaces en eau,31 - Forêts,0.45837
commune,51300,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",1.38088
commune,51308,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.25318
commune,51316,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.11459
commune,51326,5 - Surfaces en eau,31 - Forêts,0.24196
commune,51334,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.07777
commune,51339,5 - Surfaces en eau,31 - Forêts,0.57164
commune,51339,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.87115
commune,51339,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.35347
commune,51356,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,2.04872
commune,51357,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.04070
commune,51373,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.35494
commune,10331,1 - Emprises urbaines,31 - Forêts,0.11249
commune,51061,1 - Emprises urbaines,31 - Forêts,0.23424
commune,51433,5 - Surfaces en eau,31 - Forêts,0.15689
commune,51433,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.42244
commune,51440,5 - Surfaces en eau,31 - Forêts,0.05576
commune,51445,5 - Surfaces en eau,31 - Forêts,0.21182
commune,51446,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.05269
commune,51457,5 - Surfaces en eau,31 - Forêts,0.14369
commune,51479,5 - Surfaces en eau,31 - Forêts,0.09092
commune,51482,5 - Surfaces en eau,31 - Forêts,0.12724
commune,51500,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.11797
commune,51457,1 - Emprises urbaines,31 - Forêts,0.04639
commune,51507,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.10966
commune,51522,5 - Surfaces en eau,31 - Forêts,0.00472
commune,51522,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.06790
commune,51536,5 - Surfaces en eau,31 - Forêts,0.03635
commune,51537,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.18263
commune,51538,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.37954
commune,51552,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.20009
commune,51557,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.98679
commune,51557,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.14195
commune,51574,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.17327
commune,51616,5 - Surfaces en eau,31 - Forêts,0.08170
commune,51616,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.34381
commune,51616,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.28526
commune,51632,5 - Surfaces en eau,31 - Forêts,0.23242
commune,51632,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.16051
commune,51647,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.27883
commune,51649,5 - Surfaces en eau,31 - Forêts,0.13358
commune,51244,1 - Emprises urbaines,31 - Forêts,0.04538
commune,52019,5 - Surfaces en eau,31 - Forêts,0.05476
commune,52088,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.43293
commune,52094,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.12442
commune,52061,1 - Emprises urbaines,31 - Forêts,0.33521
commune,52105,5 - Surfaces en eau,31 - Forêts,0.30549
commune,52105,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.58642
commune,52115,5 - Surfaces en eau,31 - Forêts,0.12789
commune,52115,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.06707
commune,52182,5 - Surfaces en eau,31 - Forêts,0.13102
commune,52182,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.57592
commune,52155,1 - Emprises urbaines,31 - Forêts,0.00882
commune,52206,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.05289
commune,52213,5 - Surfaces en eau,31 - Forêts,0.09311
commune,52244,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.26344
commune,52274,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.08525
commune,52280,5 - Surfaces en eau,31 - Forêts,0.63029
commune,52280,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.82231
commune,52280,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",4.08599
commune,52292,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.08746
commune,52315,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.05841
commune,52331,5 - Surfaces en eau,31 - Forêts,0.00131
commune,52356,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.08875
commune,52363,5 - Surfaces en eau,31 - Forêts,0.16927
commune,52363,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",1.00967
commune,52380,5 - Surfaces en eau,31 - Forêts,0.34899
commune,52380,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",6.47217
commune,52386,5 - Surfaces en eau,31 - Forêts,0.00019
commune,52386,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.44500
commune,52411,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.13734
commune,08003,1 - Emprises urbaines,32 - Formations naturelles herbacées ou arbustives,0.82427
commune,52448,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,1.32810
commune,52465,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.03745
commune,52529,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.33133
commune,52543,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.07715
commune,52550,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.35738
commune,54013,5 - Surfaces en eau,31 - Forêts,0.02234
commune,54027,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.16644
commune,54042,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.24814
commune,54042,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",4.61165
commune,54054,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",1.88605
commune,08004,1 - Emprises urbaines,31 - Forêts,0.09060
commune,54079,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.64498
commune,54099,5 - Surfaces en eau,31 - Forêts,0.02734
commune,54099,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.35024
commune,54115,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.17756
commune,54118,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.11825
commune,54138,5 - Surfaces en eau,31 - Forêts,0.12743
commune,54138,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.26621
commune,54144,5 - Surfaces en eau,31 - Forêts,0.04593
commune,54144,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.11381
commune,54157,5 - Surfaces en eau,31 - Forêts,0.01190
commune,54157,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.37195
commune,54177,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.40345
commune,54196,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.10246
commune,54196,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.19614
commune,54206,5 - Surfaces en eau,31 - Forêts,0.02977
commune,54206,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.01260
commune,54206,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.00516
commune,54232,5 - Surfaces en eau,31 - Forêts,0.03602
commune,54232,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.05224
commune,54232,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",1.02729
commune,51248,1 - Emprises urbaines,31 - Forêts,0.03979
commune,54238,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.81550
commune,54250,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.02980
commune,54300,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.64915
commune,54303,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.03166
commune,54320,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.41111
commune,54324,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.09083
commune,54329,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.08730
commune,54344,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.22751
commune,54344,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",3.04212
commune,54364,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.53706
commune,54366,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.06300
commune,54373,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.01970
commune,54373,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.11683
commune,54393,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.03089
commune,52114,1 - Emprises urbaines,31 - Forêts,1.09161
commune,54426,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.43271
commune,54432,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.09258
commune,54449,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.12876
commune,54472,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.16757
commune,54479,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.00101
commune,54527,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.85681
commune,54527,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",1.87014
commune,54528,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.08393
commune,54546,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,5.60162
commune,54550,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.28746
commune,54559,5 - Surfaces en eau,31 - Forêts,0.00620
commune,54559,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.54673
commune,54585,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.07735
commune,54585,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",3.78989
commune,55027,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.42603
commune,55058,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.13965
commune,55058,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.10403
commune,55097,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.21023
commune,55099,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.35899
commune,55100,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.18739
commune,55102,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.83343
commune,55106,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.14906
commune,55125,5 - Surfaces en eau,31 - Forêts,0.11656
commune,55139,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.02193
commune,08016,1 - Emprises urbaines,32 - Formations naturelles herbacées ou arbustives,0.14180
commune,55145,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.08618
commune,55159,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.12053
commune,55166,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.37867
commune,55186,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.09215
commune,55229,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.28354
commune,08024,1 - Emprises urbaines,31 - Forêts,0.19802
commune,55236,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.14018
commune,55268,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.05682
commune,55288,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.00910
commune,55312,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.12354
commune,55321,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.04353
commune,55347,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.21605
commune,52321,1 - Emprises urbaines,31 - Forêts,0.34130
commune,55396,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.35161
commune,55414,5 - Surfaces en eau,31 - Forêts,0.99702
commune,55414,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.18156
commune,55415,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.18063
commune,55388,1 - Emprises urbaines,31 - Forêts,0.06163
commune,55427,5 - Surfaces en eau,31 - Forêts,1.57493
commune,55427,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.57217
commune,55427,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",2.63371
commune,55458,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.02136
commune,55469,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.12267
commune,55502,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.14939
commune,55523,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.37110
commune,55533,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.07536
commune,55582,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.00706
commune,55584,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.15496
commune,57028,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,1.09906
commune,57126,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.03205
commune,57155,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.01877
commune,57193,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.22976
commune,54186,1 - Emprises urbaines,31 - Forêts,0.02955
commune,57303,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,2.58552
commune,57325,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.05666
commune,57333,5 - Surfaces en eau,31 - Forêts,0.06632
commune,57474,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.09232
commune,57483,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.32097
commune,55302,1 - Emprises urbaines,31 - Forêts,0.38663
commune,57535,5 - Surfaces en eau,31 - Forêts,0.05667
commune,57571,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.17050
commune,67046,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.42688
commune,67073,5 - Surfaces en eau,31 - Forêts,0.55363
commune,67108,5 - Surfaces en eau,31 - Forêts,0.02798
commune,67151,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,1.03184
commune,67118,1 - Emprises urbaines,31 - Forêts,0.48548
commune,67180,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.02255
commune,67235,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.02138
commune,67355,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.10302
commune,67315,1 - Emprises urbaines,31 - Forêts,0.75140
commune,67462,5 - Surfaces en eau,31 - Forêts,0.32871
commune,67505,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.01112
commune,68005,5 - Surfaces en eau,31 - Forêts,0.07619
