player_id,player_url,fifa_version,fifa_update,fifa_update_date,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,league_id,league_name,league_level,club_team_id,club_name,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url

192119,/player/192119/thibaut-courtois/230009,23,9,2023-01-13,T. Courtois,Thibaut Nicolas Marc Courtois,GK,90,91,90000000,250000,30,1992-05-11,199,96,53,La Liga,1,243,Real Madrid,GK,1,,2018-08-09,2026,7,Belgium,1325,GK,1,Left,3,1,4,Medium/Medium,Unique,Yes,191300000,,"GK Long Throw, Comes For Crosses",,,,,,,14,14,13,33,12,13,19,20,35,23,42,52,63,84,45,56,68,38,70,17,23,15,13,44,27,66,20,18,16,84,89,75,89,90,46,31+3,31+3,31+3,29,31,31,31,29,32+3,32+3,32+3,31+3,32+3,32+3,32+3,31+3,29+3,31+3,31+3,31+3,29+3,29+3,29+3,29+3,29+3,29+3,87+3,https://cdn.sofifa.net/players/192/119/23_120.png

209331,/player/209331/mohamed-salah/230009,23,9,2023-01-13,M. Salah,Mohamed Salah Ghaly,RW,90,90,115500000,270000,30,1992-06-15,175,71,13,Premier League,1,9,Liverpool,RW,11,,2017-07-01,2023,111,Egypt,,,,Left,3,4,4,High/Medium,Unique,Yes,213700000,"#Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward","Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Chip Shot (AI)",90,89,82,90,45,75,80,93,59,84,84,90,84,69,77,88,89,90,90,93,91,83,69,87,75,85,63,55,92,85,86,92,38,43,41,14,14,9,11,14,,86+3,86+3,86+3,88,88,88,88,88,88+2,88+2,88+2,87+3,82+3,82+3,82+3,87+3,71+3,68+3,68+3,68+3,71+3,67+3,58+3,58+3,58+3,67+3,22+3,https://cdn.sofifa.net/players/209/331/23_120.png

167495,/player/167495/manuel-neuer/230009,23,9,2023-01-13,M. Neuer,Manuel Peter Neuer,GK,89,89,11500000,69000,36,1986-03-27,193,93,19,Bundesliga,1,21,FC Bayern München,SUB,1,,2011-07-01,2024,21,Germany,1337,GK,1,Right,4,1,5,Medium/Medium,Unique,Yes,19000000,,"Leadership, GK Long Throw, Rushes Out Of Goal, Comes For Crosses",,,,,,,15,13,25,60,11,30,14,11,68,46,48,50,51,85,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,87,88,90,88,87,49,39+3,39+3,39+3,39,42,42,42,39,47+3,47+3,47+3,43+3,50+3,50+3,50+3,43+3,36+3,43+3,43+3,43+3,36+3,34+3,34+3,34+3,34+3,34+3,87+2,https://cdn.sofifa.net/players/167/495/23_120.png

190871,/player/190871/neymar-da-silva-santos-jr/230009,23,9,2023-01-13,Neymar Jr,Neymar da Silva Santos Júnior,LW,89,89,99500000,200000,30,1992-02-05,175,68,16,Ligue 1,1,73,Paris Saint Germain,CAM,10,,2017-08-03,2025,54,Brazil,,,,Right,5,5,5,High/Medium,Unique,Yes,184100000,"#Dribbler, #FK Specialist, #Acrobat","Injury Prone, Flair, Speed Dribbler (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",87,83,85,93,37,61,83,83,63,85,86,95,88,87,81,94,88,86,93,88,82,79,62,79,52,81,63,37,86,90,91,93,35,32,29,9,9,15,15,11,,82+3,82+3,82+3,88,88,88,88,88,89,89,89,88+1,82+3,82+3,82+3,88+1,66+3,63+3,63+3,63+3,66+3,61+3,50+3,50+3,50+3,61+3,20+3,https://cdn.sofifa.net/players/190/871/23_120.png

200145,/player/200145/carlos-henrique-venancio-casimiro/230009,23,9,2023-01-13,Casemiro,Carlos Henrique Venancio Casimiro,CDM,89,89,86000000,240000,30,1992-02-23,185,84,13,Premier League,1,11,Manchester United,RDM,18,,2022-08-19,2026,54,Brazil,,,,Right,3,2,3,Medium/High,Unique,Yes,163400000,"#Tackling, #Tactician, #Strength, #Complete Defender","Power Free-Kick, Solid Player, Dives Into Tackles (AI), Long Passer (AI), Long Shot Taker (AI), Team Player",63,73,78,73,88,89,62,64,81,84,65,69,72,74,84,80,60,66,61,88,66,88,85,88,90,81,91,88,75,79,66,84,90,88,87,13,14,16,12,12,,76+3,76+3,76+3,73,76,76,76,73,76+3,76+3,76+3,74+3,82+3,82+3,82+3,74+3,81+3,86+3,86+3,86+3,81+3,82+3,87+2,87+2,87+2,82+3,21+3,https://cdn.sofifa.net/players/200/145/23_120.png

200389,/player/200389/jan-oblak/230009,23,9,2023-01-13,J. Oblak,Jan Oblak,GK,89,90,79000000,100000,29,1993-01-07,188,87,53,La Liga,1,240,Atlético Madrid,GK,13,,2014-07-16,2023,44,Slovenia,,,,Right,3,1,5,Medium/Medium,Unique,Yes,171800000,,"GK Long Throw, Comes For Crosses",,,,,,,13,11,15,43,13,12,13,14,40,30,42,53,64,86,48,59,77,42,78,12,36,24,11,67,11,68,27,14,18,86,90,79,87,89,46,33+3,33+3,33+3,32,34,34,34,32,37+3,37+3,37+3,34+3,39+3,39+3,39+3,34+3,33+3,38+3,38+3,38+3,33+3,32+3,34+3,34+3,34+3,32+3,87+3,https://cdn.sofifa.net/players/200/389/23_120.png

202126,/player/202126/harry-kane/230009,23,9,2023-01-13,H. Kane,Harry Kane,ST,89,89,105500000,240000,28,1993-07-28,188,89,13,Premier League,1,18,Tottenham Hotspur,ST,10,,2010-07-28,2024,14,England,1318,ST,9,Right,5,3,4,High/High,Unique,Yes,200500000,"#Distance Shooter, #Clinical Finisher","Leadership, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",69,91,83,83,47,82,80,93,85,84,87,83,82,65,86,86,67,70,68,92,73,92,79,83,83,86,80,44,94,87,92,92,50,36,38,8,10,11,14,11,,87+2,87+2,87+2,84,86,86,86,84,85+3,85+3,85+3,84+3,82+3,82+3,82+3,84+3,67+3,68+3,68+3,68+3,67+3,63+3,61+3,61+3,61+3,63+3,20+3,https://cdn.sofifa.net/players/202/126/23_120.png

203376,/player/203376/virgil-van-dijk/230009,23,9,2023-01-13,V. van Dijk,Virgil van Dijk,CB,89,89,84500000,220000,30,1991-07-08,193,92,13,Premier League,1,9,Liverpool,LCB,4,,2018-01-01,2025,34,Netherlands,105035,CB,4,Right,3,2,4,Medium/High,Unique,Yes,156300000,"#Tackling, #Tactician, #Strength, #Complete Defender","Leadership, Long Passer (AI), Power Header",81,60,71,72,90,86,53,52,86,79,45,70,60,70,86,76,68,91,61,89,53,81,88,74,93,64,85,89,47,65,62,90,91,91,86,13,10,13,11,11,,70+3,70+3,70+3,68,70,70,70,68,70+3,70+3,70+3,70+3,76+3,76+3,76+3,70+3,80+3,84+3,84+3,84+3,80+3,82+3,88+1,88+1,88+1,82+3,20+3,https://cdn.sofifa.net/players/203/376/23_120.png

208722,/player/208722/sadio-mane/230009,23,9,2023-01-13,S. Mané,Sadio Mané,"CF, LM",89,89,101000000,155000,30,1992-04-10,174,69,19,Bundesliga,1,21,FC Bayern München,LM,17,,2022-07-01,2025,136,Senegal,,,,Right,4,4,4,Medium/Medium,Unique,Yes,166700000,"#Poacher, #Dribbler, #Acrobat, #Complete Forward","Flair, Speed Dribbler (AI), Team Player",88,82,80,88,44,77,78,85,84,84,75,88,77,64,71,86,91,86,93,91,88,83,87,85,72,78,75,35,90,84,75,84,42,42,38,10,10,15,7,14,,85+3,85+3,85+3,86,87,87,87,86,86+3,86+3,86+3,85+3,79+3,79+3,79+3,85+3,67+3,65+3,65+3,65+3,67+3,64+3,59+3,59+3,59+3,64+3,19+3,https://cdn.sofifa.net/players/208/722/23_120.png

