tool|sf|day|batch_type|q|parameters|time
Umbra|100|2012-11-29|power|6|{"tag": "The_Division_Bell"}|0.058626651763916016
Umbra|100|2012-11-29|power|6|{"tag": "Band_of_Gypsys"}|0.058271169662475586
Umbra|100|2012-11-29|power|6|{"tag": "Exile_on_Main_St."}|0.059758663177490234
Umbra|100|2012-11-29|power|6|{"tag": "The_Eminem_Show"}|0.05812978744506836
Umbra|100|2012-11-29|power|6|{"tag": "Khanate_of_Kazan"}|0.05997872352600098
Umbra|100|2012-11-29|power|6|{"tag": "Paul_Keres"}|0.057065486907958984
Umbra|100|2012-11-29|power|6|{"tag": "George_Bentham"}|0.05991935729980469
Umbra|100|2012-11-29|power|6|{"tag": "Ayutthaya_Kingdom"}|0.07934379577636719
Umbra|100|2012-11-29|power|6|{"tag": "Colonel_Bogey_March"}|0.05849933624267578
Umbra|100|2012-11-29|power|6|{"tag": "Bad_Romance"}|0.05930900573730469
Umbra|100|2012-11-29|power|6|{"tag": "Manny_Ramirez"}|0.055696964263916016
Umbra|100|2012-11-29|power|6|{"tag": "Appetite_for_Destruction"}|0.05825948715209961
Umbra|100|2012-11-29|power|6|{"tag": "Roll_Over_Beethoven"}|0.0601046085357666
Umbra|100|2012-11-29|power|6|{"tag": "French_Somaliland"}|0.06696438789367676
Umbra|100|2012-11-29|power|6|{"tag": "Frisia"}|0.06310009956359863
Umbra|100|2012-11-29|power|6|{"tag": "Beautiful_Day"}|0.05994558334350586
Umbra|100|2012-11-29|power|6|{"tag": "Xiongnu"}|0.05804276466369629
Umbra|100|2012-11-29|power|6|{"tag": "Czechoslovak_Socialist_Republic"}|0.062053680419921875
Umbra|100|2012-11-29|power|6|{"tag": "In_Rainbows"}|0.05944013595581055
Umbra|100|2012-11-29|power|6|{"tag": "Coolio"}|0.11777687072753906
Umbra|100|2012-11-29|power|7|{"tag": "Jacques_Chirac"}|0.09360384941101074
Umbra|100|2012-11-29|power|7|{"tag": "Slovenia"}|0.09502530097961426
Umbra|100|2012-11-29|power|7|{"tag": "Al_Gore"}|0.09334158897399902
Umbra|100|2012-11-29|power|7|{"tag": "W._B._Yeats"}|0.09715509414672852
Umbra|100|2012-11-29|power|7|{"tag": "Nicolas_Sarkozy"}|0.09699153900146484
Umbra|100|2012-11-29|power|7|{"tag": "Niccol\u00f2_Machiavelli"}|0.09673285484313965
Umbra|100|2012-11-29|power|7|{"tag": "Luxembourg"}|0.0968942642211914
Umbra|100|2012-11-29|power|7|{"tag": "Mohammad_Reza_Pahlavi"}|0.10423517227172852
Umbra|100|2012-11-29|power|7|{"tag": "Richard_Strauss"}|0.09379982948303223
Umbra|100|2012-11-29|power|7|{"tag": "John_the_Baptist"}|0.0959925651550293
Umbra|100|2012-11-29|power|7|{"tag": "Muhammad"}|0.10346245765686035
Umbra|100|2012-11-29|power|7|{"tag": "Joni_Mitchell"}|0.10059452056884766
Umbra|100|2012-11-29|power|7|{"tag": "Alfred_Hitchcock"}|0.09548664093017578
Umbra|100|2012-11-29|power|7|{"tag": "Michelangelo"}|0.09563255310058594
Umbra|100|2012-11-29|power|7|{"tag": "Czechoslovakia"}|0.09229755401611328
Umbra|100|2012-11-29|power|7|{"tag": "Henry_II_of_England"}|0.09414219856262207
Umbra|100|2012-11-29|power|7|{"tag": "Thailand"}|0.09883356094360352
Umbra|100|2012-11-29|power|7|{"tag": "Robert_Louis_Stevenson"}|0.0901191234588623
Umbra|100|2012-11-29|power|7|{"tag": "Republic_of_Ireland"}|0.09635591506958008
Umbra|100|2012-11-29|power|7|{"tag": "Bertolt_Brecht"}|0.09288454055786133
Umbra|100|2012-11-29|power|7|{"tag": "Vladimir_Nabokov"}|0.0920705795288086
Umbra|100|2012-11-29|power|7|{"tag": "Galileo_Galilei"}|0.1071164608001709
Umbra|100|2012-11-29|power|7|{"tag": "Jamaica"}|0.09558272361755371
Umbra|100|2012-11-29|power|7|{"tag": "Dominican_Republic"}|0.1041419506072998
Umbra|100|2012-11-29|power|7|{"tag": "Ulysses_S._Grant"}|0.09434270858764648
Umbra|100|2012-11-29|power|7|{"tag": "Isaac_Asimov"}|0.09312033653259277
Umbra|100|2012-11-29|power|7|{"tag": "Bing_Crosby"}|0.0929710865020752
Umbra|100|2012-11-29|power|7|{"tag": "Fyodor_Dostoyevsky"}|0.09189462661743164
Umbra|100|2012-11-29|power|7|{"tag": "Johnny_Cash"}|0.09078288078308105
Umbra|100|2012-11-29|power|7|{"tag": "Iran"}|0.09504413604736328
Umbra|100|2012-11-29|power|8a|{"tag": "Jack_Kerouac", "startDate": "2010-06-12", "endDate": "2010-06-23"}|0.04077744483947754
Umbra|100|2012-11-29|power|8a|{"tag": "William_Faulkner", "startDate": "2010-06-08", "endDate": "2010-06-21"}|0.04169130325317383
Umbra|100|2012-11-29|power|8a|{"tag": "James_Bond", "startDate": "2010-06-14", "endDate": "2010-06-24"}|0.06813788414001465
Umbra|100|2012-11-29|power|8a|{"tag": "Herman_Melville", "startDate": "2010-06-12", "endDate": "2010-06-23"}|0.0428922176361084
Umbra|100|2012-11-29|power|8a|{"tag": "Mick_Jagger", "startDate": "2010-06-07", "endDate": "2010-06-18"}|0.044217824935913086
Umbra|100|2012-11-29|power|8a|{"tag": "Carlos_Santana", "startDate": "2010-06-13", "endDate": "2010-06-26"}|0.03895831108093262
Umbra|100|2012-11-29|power|8a|{"tag": "Aung_San_Suu_Kyi", "startDate": "2010-06-23", "endDate": "2010-07-06"}|0.06740760803222656
Umbra|100|2012-11-29|power|8a|{"tag": "Iran", "startDate": "2010-06-15", "endDate": "2010-06-27"}|0.06810688972473145
Umbra|100|2012-11-29|power|8a|{"tag": "Virginia_Woolf", "startDate": "2010-06-16", "endDate": "2010-06-30"}|0.0741117000579834
Umbra|100|2012-11-29|power|8a|{"tag": "Latvia", "startDate": "2010-06-14", "endDate": "2010-06-24"}|0.06008744239807129
Umbra|100|2012-11-29|power|8a|{"tag": "Hans_Christian_Andersen", "startDate": "2010-06-23", "endDate": "2010-07-06"}|0.06515288352966309
Umbra|100|2012-11-29|power|8a|{"tag": "Bono", "startDate": "2010-06-16", "endDate": "2010-06-30"}|0.06595230102539062
Umbra|100|2012-11-29|power|8a|{"tag": "Cambodia", "startDate": "2010-06-12", "endDate": "2010-06-23"}|0.03668022155761719
Umbra|100|2012-11-29|power|8a|{"tag": "Graham_Greene", "startDate": "2010-06-08", "endDate": "2010-06-21"}|0.051906585693359375
Umbra|100|2012-11-29|power|8a|{"tag": "Hugo_Ch\u00e1vez", "startDate": "2010-06-16", "endDate": "2010-06-30"}|0.0730440616607666
Umbra|100|2012-11-29|power|8a|{"tag": "Saint_George", "startDate": "2010-06-21", "endDate": "2010-07-05"}|0.06505203247070312
Umbra|100|2012-11-29|power|8a|{"tag": "William_Wordsworth", "startDate": "2010-06-05", "endDate": "2010-06-17"}|0.04232311248779297
Umbra|100|2012-11-29|power|8a|{"tag": "El_Salvador", "startDate": "2010-06-08", "endDate": "2010-06-21"}|0.03807187080383301
Umbra|100|2012-11-29|power|8a|{"tag": "Grover_Cleveland", "startDate": "2010-06-11", "endDate": "2010-06-25"}|0.04430365562438965
Umbra|100|2012-11-29|power|8a|{"tag": "Henry_IV_of_France", "startDate": "2010-06-06", "endDate": "2010-06-20"}|0.04234623908996582
Umbra|100|2012-11-29|power|8a|{"tag": "Mongolia", "startDate": "2010-06-16", "endDate": "2010-06-30"}|0.05822563171386719
Umbra|100|2012-11-29|power|8a|{"tag": "Barbra_Streisand", "startDate": "2010-06-16", "endDate": "2010-06-30"}|0.06780338287353516
Umbra|100|2012-11-29|power|8a|{"tag": "Germany", "startDate": "2010-06-23", "endDate": "2010-07-06"}|0.06354188919067383
Umbra|100|2012-11-29|power|8a|{"tag": "George_Lucas", "startDate": "2010-06-06", "endDate": "2010-06-20"}|0.043000221252441406
Umbra|100|2012-11-29|power|8a|{"tag": "Johnny_Cash", "startDate": "2010-06-12", "endDate": "2010-06-23"}|0.04423332214355469
Umbra|100|2012-11-29|power|8a|{"tag": "Vladimir_Putin", "startDate": "2010-06-12", "endDate": "2010-06-23"}|0.04504990577697754
Umbra|100|2012-11-29|power|8a|{"tag": "H._P._Lovecraft", "startDate": "2010-06-11", "endDate": "2010-06-25"}|0.04314136505126953
Umbra|100|2012-11-29|power|8a|{"tag": "Ralph_Waldo_Emerson", "startDate": "2010-06-16", "endDate": "2010-06-30"}|0.07179641723632812
