isin,value
XXXXUS502431AF64,1
XXXXUS26444HAH49,1
XXXXXS1405763019,1
XXXXUS02209SBM44,1
XXXXUS88165FAF99,1
XXXXDE000A11QTK7,1
XXXXXS2356227343,1
XXXXXS1642590480,1
XXXXUS767744AA37,1
XXXXXS2344385815,1
XXXXXS2125913942,1
XXXXUS651229AX48,1
XXXXUS30161MAR43,1
XXXXDE000DKB0440,1
XXXXXS1972557737,1
XXXXUS460599AC74,1
XXXXUS78454LAL45,1
XXXXUS693070AD69,1
XXXXUS36966TJA16,1
XXXXXS1823351348,1
XXXXFR0013517190,1
XXXXUS69121KAC80,1
XXXXXS1892127470,1
XXXXUS60687YAH27,1
XXXXUS836205BA15,1
XXXXXS1860216909,1
XXXXXS1584041252,1
XXXXUS025816BF52,1
XXXXXS1550144072,1
XXXXUSY00284AW20,1
XXXXUS82460CAL81,1
XXXXIT0005246340,1
XXXXUS655664AR15,1
XXXXXS1944412664,1
XXXXNL0000116127,1
XXXXXS1910118055,1
XXXXUS59217GEH83,1
XXXXUSJ54675AB95,1
XXXXXS2364423652,1
XXXXUS00652MAG78,1
XXXXUS610202BR34,1
XXXXUS225313AN57,1
XXXXUS097023CX16,1
XXXXUSY6142NAE86,1
XXXXUS69370RAL15,1
XXXXUS17252MAL46,1
XXXXUS61747WAL37,1
XXXXXS1596739364,1
XXXXXS2055727916,1
XXXXUS984848AK72,1
XXXXXS1156024116,1
XXXXBE0000321308,1
XXXXXS1979280853,1
XXXXAT0000A22H40,1
XXXXUS166764BT68,1
XXXXXS1636469865,1
XXXXXS1111084718,1
XXXXBE0002292614,1
XXXXUS14149YBF43,1
XXXXUS913017BP39,1
XXXXUS70452AAA16,1
XXXXXS2166185053,1
XXXXFR00140005R4,1
XXXXUS05348EAV11,1
XXXXUS80386WAA36,1
XXXXUSU2339CDW56,1
XXXXUS896818AS01,1
XXXXXS1980828997,1
XXXXXS1488480333,1
XXXXXS1760129608,1
XXXXUS74727PBE07,1
XXXXXS1130913558,1
XXXXDE000A289RC9,1
XXXXXS1686846061,1
XXXXDE000A3H2Y16,1
XXXXUS459200JZ55,1
XXXXXS2353272284,1
XXXXXS1523966197,1
XXXXXS1574068844,1
XXXXXS2231563805,1
XXXXUS21039CAB00,1
XXXXXS1309529680,1
XXXXUS67077MAU27,1
XXXXXS0419346977,1
XXXXXS1288903278,1
XXXXUS171232AQ41,1
XXXXXS2284240137,1
XXXXXS2177013252,1
XXXXUS448579AF96,1
XXXXUSF0266LAC03,1
XXXXUS03746AAA88,1
XXXXFR0014002GI0,1
XXXXXS1933874387,1
XXXXUS278642AS20,1
XXXXUS26442CAQ78,1
XXXXUS06051GGC78,1
XXXXXS1807201899,1
XXXXUSP3699PGJ05,1
XXXXUS172967HD63,1
XXXXUS75973QAA58,1
XXXXXS2049149821,1
XXXXFR0011686401,1
XXXXXS2265369657,1
XXXXUS383909AF54,1
XXXXUSY72570AN72,1
XXXXXS1914937021,1
XXXXUS649840CQ63,1
XXXXUS70109HAK14,1
XXXXUS00774MAM73,1
XXXXUS677415CF62,1
XXXXXS2341269970,1
XXXXUSP98047AC08,1
XXXXBE0002629104,1
XXXXUS124857AP86,1
XXXXUSP79171AF45,1
XXXXUS097023BL86,1
XXXXFR0013393899,1
XXXXUS65409QBK76,1
XXXXXS0274270817,1
XXXXUS41283LAQ86,1
XXXXUS00206RBA95,1
XXXXUS591539AA97,1
XXXXXS2205083749,1
XXXXUS29359NAA37,1
XXXXUS709599BH60,1
XXXXUS18539UAD72,1
XXXXGB0030880693,1
XXXXXS0277265269,1
XXXXUS59562EAH80,1
XXXXUS024836AE87,1
XXXXXS1627940601,1
XXXXXS1492680811,1
XXXXXS1403264291,1
XXXXUS316773CH12,1
XXXXDE000A13SWG1,1
XXXXUS031162BE93,1
XXXXXS2305736543,1
XXXXUSQ2704MAA64,1
XXXXIT0005151854,1
XXXXXS2177575177,1
XXXXXS1004042575,1
XXXXUS437076AV48,1
XXXXUS78413KAB89,1
XXXXUS40049JAV98,1
XXXXUS907818FB91,1
XXXXUS49427RAL69,1
XXXXUS159864AG27,1
XXXXUS530307AA53,1
XXXXUSJ54675AA13,1
XXXXUS717081EZ22,1
XXXXUS695127AD26,1
XXXXUS747525BJ18,1
XXXXXS2080321198,1
XXXXUS00130HCB96,1
XXXXXS2000538343,1
XXXXIT0005188831,1
XXXXDE000A2DASM5,1
XXXXUS12597YAA73,1
XXXXUS27409LAC72,1
XXXXUS913017DD80,1
XXXXUS96949LAA35,1
XXXXUS713448EQ79,1
XXXXDE0001053569,1
XXXXUS207597EN17,1
XXXXUS68327LAC00,1
XXXXXS1564337993,1
XXXXUS30161NAU54,1
XXXXDE000DL19U31,1
XXXXXS2250155467,1
XXXXXS1240177342,1
XXXXXS1622394143,1
XXXXDE000A19S4V6,1
XXXXUS845743BP75,1
XXXXUS69351UAW36,1
XXXXXS1805476659,1
XXXXUS76117WAC38,1
XXXXXS2161831776,1
XXXXUS12642KAB08,1
XXXXUS343412AC69,1
XXXXCH0595205532,1
XXXXUS00182FBC95,1
XXXXXS1496770626,1
XXXXXS1196405556,1
XXXXXS1859543073,1
XXXXUS785592AU04,1
XXXXXS2188805688,1
XXXXXS1457499645,1
XXXXXS1752476538,1
XXXXXS1648263926,1
XXXXUS15189TAR86,1
XXXXXS1808482746,1
XXXXXS2100663579,1
XXXXUS82481LAD10,1
XXXXUS205768AS39,1
XXXXUS570535AX23,1
XXXXXS2035564629,1
XXXXUS205768AT12,1
XXXXUS84265VAF22,1
XXXXUSF2893TAM83,1
XXXXBE6320936287,1
XXXXUSV3855LAA71,1
XXXXUS20467BAB53,1
XXXXUS842587DF14,1
XXXXXS1657420441,1
XXXXUS053332AZ56,1
XXXXUS28228PAA93,1
XXXXUS92840VAF94,1
XXXXUS459058GQ03,1
XXXXUS00914AAH59,1
XXXXXS1692177857,1
XXXXXS1383389670,1
XXXXUS822582AT91,1
XXXXUS291011BP85,1
XXXXUS71568QAN79,1
XXXXXS0169950531,1
XXXXXS1408351887,1
XXXXFR0012599892,1
XXXXUS17186HAC60,1
XXXXUS126408HL09,1
XXXXUS009158AV87,1
XXXXUS04685A2R10,1
XXXXUS74348GCB41,1
XXXXXS0874864860,1
XXXXUS96812WAA36,1
XXXXXS1490726590,1
XXXXUS67077MAL28,1
XXXXXS1687330032,1
XXXXGB00B39R3707,1
XXXXUS69370RAA59,1
XXXXUSU52799BE93,1
XXXXUS928881AA95,1
XXXXXS2329602135,1
XXXXUS880451AW92,1
XXXXXS1247796185,1
XXXXUS717081EN91,1
XXXXUSP37146AA81,1
XXXXUS459200JC60,1
XXXXFR0013141066,1
XXXXUS48126DT415,1
XXXXUS50540RAT95,1
XXXXUS797440BZ64,1
XXXXXS2002019060,1
XXXXUS38141GXS82,1
XXXXUSH7220NAJ93,1
XXXXXS2284250441,1
XXXXUS585270AC58,1
XXXXUS156431AN85,1
XXXXXS1619838292,1
XXXXXS1023039545,1
XXXXDE000A1KRJQ6,1
XXXXUSU14178EB60,1
XXXXUS12505JAA16,1
XXXXUS341081FD42,1
XXXXXS1165128585,1
XXXXUS370425RZ53,1
XXXXXS2357352702,1
XXXXUS00774MAE57,1
XXXXCND100042M14,1
XXXXUS269246BS28,1
XXXXUS29273VAM28,1
XXXXXS1909057306,1
XXXXUS969457BY52,1
XXXXXS2056730323,1
XXXXUS86959LAG86,1
XXXXUS61744YAP34,1
XXXXUS44701QBF81,1
XXXXUS28470RAK86,1
XXXXUS126650DN71,1
XXXXXS2193734733,1
XXXXUS131193AE46,1
XXXXUS637432NT82,1
XXXXXS2242418957,1
XXXXUS00138CAS70,1
XXXXXS2341882913,1
XXXXUS48128BAB71,1
XXXXXS1426039696,1
XXXXUSU5462TAD55,1
XXXXFR0013183563,1
XXXXXS1457608286,1
XXXXUS126650CW89,1
XXXXUS68621CAA71,1
XXXXXS1840618059,1
XXXXXS1955187692,1
XXXXXS1973750869,1
XXXXXS2126094049,1
XXXXUS904678AU32,1
XXXXEU000A287074,1
XXXXXS1055037920,1
XXXXXS1218289103,1
XXXXUS17275RBE18,1
XXXXXS2337670694,1
XXXXUS67059NAB47,1
XXXXUS405024AA84,1
XXXXUS91911KAN28,1
XXXXUS826200AD92,1
XXXXFR0013505625,1
XXXXUS94974BGP94,1
XXXXUS38937LAB71,1
XXXXUS00254ENB47,1
XXXXXS0835676353,1
XXXXUS84605LAC00,1
XXXXUSF1R15XK854,1
XXXXUS60687YAP43,1
XXXXCH0271428333,1
XXXXDE000A2G8VU3,1
XXXXXS0785710046,1
XXXXUS91159HHP82,1
XXXXXS0146173371,1
XXXXUS878091BF35,1
XXXXUS15119CAA71,1
XXXXXS0207920942,1
XXXXXS2153597518,1
XXXXUS87305QCB59,1
XXXXUSG2176WAA48,1
XXXXUS50066AAG85,1
XXXXIT0005175242,1
XXXXXS1050461034,1
XXXXXS2026202643,1
XXXXUS651639AN69,1
XXXXUS78442PGD24,1
XXXXUS20338QAB95,1
XXXXXS1713462668,1
XXXXXS2081500907,1
XXXXUS538034AQ25,1
XXXXXS1735583095,1
XXXXUS053773BG13,1
XXXXXS1536786939,1
XXXXUS294429AM71,1
XXXXXS1333667506,1
XXXXXS0224427160,1
XXXXUS780097BD21,1
XXXXDE0001030575,1
XXXXXS1825455030,1
XXXXXS1677902162,1
XXXXEU000A3JZQG7,1
XXXXXS2133246327,1
XXXXXS1997071243,1
XXXXFR0014001IO6,1
XXXXXS1400169931,1
XXXXXS2289133915,1
XXXXXS1422334448,1
XXXXUS459506AK78,1
XXXXUS586054AC25,1
XXXXXS1713474325,1
XXXXUS126117AU49,1
XXXXUS118230AP60,1
XXXXUS76025LAA26,1
XXXXXS2279870732,1
XXXXUS74456QBW50,1
XXXXUS931142EB57,1
XXXXXS2073787470,1
XXXXXS0278326441,1
XXXXFR0013365491,1
XXXXXS2207192605,1
XXXXXS2357812556,1
XXXXUS252131AH00,1
XXXXUS893830BJ77,1
XXXXXS2156506854,1
XXXXXS2251170390,1
XXXXUSP5880UAB63,1
XXXXXS1572363858,1
XXXXUS573334AH20,1
XXXXXS1854532865,1
XXXXUS64952WEB54,1
XXXXXS2075811948,1
XXXXUS980883AC68,1
XXXXUS459058GF48,1
XXXXUS6325C1CR85,1
XXXXUS06051GHC69,1
XXXXXS2162033729,1
XXXXUS63254AAZ12,1
XXXXUS89378TAC71,1
XXXXUS020002AQ48,1
XXXXXS1807174559,1
XXXXFR0011417591,1
XXXXUS500769CH58,1
XXXXXS1790931114,1
XXXXUS90015NAB91,1
XXXXUS15189WAH34,1
XXXXUS00287YBC21,1
XXXXXS2231259305,1
XXXXUS674599CH65,1
XXXXXS2001168447,1
XXXXUS778296AF07,1
XXXXUS759916AB50,1
XXXXIL0011736738,1
XXXXUS55354GAF72,1
XXXXXS2051471105,1
XXXXXS1815424202,1
XXXXUS36962GW752,1
XXXXXS1849464323,1
XXXXUS69371RQ748,1
XXXXUS30036FAA93,1
XXXXFR0014001LQ5,1
XXXXXS1850111789,1
XXXXXS2057070182,1
XXXXUS50066CAJ80,1
XXXXUS233851DY79,1
XXXXGB0032452392,1
XXXXUS049164BH82,1
XXXXUS74005PBB94,1
XXXXFR0013409612,1
XXXXUS74445PAB85,1
XXXXUS46513JXN61,1
XXXXUS548661CP07,1
XXXXFR0011398767,1
XXXXUS06051GGL77,1
XXXXUS75884RAV50,1
XXXXFR0011337880,1
XXXXUS980236AQ66,1
XXXXXS2154336254,1
XXXXUS345397XL24,1
XXXXUS75884RAY99,1
XXXXUS61761JZN26,1
XXXXUS713448BY31,1
XXXXUS494550BM77,1
XXXXXS2116222022,1
XXXXUS62944TAE55,1
XXXXUS404280BZ11,1
XXXXUS073730AE32,1
XXXXUS90401CAC38,1
XXXXUS94974BFN55,1
XXXXUS198280AH20,1
XXXXFR0013519071,1
XXXXUSP989MJBR17,1
XXXXXS2345050251,1
XXXXXS2029997942,1
XXXXUSY7138AAB62,1
XXXXUS780097BQ34,1
XXXXXS1839105662,1
XXXXUS676167CA51,1
XXXXUS900123AW05,1
XXXXUS38381CAC64,1
XXXXUSP3772NHK11,1
XXXXFR0013455854,1
XXXXXS2196322155,1
XXXXUS26884ABM45,1
XXXXXS2049827160,1
XXXXUS65526QAA85,1
XXXXUS131347CK09,1
XXXXUSP01014AA03,1
XXXXXS1756367147,1
XXXXBE0000344532,1
XXXXUS718172BM02,1
XXXXUS075887BW84,1
XXXXUS90520EAK73,1
XXXXXS1605393054,1
XXXXUS82452TAA51,1
XXXXXS1500338618,1
XXXXUS023608AG75,1
XXXXUS023135BJ40,1
XXXXUS298785HR03,1
XXXXXS2078535346,1
XXXXUSU8302WAG97,1
XXXXUS67077MAE84,1
XXXXXS2334361354,1
XXXXXS2082818951,1
XXXXES0205032040,1
XXXXXS1959337236,1
XXXXUS89236TCQ67,1
XXXXXS1505674918,1
XXXXUS76029LAA89,1
XXXXDE000A3H3J14,1
XXXXXS1987097430,1
XXXXUS060505FQ25,1
XXXXUS589331AQ02,1
XXXXUSP79171AE79,1
XXXXUS494550BN50,1
XXXXEU000A1U9803,1
XXXXUS64110DAF15,1
XXXXFR0011339753,1
XXXXUS251526CD98,1
XXXXUS670346AP04,1
XXXXUS608328BF64,1
XXXXUS58933YAT29,1
XXXXXS2183820617,1
XXXXFR0013310018,1
XXXXXS0821168423,1
XXXXUSG85158AA43,1
XXXXXS2231588547,1
XXXXUS48305QAF00,1
XXXXUS786514BU22,1
XXXXUS55336VAM28,1
XXXXUS303901BB79,1
XXXXUSG2763RAA44,1
XXXXUS86564UAA88,1
XXXXXS2230884657,1
XXXXXS1784067529,1
XXXXUSV04008AA29,1
XXXXUS428102AC14,1
XXXXXS1791326728,1
XXXXXS0186855150,1
XXXXXS2055625839,1
XXXXUS378272AX69,1
XXXXXS2342227837,1
XXXXXS2033327854,1
XXXXXS0969368934,1
XXXXUSU5462TAF04,1
XXXXXS1891723030,1
XXXXBE0002280494,1
XXXXUS110122DF26,1
XXXXUS78355HKP37,1
XXXXUS47233JDS42,1
XXXXXS1452410571,1
XXXXUS05574LFY92,1
XXXXUS20030NCS80,1
XXXXXS1266660635,1
XXXXUS38341PAA03,1
XXXXUS436440AM32,1
XXXXUS073685AH26,1
XXXXUS82937VAB36,1
XXXXUS91087BAN01,1
XXXXXS1753595328,1
XXXXUS054561AJ49,1
XXXXXS1485596511,1
XXXXXS1679505070,1
XXXXUS06406HDA41,1
XXXXUS893647BK28,1
XXXXXS1038896426,1
XXXXUS278642AE34,1
XXXXUSU04644CX30,1
XXXXFR0013451507,1
XXXXUS87470LAG68,1
XXXXXS1853426895,1
XXXXUS571903BG74,1
XXXXUS96208LAA98,1
XXXXXS1686550960,1
XXXXUS20030NCE94,1
XXXXPTBPIAOM0026,1
XXXXXS0729895200,1
XXXXFR0010945436,1
XXXXUS654902AC90,1
XXXXUS14913R2L06,1
XXXXXS1934392413,1
XXXXUS62922LAA61,1
XXXXUS146869AD48,1
XXXXXS2123970241,1
XXXXUS500769HJ69,1
XXXXUS742718ER62,1
XXXXUS20030NCC39,1
XXXXUS03523TBU16,1
XXXXUS68323AFH23,1
XXXXXS2079716937,1
XXXXXS1796233150,1
XXXXIT0004695075,1
XXXXDE000A2GSCW3,1
XXXXXS2199351615,1
XXXXXS1884698256,1
XXXXUS983024AL46,1
XXXXFR0013399110,1
XXXXUS94973VAX55,1
XXXXUS257559AK07,1
XXXXXS1120891012,1
XXXXUSQ0426RNF11,1
XXXXUSU7089FAC69,1
XXXXUS283837AB81,1
XXXXFR0011332196,1
XXXXFR0013237484,1
XXXXUS14913R2N61,1
XXXXUS71568PAG46,1
XXXXUS46647PBK12,1
XXXXUS68389XBN49,1
XXXXUSG93654AF17,1
XXXXUS713448DD75,1
XXXXUS98462YAD22,1
XXXXXS2339232147,1
XXXXXS1079698376,1
XXXXUSG90073AD26,1
XXXXUS74368CAX20,1
XXXXUSY62196AD53,1
XXXXUS57636QAR56,1
XXXXUS808513AX31,1
XXXXXS2281036249,1
XXXXUS90265EAT73,1
XXXXUS29379VBE20,1
XXXXXS2210014788,1
XXXXUSU74079AQ46,1
XXXXSK4120008673,1
XXXXUS478160BV55,1
XXXXUSU20845AE04,1
XXXXUS363576AB52,1
XXXXUS404119CA57,1
XXXXUS857477BL68,1
XXXXUS534187AR02,1
XXXXUS025816CD95,1
XXXXUS26138EAY59,1
XXXXXS2010044209,1
XXXXXS0368361217,1
XXXXUS712219AG90,1
XXXXXS1139688268,1
XXXXUS195869AQ57,1
XXXXUS37045XDE31,1
XXXXUS26112TAJ51,1
XXXXXS1109959467,1
XXXXUS06051GJU40,1
XXXXUS15135BAW19,1
XXXXFR0013238268,1
XXXXXS1586341981,1
XXXXXS1550212416,1
XXXXUS02665WDD02,1
XXXXXS1958648294,1
XXXXUSU78585AC73,1
XXXXUS08265TAC36,1
XXXXUS78469XAE76,1
XXXXXS2228897158,1
XXXXUS085209AG93,1
XXXXUS98978VAH69,1
XXXXSK4000015475,1
XXXXUS254687DD54,1
XXXXUS361448BB85,1
XXXXXS2262838381,1
XXXXUS902494AX19,1
XXXXUS82460P2A28,1
XXXXXS1719267855,1
XXXXXS2189594315,1
XXXXUS26441CAL90,1
XXXXUS62987BAA08,1
XXXXUS11120VAA17,1
XXXXXS2322253944,1
XXXXXS1577951715,1
XXXXUS87973RAB69,1
XXXXXS2050982755,1
XXXXXS1700429480,1
XXXXXS0932036154,1
XXXXXS1084874533,1
XXXXXS1953035844,1
XXXXUS488401AC40,1
XXXXUS459058JE46,1
XXXXUSQ25738AA54,1
XXXXUS69349LAG32,1
XXXXDE000DL19S68,1
XXXXXS1897340854,1
XXXXXS2210960378,1
XXXXUS15189XAQ16,1
XXXXXS0823975585,1
XXXXXS2154325489,1
XXXXUS066716AH49,1
XXXXUS78397DAA63,1
XXXXXS1517196272,1
XXXXUS6325C1CX53,1
XXXXUS857006AE01,1
XXXXUSN3700LAD75,1
XXXXUS191216DJ60,1
XXXXXS1180063056,1
XXXXUS15135UAM18,1
XXXXUS412822AD08,1
XXXXXS2357281257,1
XXXXUS29355AAG22,1
XXXXXS0430799725,1
XXXXUS05537GAA31,1
XXXXXS1084942470,1
XXXXUS09681MAD02,1
XXXXUS055451AV01,1
XXXXUS46647PAQ90,1
XXXXUS89417EAL39,1
XXXXXS1387174375,1
XXXXUS67077MAP32,1
XXXXXS2257857834,1
XXXXDE000A3E45M6,1
XXXXUS24023KAE82,1
XXXXXS1651444140,1
XXXXDE000A2R9ZT1,1
XXXXUSG471ABNU06,1
XXXXUS709599AY03,1
XXXXXS2170362672,1
XXXXXS2138134809,1
XXXXUS00440EAW75,1
