dbsystem,tps,submission_date
Microsoft SQL Server 2000 Enterprise Edition SP3,68264.47,2002-11-04
Microsoft SQL Server 2000 Enterprise Edition SP3,84598.42,2002-10-07
Microsoft SQL Server 2000 Enterprise Edition,48906.18,2002-03-12
Microsoft SQL Server 2000 Enterprise Edition,33768.41,2002-02-25
Microsoft SQL Server 2000 Enterprise Edition,22007.12,2001-10-25
Microsoft SQL Server 2000,37383.57,2001-03-27
Microsoft SQL Server 2005 Enterprise Edition x64 SP3,1207982.0,2011-11-15
Microsoft SQL Server 2005 Enterprise Edition x64 SP3,1263599.0,2011-05-23
Microsoft SQL Server 2005 Enterprise Edition x64 SP3,1024380.0,2011-05-05
Microsoft SQL Server 2005 Enterprise Edition x64 SP3,1807347.0,2010-08-30
Oracle Database 11g Release 2 Standard Ed One,290040.0,2010-08-17
Microsoft SQL Server 2005 Enterprise Edition x64 SP3,1193472.0,2010-06-22
Microsoft SQL Server 2005 Enterprise Edition x64 SP3,803068.0,2010-05-11
Microsoft SQL Server 2005 Enterprise Edition x64 SP3,705652.0,2010-04-08
Microsoft SQL Server 2005 Enterprise Edition x64 SP2,661475.0,2010-02-01
Oracle Database 11g Standard Edition One,232002.0,2009-05-21
Oracle Database 11g Standard Edition One,631766.0,2009-03-30
Oracle Database 11g Standard Edition,639253.0,2009-01-16
Microsoft SQL Server 2005 Enterprise Edition x64 SP2,579814.0,2008-11-17
Microsoft SQL Server 2005 Enterprise Edition x64 SP2,634825.0,2008-08-19
Microsoft SQL Server 2005 Enterprise Edition x64 SP2,471883.0,2008-07-14
Microsoft SQL Server 2005 Enterprise Edition x64 SP2,402234.0,2008-03-31
Microsoft SQL Server 2005 Enterprise Edition x64 SP2,275149.0,2008-01-07
Oracle Database 10g Standard Edition One,273666.0,2007-11-09
Oracle Database 11g Standard Edition One,102454.0,2007-09-12
Microsoft SQL Server 2005 Enterprise Edition x64 SP2,251300.0,2007-09-05
Microsoft SQL Server 2005 Enterprise Edition x64 SP2,407079.0,2007-09-05
Microsoft SQL Server 2005 Enterprise Edition Itanium,372140.0,2007-06-11
Oracle Database 10g Standard Edition One,100926.0,2007-06-08
Microsoft SQL Server 2005 Enterprise  Edition x64 SP1,82774.0,2007-03-27
Oracle Database 10g R2 Enterprise Edition w/Partitioning,4092799.0,2007-02-27
Microsoft SQL Server 2005 Enterprise  Edition x64 SP1,138979.0,2007-02-13
Microsoft SQL Server 2005 Enterprise  Edition x64 SP1,222117.0,2006-11-14
Microsoft SQL Server 2005 Enterprise  Edition x64 SP1,240737.0,2006-11-13
Microsoft SQL Server 2005 Enterprise  Edition x64 SP1,139693.0,2006-11-09
Oracle Database 10g R2 Enterprise Edition,359440.0,2006-10-26
Microsoft SQL Server 2005 Enterprise Edition,318407.0,2006-10-19
Microsoft SQL Server 2005 Enterprise  Edition x64 SP1,262989.0,2006-09-25
Microsoft SQL Server 2005 Enterprise  Edition x64 SP1,147293.0,2006-09-13
Oracle Database 10g Enterprise Edition,230569.0,2006-08-01
Microsoft SQL Server 2005 Enterprise Edition Itanium,344928.0,2006-07-18
Microsoft SQL Server 2005 Enterprise Edition x64,140246.0,2006-06-26
Microsoft SQL Server 2005 Enterprise Edition x64,169360.0,2006-05-22
Microsoft SQL Server 2005 Enterprise Edition x86 SP1,110615.0,2006-05-04
Microsoft SQL Server 2005 Enterprise Edition Itanium,290644.0,2006-03-27
Microsoft SQL Server 2005 Enterprise Edition x86 SP1,113628.0,2006-03-20
Microsoft SQL Server 2005 Enterprise Edition,213986.0,2006-03-20
Oracle Database 10g Enterprise Edition,200829.0,2006-03-09
IBM DB2 UDB 8.2,236054.0,2005-12-05
Microsoft SQL Server 2005 Enterprise Edition SP1,1231433.0,2005-11-28
Microsoft SQL Server 2005 Enterprise Edition x64,206181.0,2005-11-04
Microsoft SQL Server 2005 Enterprise Edition,202551.0,2005-09-30
Microsoft SQL Server 2005 Enterprise Edition,109633.0,2005-09-30
Microsoft SQL Server 2005 Enterprise Edition,107010.0,2005-09-30
Microsoft SQL Server 2005 Enterprise Edition,138845.0,2005-09-30
Microsoft SQL Server 2005 Enterprise Edition,76214.0,2005-09-30
Microsoft SQL Server 2000 Enterprise Edition SP3,52742.0,2005-08-29
Microsoft SQL Server 2000 Enterprise Edition 64bit,332265.87,2005-07-15
Microsoft SQL Server 2000 Enterprise Edition SP3,65453.0,2005-06-24
Microsoft SQL Server 2000 Enterprise Edition SP3,108574.0,2005-06-24
Microsoft SQL Server 2005 Enterprise Edition 64bit,1082203.0,2005-06-07
Microsoft SQL Server 2000 Enterprise Edition SP4,187296.0,2005-04-21
Microsoft SQL Server 2000 Enterprise Edition SP3,42432.0,2005-03-28
Microsoft SQL Server 2000 Enterprise Edition SP3,67754.0,2005-02-14
Microsoft SQL Server 2000 Enterprise Edition SP3,74298.0,2005-02-11
Microsoft SQL Server 2000 Enterprise Edition SP3,71413.0,2005-02-11
Microsoft SQL Server 2000 Enterprise Edition QFE,130623.0,2005-02-11
Microsoft SQL Server 2000 Enterprise Edition SP3,143367.0,2004-12-10
Oracle Database 10g Standard Edition,161217.4,2004-11-08
Microsoft SQL Server 2000 Enterprise Edition SP3,123027.0,2004-11-07
Microsoft SQL Server 2000 Enterprise Edition SP3,68010.0,2004-11-01
Microsoft SQL Server 2000 Standard Edition SP3,17810.0,2004-10-19
Microsoft SQL Server 2000 Enterprise Edition SP3,115110.0,2004-10-15
Oracle Database 10g Standard Edition,51506.4,2004-09-29
Microsoft SQL Server 2000 Enterprise Edition SP3,85554.0,2004-07-20
IBM DB2 UDB Express Edition v8.1,18661.0,2004-07-16
Microsoft SQL Server 2000 Enterprise Edition SP3,105687.0,2004-05-03
Microsoft SQL Server 2000 Enterprise Edition SP3,123027.0,2004-05-03
IBM DB2 UDB Express Edition v8.1,18318.24,2004-04-14
Microsoft SQL Server 2000 Enterprise Edition,28711.0,2004-03-02
Microsoft SQL Server 2000 Enterprise Edition,35030.0,2004-03-02
Microsoft SQL Server 2000 Enterprise Edition,60364.0,2004-03-02
Microsoft SQL Server 2000 Enterprise Edition,95163.0,2004-03-01
Microsoft SQL Server 2000 Enterprise Edition 64bit,301225.0,2003-12-18
Microsoft SQL Server 2000 Enterprise Edition SP3,33873.83,2003-12-17
Microsoft SQL Server 2000 Standard Edition SP3,17192.4,2003-12-17
Oracle Database 10g Enterprise Edition,1184893.38,2003-12-08
Microsoft SQL Server 2000 Standard Edition SP3,19814.35,2003-11-24
Oracle Database 10g Enterprise Edition,1008144.49,2003-11-04
Microsoft SQL Server 2000 Enterprise Edition SP3,51226.96,2003-10-22
Microsoft SQL Server 2000 Enterprise Edition SP3,54096.56,2003-10-13
Microsoft SQL Server 2000 Enterprise Edition SP3,84712.94,2003-09-08
Oracle Database 10g Standard Edition,136110.98,2003-09-05
Microsoft SQL Server 2000 Enterprise Edition 64bit,786646.0,2003-08-27
Oracle Database 10g Standard Edition,131639.8,2003-07-30
Oracle Database 10g Enterprise Edition,824164.53,2003-07-30
Oracle Database 10g Enterprise Edition,541673.76,2003-07-30
Microsoft SQL Server 2000 Standard Edition SP3,19718.01,2003-07-15
Microsoft SQL Server 2000 Enterprise Edition SP3,52468.48,2003-07-15
Microsoft SQL Server 2000 Standard Edition SP3,19140.72,2003-05-29
Microsoft SQL Server 2000 Enterprise Edition SP3,44942.92,2003-05-29
Microsoft SQL Server 2000 Enterprise Edition SP3,43230.66,2003-05-29
Microsoft SQL Server 2000 Standard Edition SP3,18818.46,2003-05-29
Microsoft SQL Server 2000 Enterprise Edition 64bit,707102.0,2003-05-20
Microsoft SQL Server 2000 Enterprise Edition 64bit,707102.32,2003-05-16
Microsoft SQL Server 2000,19526.27,2003-05-12
Microsoft SQL Server 2000 Enterprise Edition SP3,39006.54,2003-05-12
Microsoft SQL Server 2000 Enterprise Edition 64bit,121065.13,2003-04-24
Microsoft SQL Server 2000 Enterprise Edition 64bit,658277.74,2003-04-24
Microsoft SQL Server 2000 Enterprise Edition 64bit,658277.74,2003-04-24
Microsoft SQL Server 2000 Enterprise Edition SP3,26725.34,2003-01-08
Microsoft SQL Server 2000 Enterprise Edition SP3,38386.24,2003-01-08
Microsoft SQL Server 2000 Enterprise Edition SP3,26725.34,2003-01-08
Microsoft SQL Server 2000 Enterprise Edition 64bit,87741.0,2002-12-16
Microsoft SQL Server 2000 Enterprise Edition SP3,115025.75,2002-12-06
Microsoft SQL Server 2000 Enterprise Edition SP3,77905.18,2002-11-19
Microsoft SQL Server 2000 Standard Edition SP3,18051.65,2002-11-19
Oracle Database 10i Standard Edition,80570.81,2002-11-13
Oracle Database 10i Standard Edition,80494.98,2002-11-12
Microsoft SQL Server 2000 Enterprise Edition SP3,111805.22,2002-11-04
Microsoft SQL Server 2000 Enterprise Edition SP3,68739.22,2002-11-04
Oracle Database 9i R2 Enterprise Edition,138362.03,2002-09-16
Oracle Database 9i Enterprise Server v.9.2.0.1,423414.41,2002-08-26
Microsoft SQL Server 2000 Enterprise Edition,61564.5,2002-08-23
Microsoft SQL Server 2000 Standard Edition SP3,10089.76,2002-08-13
Sybase Adaptive Server Enterprise v12.5,56375.0,2002-08-05
Microsoft SQL Server 2000 Standard Edition,17659.53,2002-07-25
Microsoft SQL Server 2000 Enterprise Edition 64bit,78454.76,2002-07-08
Microsoft SQL Server 2000 Enterprise Edition 64bit,40621.26,2002-07-08
Oracle Database 9i R2 Enterprise Edition,137260.89,2002-06-04
Microsoft SQL Server 2000 Enterprise Edition,48911.83,2002-05-17
Microsoft SQL Server 2000 Enterprise Edition,34473.15,2002-04-23
Microsoft SQL Server 2000 Enterprise Edition,34473.15,2002-04-23
Microsoft SQL Server 2000 Enterprise Edition,69169.61,2002-02-25
Microsoft SQL Server 2000 Standard Edition,17078.88,2002-02-13
Oracle Database 9i R2 Enterprise Edition for Tru64 Unix,50117.0,2002-01-28
Oracle 8 Enterprise Edition v8.1.7.1,197024.17,2001-12-21
Sybase Adaptive Server Enterprise v12.5,140239.97,2001-12-21
Oracle Database 9i Enterprise Edition,389434.4,2001-12-21
Microsoft SQL Server 2000 Enterprise Edition,37100.52,2001-11-12
Microsoft SQL Server 2000 Enterprise Edition,39158.09,2001-09-27
Microsoft SQL Server 2000 Enterprise Edition,17335.75,2001-09-26
Microsoft SQL Server 2000,9347.24,2001-09-25
Microsoft SQL Server 2000 Enterprise Edition,410769.88,2001-09-19
Microsoft SQL Server 2000 Enterprise Edition,567882.56,2001-09-19
Microsoft SQL Server 2000 Enterprise Edition,709220.08,2001-09-19
Microsoft SQL Server 2000 Enterprise Edition,37596.34,2001-08-23
Microsoft SQL Server 2000 Enterprise Edition,43046.55,2001-08-23
Microsoft SQL Server 2000,20207.2,2001-07-27
Oracle Database 9i Enterprise Edition,230533.0,2001-06-18
Sybase Adaptive Server Enterprise 11.9.3,22422.5,2001-04-05
Sybase Adaptive Server Enterprise 11.9.3,49308.0,2001-04-05
Sybase Adaptive Server Enterprise 12.0,60366.82,2001-04-05
Sybase Adaptive Server Enterprise 12.0,34288.77,2001-04-05
Oracle 8i Enterprise Edition v. 8.1.7,155179.25,2001-04-03
Oracle 8 Enterprise Edition v8.1.7.1,71863.02,2001-04-03
Sybase Adaptive Server Enterprise 12.0.0.3,37274.0,2001-04-03
Sybase Adaptive Server Enterprise 12.0.0.3,37274.0,2001-04-03
Sybase Adaptive Server Enterprise 12.0,60366.82,2000-06-21
IBM DB2 ESE 9.7,1320082.0,2013-02-22
IBM DB2 ESE 9.7,1503544.0,2012-04-11
IBM DB2 ESE 9.7,3014684.0,2011-07-11
IBM DB2 ESE 9.7,2308099.0,2010-11-16
IBM DB2 9.7,10366254.0,2010-08-17
IBM DB2 9.5,1200011.0,2010-04-13
Microsoft SQL Server 2005 Enterprise Edition x64,684508.0,2008-09-15
IBM DB2 ESE 9.5,1200632.0,2008-08-19
Sybase Adaptive Server Enterprise 15.0.3,276383.0,2008-06-16
IBM DB2 9.5,6085166.0,2008-06-10
IBM DB2 9.5 Enterprise Edition,629159.0,2008-03-20
Microsoft SQL Server 2005 Enterprise Edition x64,841809.0,2007-10-23
IBM DB2 9.5 Enterprise Edition,516752.0,2007-10-15
Oracle Database 10g R2 Enterprise Edition,236271.0,2007-10-04
Oracle Database 10g Enterprise Edition,404462.0,2007-08-06
IBM DB2 Enterprise 9,1616162.0,2007-05-21
Microsoft SQL Server 2005 Enterprise Edition x64 SP2,145180.0,2007-04-26
IBM DB2 9,511342.0,2007-03-25
Microsoft SQL Server 2005 Enterprise  Edition x64 SP1,510822.0,2007-02-28
IBM DB2 9,4033378.0,2007-01-22
IBM DB2 9,331087.0,2006-12-15
IBM DB2 9,314468.0,2006-09-19
IBM DB2 9,4016222.19,2006-07-24
Sybase Adaptive Server Enterprise v.12.5.4,81439.3,2006-06-23
Microsoft SQL Server 2005 Enterprise Edition x64,340243.0,2006-06-12
Microsoft SQL Server 2005 Enterprise Edition x64,492307.0,2006-03-21
IBM DB2 UDB 8.2,273520.0,2006-03-07
IBM DB2 UDB 8.2,1025169.69,2006-02-14
Microsoft SQL Server 2005 Enterprise Edition,492307.0,2005-11-22
IBM DB2 UDB 8.2,221017.0,2005-10-31
Oracle Database 10g Enterprise Edition,203439.87,2005-10-17
Microsoft SQL Server 2005 Enterprise Edition 64bit,241300.0,2005-09-14
IBM DB2 UDB 8.2,197669.0,2005-08-08
IBM DB2 UDB 8.2,250975.0,2005-05-31
IBM DB2 UDB 8.2,150704.0,2005-04-21
Microsoft SQL Server 2000 Enterprise Edition (SP3 w/QFE),141504.0,2005-04-21
Oracle Database 10g Enterprise Edition,1601784.98,2005-04-20
IBM DB2 UDB 8.2,3210540.63,2004-11-18
IBM DB2 UDB 8.1,429899.7,2004-08-31
Oracle Database 10g,194391.43,2004-07-12
IBM DB2 UDB 8.1,809144.09,2004-07-12
Oracle Database 10g,371044.22,2004-07-12
Microsoft SQL Server 2000 Enterprise Edition SP3,215485.89,2004-03-26
Microsoft SQL Server 2000 Enterprise Edition,102667.42,2004-03-01
Microsoft SQL Server 2000 Enterprise Edition,156105.72,2004-03-01
IBM DB2 UDB 8.1,1025486.07,2004-02-17
Microsoft SQL Server 2000 Enterprise Edition SP3,89616.32,2003-12-08
Microsoft SQL Server 2000 Enterprise Edition SP3,31910.24,2003-12-03
Microsoft SQL Server 2000 Enterprise Edition SP3,90271.76,2003-10-17
Oracle Database 10g Enterprise Edition,768839.4,2003-09-12
Microsoft SQL Server 2000 Enterprise Edition SP3,190510.02,2003-07-18
Microsoft SQL Server 2000 Enterprise Edition,18936.05,2003-07-10
Microsoft SQL Server 2000 Enterprise Edition SP3,139153.98,2003-06-30
IBM DB2 UDB 8.1,763898.39,2003-06-30
IBM DB2 UDB 8.1,680613.12,2003-05-09
Microsoft SQL Server 2000 Enterprise Edition SP3,119115.16,2003-04-04
Microsoft SQL Server 2000 Enterprise Edition SP3,151744.13,2003-03-26
Microsoft SQL Server 2000 Enterprise Edition SP3,151744.13,2003-03-26
Microsoft SQL Server 2000 Enterprise Edition SP3,52587.46,2003-02-28
Microsoft SQL Server 2000 Enterprise Edition SP3,50666.11,2003-02-28
Oracle Database 9i Enterprise Server v.9.2.0.1,427760.83,2002-12-26
Microsoft SQL Server 2000 Standard Edition SP3,18077.98,2002-12-04
Microsoft SQL Server 2000 Enterprise Edition SP3,112740.87,2002-11-08
Microsoft SQL Server 2000 Enterprise Edition SP3,74206.27,2002-11-04
Microsoft SQL Server 2000 Enterprise Edition SP3,111024.39,2002-11-04
Microsoft SQL Server 2000 Enterprise Edition SP2,61168.83,2002-08-20
Microsoft SQL Server 2000 Standard Edition SP3,17559.31,2002-08-16
Oracle Database 9i R2 Enterprise Edition,403255.46,2002-08-15
Microsoft SQL Server 2000 Enterprise Edition,92398.49,2002-07-22
Microsoft SQL Server 2000 Enterprise Edition,45230.03,2002-07-17
Microsoft SQL Server 2000 Standard Edition,12009.46,2002-06-03
Microsoft SQL Server 2000 Enterprise Edition,55138.6,2002-03-11
Microsoft SQL Server 2000 Standard Edition,23027.66,2002-03-11
Microsoft SQL Server 2000 Standard Edition,15533.72,2001-11-05
Microsoft SQL Server 2000 Standard Edition,9112.91,2001-10-16
Microsoft SQL Server 2000,20422.01,2001-10-01
Oracle Database 9i Enterprise Edition v.9i.0.1,105025.02,2001-09-10
Oracle 8i Enterprise Edition v. 8.1.7,66750.27,2001-06-22
Oracle 8i Enterprise Edition v. 8.1.7,220807.27,2001-06-22
Microsoft SQL Server 2000,136766.67,2001-04-24
Oracle Database 9i Enterprise Edition v.9.0.1,57346.93,2001-04-23
Microsoft SQL Server 2000 Enterprise Edition,34264.9,2001-04-12
Microsoft SQL Server 2000,32377.17,2001-04-12
IBM DB2 UDB 7.1,440879.95,2001-04-11
Microsoft SQL Server 2000,363129.75,2001-04-11
Microsoft SQL Server 2000,688220.9,2001-04-11
Microsoft SQL Server 2000,688220.9,2001-04-10
Microsoft SQL Server 2000,121319.23,2001-04-10
Oracle 8 Enterprise Edition v8.1.7.1,66750.27,2001-03-20
IBM DB2 for AS/400 V4 R5,163775.8,2001-03-19
IBM DB2 for AS/400 V4 R5,152346.25,2001-03-19
IBM DB2 UDB 7.1,440879.95,2001-04-11
Microsoft SQL Server 2005 Standard Edition,57552.0,2006-04-12
Microsoft SQL Server 2005 Enterprise Edition,85858.0,2005-12-01
Microsoft SQL Server 2000 Enterprise Edition SP3,31253.0,2005-06-28
Microsoft SQL Server 2000 Enterprise Edition SP3,32464.0,2004-10-15
Microsoft SQL Server 2000 Enterprise Edition SP3,34349.0,2004-08-13
Microsoft SQL Server 2000 Enterprise Edition SP3,21197.0,2004-05-11
Microsoft SQL Server 2000 Enterprise Edition SP3,58161.52,2003-11-03
Microsoft SQL Server 2000 Enterprise Edition SP3,36027.71,2003-09-21
Microsoft SQL Server 2005 Enterprise Edition x64,125954.0,2006-05-01
Oracle Database 10g R2 Enterprise Edition w/Partitioning,1245516.0,2008-01-21
Oracle Database 10g Enterprise Edition,254471.0,2006-01-18
IBM DB2 UDB 8.2,247650.0,2005-01-25
IBM DB2 UDB 8.2,247650.0,2005-01-25
Oracle Database 10g Enterprise Edition,683575.0,2004-06-28
Oracle Database 10g Enterprise Edition,609467.0,2004-04-06
Microsoft SQL Server 2000 Enterprise Edition 64bit,577530.77,2003-10-09
Oracle Database 10g Enterprise Edition,521440.53,2003-09-08
Microsoft SQL Server 2000 Enterprise Edition 64bit,514034.72,2003-04-23
Microsoft SQL Server 2000 Enterprise Edition,70653.01,2003-04-09
Microsoft SQL Server 2000 Enterprise Edition 64bit,433107.77,2003-02-20
Microsoft SQL Server 2000 Enterprise Edition 64bit,342746.25,2002-12-12
Microsoft SQL Server 2000 Enterprise Edition,48150.72,2002-06-20
Microsoft SQL Server 2000 Enterprise Edition,48150.72,2002-06-20
Microsoft SQL Server 2000 Enterprise Edition,52671.3,2001-05-22
Sybase Adaptive Server Enterprise v12.5,112286.46,2002-03-12
Oracle 11g Release 2 Enterprise Edition with Oracle Partitioning,8552523.0,2013-03-26
Oracle Database 11g R2 Enterprise Edition w/Partitioning,5055888.0,2012-06-20
Oracle Database 11g R2 Enterprise Edition,4803718.0,2012-01-18
Oracle Database 11g R2 Enterprise Edition w/RAC w/Partitioning,30249688.0,2010-12-02
Oracle Database 11g Enterprise Edition w/RAC w/Partitioning,7646486.0,2009-11-04
Microsoft SQL Server 2000 Standard Edition SP3,20477.37,2003-09-08
Microsoft SQL Server 2000 Enterprise Edition SP3,82226.46,2003-07-08
SQL Anywhere 16,112890.0,2014-11-25
Fujitsu SymfoWARE Server Enterp. Ed. VLM 3.0,67102.53,2001-09-25
Sybase SQL Anywhere 11.0,20705.0,2008-07-29
SunjeSoft Goldilocks v3.1 Standard Edition,76174.0,2020-11-23
SunjeSoft Goldilocks v3.1 Standard Edition,380475.0,2020-08-17
SunjeSoft Goldilocks v3.1 Standard Edition,152328.0,2019-11-03
SunjeSoft Goldilocks v3.1 Standard Edition,76168.0,2019-10-14
SunjeSoft Goldilocks v3.1 Standard Edition,114245.0,2019-10-14
SunjeSoft Goldilocks v3.1 Standard Edition,76172.0,2018-11-26
SunjeSoft Goldilocks v3.1 Standard Edition,76168.0,2018-11-26
SunjeSoft Goldilocks v3.1 Standard Edition,152330.0,2018-11-19
SunjeSoft Goldilocks v3.1 Standard Edition,139909.0,2017-05-08
Microsoft SQL Server 2005 Enterprise Edition,520467.0,2007-03-23
Microsoft SQL Server 2005 Enterprise Edition x64,749839.0,2006-05-08
Microsoft SQL Server 2005 Enterprise Edition x64,347854.0,2006-02-22
Microsoft SQL Server 2005 Enterprise Edition x64,251691.0,2005-11-07
Microsoft SQL Server 2005 Enterprise Edition x64,376045.0,2005-10-24
Oracle Database 10g Enterprise Edition,327829.0,2005-07-01
Oracle Database 10g Enterprise Edition,322805.0,2005-06-24
Microsoft SQL Server 2000 Enterprise Edition,237869.0,2004-06-14
Microsoft SQL Server 2000 Enterprise Edition,212511.0,2004-06-14
Oracle Database 10g Enterprise Edition,291413.0,2004-05-11
Microsoft SQL Server 2000 Enterprise Edition,304148.5,2004-04-28
Microsoft SQL Server 2000 Enterprise Edition,309036.53,2004-01-20
Oracle Database 10g Enterprise Edition,291410.61,2003-10-20
Microsoft SQL Server 2000 Enterprise Edition,252920.49,2003-06-27
Microsoft SQL Server 2000 Enterprise Edition,161542.04,2003-05-16
Microsoft SQL Server 2000 Enterprise Edition,181280.45,2003-05-02
Microsoft SQL Server 2000 Enterprise Edition,118381.38,2003-04-04
Microsoft SQL Server 2000 Enterprise Edition,234325.1,2002-12-09
Microsoft SQL Server 2000 Enterprise Edition,203518.03,2002-11-04
Microsoft SQL Server 2000 Enterprise Edition,165218.71,2001-11-11
Microsoft SQL Server 2000 Enterprise Edition,165218.71,2001-11-11
Microsoft SQL Server 2000 Enterprise Edition,141138.44,2001-09-10
