i_category|i_brand|s_store_name|s_company_name|d_year|d_moy|avg_monthly_sales|sum_sales|psum|nsum
Children|exportiexporti #1|ese|Unknown|1999|4|40172.996666666666|21156.89|23090.47|24118.81
Shoes|amalgedu pack #1|eing|Unknown|1999|6|39102.215|20092.35|21898.59|22970.96
Shoes|exportiedu pack #1|ese|Unknown|1999|4|40996.1175|21987.24|23622.65|24092.15
Music|exportischolar #1|eing|Unknown|1999|4|38027.32916666667|19049.42|20997.36|22216.40
Shoes|edu packedu pack #1|eing|Unknown|1999|6|39371.666666666664|20400.94|22609.93|24703.53
Music|edu packscholar #1|able|Unknown|1999|2|41126.86083333333|22198.23|29981.55|23547.32
Shoes|exportiedu pack #1|able|Unknown|1999|4|41452.365|22529.43|24920.49|26159.59
Children|importoexporti #1|bar|Unknown|1999|4|40023.13916666667|21185.96|24260.01|22727.88
Shoes|amalgedu pack #1|able|Unknown|1999|6|40550.295|21751.81|22550.45|25535.89
Children|exportiexporti #1|able|Unknown|1999|2|38746.555|19967.56|25786.54|21461.80
Men|edu packimporto #1|able|Unknown|1999|6|41344.020833333336|22577.03|23170.77|24900.64
Shoes|exportiedu pack #1|bar|Unknown|1999|7|40511.285|21752.38|22986.57|53394.63
Men|edu packimporto #1|able|Unknown|1999|3|41344.020833333336|22602.90|23447.02|23204.77
Men|exportiimporto #1|eing|Unknown|1999|5|38602.85916666667|19862.51|21533.96|23476.86
Men|amalgimporto #1|ese|Unknown|1999|4|38144.30333333334|19416.49|22035.82|22090.34
Music|edu packscholar #1|eing|Unknown|1999|4|40961.73333333333|22240.76|21870.89|24760.82
Men|importoimporto #1|able|Unknown|1999|6|37525.93583333334|18864.48|22496.04|20832.06
Shoes|amalgedu pack #1|ese|Unknown|1999|3|39488.611666666664|20911.14|22165.62|22508.41
Shoes|importoedu pack #1|eing|Unknown|1999|6|38223.8275|19653.71|21343.69|22687.22
Men|edu packimporto #1|eing|Unknown|1999|2|41047.73166666667|22478.54|30535.59|26549.82
Children|amalgexporti #1|bar|Unknown|1999|4|37377.0225|18809.36|22022.82|21872.86
Shoes|exportiedu pack #1|bar|Unknown|1999|4|40511.285|21965.46|22724.74|24183.49
Children|edu packexporti #1|eing|Unknown|1999|2|37813.190833333334|19322.87|24762.82|19334.35
Men|importoimporto #1|ese|Unknown|1999|2|39397.0175|20916.23|25467.88|21421.37
Children|edu packexporti #1|eing|Unknown|1999|3|37813.190833333334|19334.35|19322.87|20819.55
Men|edu packimporto #1|ese|Unknown|1999|2|41220.901666666665|22796.22|30356.59|23447.68
Music|exportischolar #1|able|Unknown|1999|3|38538.59583333333|20144.21|20848.40|23421.96
Men|edu packimporto #1|eing|Unknown|1999|5|41047.73166666667|22669.27|24201.40|22769.82
Music|edu packscholar #1|eing|Unknown|1999|2|40961.73333333333|22628.47|30769.49|21870.89
Women|exportiamalg #1|eing|Unknown|1999|2|38331.30416666667|20003.21|27941.24|21574.14
Men|amalgimporto #1|able|Unknown|1999|3|37678.105833333335|19366.86|20897.42|21295.85
Women|amalgamalg #1|able|Unknown|1999|5|38549.21|20259.65|18707.14|21781.21
Children|importoexporti #1|bar|Unknown|1999|2|40023.13916666667|21742.75|27237.58|24260.01
Men|edu packimporto #1|eing|Unknown|1999|6|41047.73166666667|22769.82|22669.27|24771.09
Men|edu packimporto #1|bar|Unknown|1999|6|40307.590833333335|22066.88|24355.37|23377.10
Music|edu packscholar #1|ese|Unknown|1999|4|40512.92333333333|22303.55|24662.79|23187.44
Children|exportiexporti #1|able|Unknown|1999|6|38746.555|20553.25|24360.53|22499.02
Men|edu packimporto #1|ese|Unknown|1999|5|41220.901666666665|23031.00|24562.01|23892.14
Children|importoexporti #1|eing|Unknown|1999|3|39082.5125|20901.78|19774.08|22571.73
Women|importoamalg #1|able|Unknown|1999|2|39798.769166666665|21622.10|28650.99|23561.89
Men|edu packimporto #1|able|Unknown|1999|5|41344.020833333336|23170.77|23204.77|22577.03
Men|importoimporto #1|ese|Unknown|1999|4|39397.0175|21226.22|21421.37|24087.34
Women|exportiamalg #1|ese|Unknown|1999|6|38199.230833333335|20031.38|23027.10|23348.91
Men|edu packimporto #1|able|Unknown|1999|4|41344.020833333336|23204.77|22602.90|23170.77
Women|amalgamalg #1|ese|Unknown|1999|2|38997.91416666667|20875.53|26606.79|23129.32
Women|importoamalg #1|eing|Unknown|1999|4|38727.784166666665|20611.54|22209.00|22604.68
Children|amalgexporti #1|eing|Unknown|1999|3|37092.26666666667|18993.21|19354.70|21160.03
Women|amalgamalg #1|eing|Unknown|1999|2|38539.45583333333|20443.89|29000.89|22820.70
Music|amalgscholar #1|eing|Unknown|1999|2|36141.4|18050.40|26732.23|22294.65
Men|exportiimporto #1|ese|Unknown|1999|2|36964.18916666666|18873.22|25777.47|21089.49
Children|amalgexporti #1|ese|Unknown|1999|2|36442.22583333333|18369.55|23034.07|21790.06
Shoes|importoedu pack #1|eing|Unknown|1999|2|38223.8275|20191.95|27868.82|22462.00
Music|edu packscholar #1|bar|Unknown|1999|2|41105.97|23083.39|29670.08|25014.58
Men|amalgimporto #1|able|Unknown|1999|5|37678.105833333335|19661.18|21295.85|22254.78
Shoes|exportiedu pack #1|able|Unknown|1999|6|41452.365|23445.86|26159.59|24555.26
Shoes|amalgedu pack #1|able|Unknown|1999|5|40550.295|22550.45|23586.69|21751.81
Children|exportiexporti #1|eing|Unknown|1999|4|39342.659166666665|21353.28|22703.68|23663.38
Music|exportischolar #1|bar|Unknown|1999|7|38577.8875|20588.96|22032.00|48753.05
Men|importoimporto #1|ese|Unknown|1999|3|39397.0175|21421.37|20916.23|21226.22
Music|exportischolar #1|ese|Unknown|1999|3|38470.36833333333|20498.61|22957.16|21085.07
Women|amalgamalg #1|eing|Unknown|1999|4|38539.45583333333|20571.07|22820.70|22945.28
Shoes|edu packedu pack #1|able|Unknown|1999|2|39298.03083333333|21339.17|27055.84|22794.65
Shoes|amalgedu pack #1|eing|Unknown|1999|3|39102.215|21165.90|22074.44|21570.78
Children|edu packexporti #1|ese|Unknown|1999|2|37892.34166666667|19969.24|26504.82|22440.48
Shoes|amalgedu pack #1|bar|Unknown|1999|6|39259.76|21340.63|24483.66|21537.66
Shoes|importoedu pack #1|able|Unknown|1999|5|39695.535833333335|21798.30|22566.85|23247.59
Men|edu packimporto #1|able|Unknown|1999|2|41344.020833333336|23447.02|29443.67|22602.90
Men|importoimporto #1|eing|Unknown|1999|4|38764.684166666666|20940.17|22253.98|24616.92
Music|importoscholar #1|ese|Unknown|1999|3|38355.03|20562.41|22494.30|23683.86
