cd_gender|cd_marital_status|cd_education_status|cnt1|cd_purchase_estimate|cnt2|cd_credit_rating|cnt3|cd_dep_count|cnt4|cd_dep_employed_count|cnt5|cd_dep_college_count|cnt6
F|W|2 yr Degree|1|2500|1|High Risk|1|5|1|5|1|6|1
F|W|4 yr Degree|1|2000|1|Good|1|2|1|4|1|5|1
F|W|4 yr Degree|1|5000|1|Unknown|1|0|1|0|1|6|1
F|W|Advanced Degree|1|5500|1|High Risk|1|6|1|4|1|5|1
F|W|Advanced Degree|1|5500|1|Unknown|1|0|1|6|1|3|1
F|W|Advanced Degree|1|8000|1|Good|1|3|1|3|1|4|1
F|W|College|1|4000|1|Unknown|1|5|1|5|1|4|1
F|W|College|1|7000|1|High Risk|1|5|1|1|1|5|1
F|W|College|1|8500|1|High Risk|1|0|1|4|1|6|1
F|W|College|1|9000|1|High Risk|1|5|1|4|1|2|1
F|W|Primary|1|3000|1|High Risk|1|6|1|4|1|4|1
F|W|Secondary|1|4000|1|Unknown|1|6|1|0|1|2|1
F|W|Unknown|1|8500|1|Good|1|2|1|6|1|6|1
F|W|Unknown|1|9500|1|Unknown|1|3|1|1|1|4|1
M|D|2 yr Degree|1|3000|1|High Risk|1|1|1|4|1|0|1
M|D|2 yr Degree|1|5500|1|Unknown|1|1|1|0|1|3|1
M|D|4 yr Degree|1|4000|1|High Risk|1|3|1|2|1|3|1
M|D|4 yr Degree|1|7000|1|Good|1|6|1|6|1|4|1
M|D|4 yr Degree|1|8000|1|High Risk|1|4|1|1|1|6|1
M|D|4 yr Degree|1|8500|1|Good|1|1|1|2|1|1|1
M|D|4 yr Degree|1|9000|1|High Risk|1|3|1|6|1|3|1
M|D|Advanced Degree|1|5000|1|Good|1|1|1|6|1|5|1
M|D|Advanced Degree|1|6000|1|Unknown|1|0|1|6|1|1|1
M|D|Advanced Degree|1|7000|1|High Risk|1|0|1|5|1|5|1
M|D|Advanced Degree|1|10000|1|High Risk|1|6|1|1|1|4|1
M|D|College|1|1000|1|High Risk|1|0|1|6|1|0|1
M|D|College|1|2500|1|Good|1|0|1|0|1|1|1
M|D|Primary|1|1500|1|Unknown|1|6|1|1|1|3|1
M|D|Primary|1|3500|1|Low Risk|1|1|1|0|1|0|1
M|D|Primary|1|4500|1|High Risk|1|6|1|6|1|4|1
M|D|Primary|1|6500|1|Low Risk|1|0|1|2|1|3|1
M|D|Primary|1|8000|1|Low Risk|1|5|1|2|1|3|1
M|D|Secondary|1|3000|1|Low Risk|1|6|1|4|1|1|1
M|D|Unknown|1|6500|1|Good|1|3|1|3|1|4|1
M|M|Advanced Degree|1|5000|1|Low Risk|1|4|1|1|1|6|1
M|M|Advanced Degree|1|6000|1|High Risk|1|5|1|6|1|3|1
M|M|Advanced Degree|1|7500|1|High Risk|1|2|1|0|1|5|1
M|M|College|1|1500|1|High Risk|1|5|1|5|1|0|1
M|M|Primary|1|7000|1|Good|1|2|1|2|1|3|1
M|M|Secondary|1|3500|1|High Risk|1|0|1|3|1|2|1
M|M|Unknown|1|6000|1|Unknown|1|5|1|0|1|0|1
M|S|2 yr Degree|1|4000|1|Unknown|1|4|1|4|1|6|1
M|S|4 yr Degree|1|2000|1|High Risk|1|0|1|2|1|3|1
M|S|4 yr Degree|1|5000|1|Low Risk|1|4|1|5|1|5|1
M|S|4 yr Degree|1|8000|1|Unknown|1|2|1|0|1|6|1
M|S|4 yr Degree|1|9000|1|Good|1|0|1|6|1|3|1
M|S|Advanced Degree|1|9500|1|High Risk|1|6|1|3|1|4|1
M|S|College|1|8500|1|Unknown|1|2|1|5|1|1|1
M|S|Primary|1|5000|1|Good|1|5|1|4|1|6|1
M|S|Primary|1|10000|1|Unknown|1|2|1|4|1|4|1
M|S|Secondary|1|2000|1|Unknown|1|4|1|0|1|4|1
M|S|Secondary|1|7000|1|Unknown|1|4|1|1|1|4|1
M|S|Unknown|1|8000|1|Unknown|1|0|1|4|1|1|1
M|U|4 yr Degree|1|1000|1|Low Risk|1|0|1|3|1|4|1
