i_category|i_class|i_brand|i_product_name|d_year|d_qoy|d_moy|s_store_id|sumsales|rk
NULL|accessories|amalgimporto #2|NULL|NULL|NULL|NULL|NULL|240676.50|64
NULL|accessories|amalgimporto #2|NULL|2000|NULL|NULL|NULL|240676.50|64
NULL|athletic|NULL|NULL|NULL|NULL|NULL|NULL|394581.93|23
NULL|athletic|NULL|NULL|NULL|NULL|NULL|NULL|572218.31|13
NULL|baseball|NULL|NULL|NULL|NULL|NULL|NULL|408370.31|22
NULL|curtains/drapes|NULL|NULL|NULL|NULL|NULL|NULL|226792.84|88
NULL|curtains/drapes|NULL|NULL|NULL|NULL|NULL|NULL|226792.84|88
NULL|curtains/drapes|NULL|n stcallyoughtoughtcally|NULL|NULL|NULL|NULL|226792.84|88
NULL|curtains/drapes|NULL|n stcallyoughtoughtcally|2000|NULL|NULL|NULL|226792.84|88
NULL|dresses|NULL|NULL|NULL|NULL|NULL|NULL|349328.37|33
NULL|dresses|NULL|NULL|NULL|NULL|NULL|NULL|589281.83|12
NULL|dresses|NULL|NULL|NULL|NULL|NULL|NULL|598894.07|10
NULL|dresses|NULL|NULL|2000|NULL|NULL|NULL|349328.37|33
NULL|dresses|NULL|antieseoughtcally|NULL|NULL|NULL|NULL|239953.46|67
NULL|dresses|NULL|antieseoughtcally|2000|NULL|NULL|NULL|239953.46|67
NULL|flatware|NULL|NULL|NULL|NULL|NULL|NULL|228813.68|82
NULL|flatware|NULL|NULL|NULL|NULL|NULL|NULL|228813.68|82
NULL|flatware|NULL|oughteingationn st|NULL|NULL|NULL|NULL|228813.68|82
NULL|flatware|NULL|oughteingationn st|2000|NULL|NULL|NULL|228813.68|82
NULL|fragrances|NULL|NULL|NULL|NULL|NULL|NULL|276494.20|42
NULL|fragrances|NULL|NULL|NULL|NULL|NULL|NULL|276494.20|42
NULL|fragrances|NULL|NULL|NULL|NULL|NULL|NULL|641513.88|9
NULL|fragrances|NULL|NULL|2000|NULL|NULL|NULL|276494.20|42
NULL|loose stones|NULL|NULL|NULL|NULL|NULL|NULL|371345.49|30
NULL|loose stones|exportibrand #4|NULL|NULL|NULL|NULL|NULL|228864.83|78
NULL|loose stones|exportibrand #4|NULL|NULL|NULL|NULL|NULL|228864.83|78
NULL|loose stones|exportibrand #4|NULL|2000|NULL|NULL|NULL|228864.83|78
NULL|memory|NULL|NULL|NULL|NULL|NULL|NULL|418934.14|18
NULL|mens|NULL|NULL|NULL|NULL|NULL|NULL|280242.91|39
NULL|mens|NULL|NULL|NULL|NULL|NULL|NULL|280242.91|39
NULL|mens|NULL|NULL|NULL|NULL|NULL|NULL|504288.84|14
NULL|mens|NULL|NULL|2000|NULL|NULL|NULL|280242.91|39
NULL|mens|importoedu pack #2|NULL|NULL|NULL|NULL|NULL|224045.93|96
NULL|mens|importoedu pack #2|pricallyesen stought|NULL|NULL|NULL|NULL|224045.93|96
NULL|mens|importoedu pack #2|pricallyesen stought|2000|NULL|NULL|NULL|224045.93|96
NULL|pants|NULL|NULL|NULL|NULL|NULL|NULL|433752.92|16
NULL|pants|exportiimporto #2|NULL|NULL|NULL|NULL|NULL|433752.92|16
NULL|pants|exportiimporto #2|antibarableableought|NULL|NULL|NULL|NULL|239858.68|69
NULL|pants|exportiimporto #2|antibarableableought|2000|NULL|NULL|NULL|239858.68|69
NULL|school-uniforms|NULL|NULL|NULL|NULL|NULL|NULL|223262.22|99
NULL|school-uniforms|edu packexporti #2|NULL|NULL|NULL|NULL|NULL|223262.22|99
NULL|school-uniforms|edu packexporti #2|NULL|NULL|NULL|NULL|NULL|223262.22|99
NULL|school-uniforms|edu packexporti #2|NULL|2000|NULL|NULL|NULL|223262.22|99
NULL|shirts|NULL|NULL|NULL|NULL|NULL|NULL|372181.43|26
NULL|shirts|NULL|NULL|NULL|NULL|NULL|NULL|372181.43|26
NULL|shirts|NULL|NULL|NULL|NULL|NULL|NULL|372181.43|26
NULL|shirts|NULL|NULL|2000|NULL|NULL|NULL|372181.43|26
NULL|sports-apparel|NULL|NULL|NULL|NULL|NULL|NULL|388167.97|24
NULL|sports-apparel|edu packimporto #2|NULL|NULL|NULL|NULL|NULL|234507.34|71
NULL|sports-apparel|edu packimporto #2|priprieingprically|NULL|NULL|NULL|NULL|234507.34|71
NULL|sports-apparel|edu packimporto #2|priprieingprically|2000|NULL|NULL|NULL|234507.34|71
NULL|swimwear|NULL|NULL|NULL|NULL|NULL|NULL|246850.77|55
NULL|swimwear|NULL|NULL|NULL|NULL|NULL|NULL|478679.30|15
NULL|swimwear|NULL|NULL|NULL|NULL|NULL|NULL|1070125.90|7
NULL|swimwear|NULL|NULL|2000|NULL|NULL|NULL|246850.77|55
NULL|swimwear|NULL|bareseablebaranti|NULL|NULL|NULL|NULL|231828.53|74
NULL|swimwear|NULL|bareseablebaranti|2000|NULL|NULL|NULL|231828.53|74
NULL|swimwear|edu packamalg #1|NULL|NULL|NULL|NULL|NULL|414442.81|19
NULL|tennis|NULL|NULL|NULL|NULL|NULL|NULL|263910.92|48
NULL|tennis|NULL|NULL|NULL|NULL|NULL|NULL|263910.92|48
NULL|tennis|NULL|barpribaranti|NULL|NULL|NULL|NULL|263910.92|48
NULL|tennis|NULL|barpribaranti|2000|NULL|NULL|NULL|263910.92|48
NULL|toddlers|NULL|NULL|NULL|NULL|NULL|NULL|409493.72|20
NULL|toddlers|exportiexporti #2|NULL|NULL|NULL|NULL|NULL|409493.72|20
NULL|toddlers|exportiexporti #2|oughtcallyoughteingn st|NULL|NULL|NULL|NULL|229865.24|76
