channel|col_name|d_year|d_qoy|i_category|sales_cnt|sales_amt
catalog|cs_ship_addr_sk|1998|3|Women|190|233258.92
catalog|cs_ship_addr_sk|1998|4|NULL|6|5649.18
catalog|cs_ship_addr_sk|1998|4|Books|303|403057.99
catalog|cs_ship_addr_sk|1998|4|Children|316|490048.57
catalog|cs_ship_addr_sk|1998|4|Electronics|318|425387.34
catalog|cs_ship_addr_sk|1998|4|Home|337|501225.68
catalog|cs_ship_addr_sk|1998|4|Jewelry|327|413849.37
catalog|cs_ship_addr_sk|1998|4|Men|325|503468.77
catalog|cs_ship_addr_sk|1998|4|Music|312|426445.09
catalog|cs_ship_addr_sk|1998|4|Shoes|321|446763.93
catalog|cs_ship_addr_sk|1998|4|Sports|330|421538.36
catalog|cs_ship_addr_sk|1998|4|Women|299|392118.15
catalog|cs_ship_addr_sk|1999|1|NULL|1|216.31
catalog|cs_ship_addr_sk|1999|1|Books|101|142633.13
catalog|cs_ship_addr_sk|1999|1|Children|102|157502.82
catalog|cs_ship_addr_sk|1999|1|Electronics|100|117593.21
catalog|cs_ship_addr_sk|1999|1|Home|101|69495.12
catalog|cs_ship_addr_sk|1999|1|Jewelry|103|99683.52
catalog|cs_ship_addr_sk|1999|1|Men|90|144016.56
catalog|cs_ship_addr_sk|1999|1|Music|88|92922.34
catalog|cs_ship_addr_sk|1999|1|Shoes|100|152211.84
catalog|cs_ship_addr_sk|1999|1|Sports|84|133148.07
catalog|cs_ship_addr_sk|1999|1|Women|94|77238.68
catalog|cs_ship_addr_sk|1999|2|NULL|4|6487.50
catalog|cs_ship_addr_sk|1999|2|Books|112|207643.30
catalog|cs_ship_addr_sk|1999|2|Children|89|91733.44
catalog|cs_ship_addr_sk|1999|2|Electronics|108|137984.16
catalog|cs_ship_addr_sk|1999|2|Home|111|112377.90
catalog|cs_ship_addr_sk|1999|2|Jewelry|105|122224.11
catalog|cs_ship_addr_sk|1999|2|Men|99|100226.01
catalog|cs_ship_addr_sk|1999|2|Music|91|67853.57
catalog|cs_ship_addr_sk|1999|2|Shoes|113|145342.15
catalog|cs_ship_addr_sk|1999|2|Sports|102|125128.67
catalog|cs_ship_addr_sk|1999|2|Women|115|169363.30
catalog|cs_ship_addr_sk|1999|3|NULL|3|NULL
catalog|cs_ship_addr_sk|1999|3|Books|163|192546.08
catalog|cs_ship_addr_sk|1999|3|Children|204|208540.29
catalog|cs_ship_addr_sk|1999|3|Electronics|196|287016.40
catalog|cs_ship_addr_sk|1999|3|Home|214|293542.48
catalog|cs_ship_addr_sk|1999|3|Jewelry|202|208213.48
catalog|cs_ship_addr_sk|1999|3|Men|188|298259.60
catalog|cs_ship_addr_sk|1999|3|Music|191|244704.10
catalog|cs_ship_addr_sk|1999|3|Shoes|216|217056.13
catalog|cs_ship_addr_sk|1999|3|Sports|193|276258.47
catalog|cs_ship_addr_sk|1999|3|Women|193|278166.48
catalog|cs_ship_addr_sk|1999|4|NULL|14|5842.99
catalog|cs_ship_addr_sk|1999|4|Books|319|451637.51
catalog|cs_ship_addr_sk|1999|4|Children|334|449221.72
catalog|cs_ship_addr_sk|1999|4|Electronics|309|339653.01
catalog|cs_ship_addr_sk|1999|4|Home|280|366635.79
catalog|cs_ship_addr_sk|1999|4|Jewelry|288|345498.60
catalog|cs_ship_addr_sk|1999|4|Men|303|535445.97
catalog|cs_ship_addr_sk|1999|4|Music|285|348885.30
catalog|cs_ship_addr_sk|1999|4|Shoes|312|377863.62
catalog|cs_ship_addr_sk|1999|4|Sports|296|387920.32
catalog|cs_ship_addr_sk|1999|4|Women|313|368493.46
catalog|cs_ship_addr_sk|2000|1|NULL|3|9384.12
catalog|cs_ship_addr_sk|2000|1|Books|114|92558.45
catalog|cs_ship_addr_sk|2000|1|Children|91|170785.60
catalog|cs_ship_addr_sk|2000|1|Electronics|104|107003.40
catalog|cs_ship_addr_sk|2000|1|Home|106|212970.11
catalog|cs_ship_addr_sk|2000|1|Jewelry|108|137758.16
catalog|cs_ship_addr_sk|2000|1|Men|107|116805.76
catalog|cs_ship_addr_sk|2000|1|Music|111|144996.14
catalog|cs_ship_addr_sk|2000|1|Shoes|97|80388.80
catalog|cs_ship_addr_sk|2000|1|Sports|94|131940.80
catalog|cs_ship_addr_sk|2000|1|Women|100|170544.78
catalog|cs_ship_addr_sk|2000|2|NULL|4|4791.29
