i_product_name|i_brand|i_class|i_category|qoh
ationn stationbaranti|amalgscholar #2|rock|Music|454.0892494929006
oughteingationableese|NULL|NULL|NULL|454.5772357723577
oughteingationableese|edu packunivamalg #10|NULL|NULL|454.5772357723577
oughteingationableese|edu packunivamalg #10|audio|NULL|454.5772357723577
oughteingationableese|edu packunivamalg #10|audio|Electronics|454.5772357723577
n stn steseprically|NULL|NULL|NULL|454.91093117408906
n stn steseprically|amalgimporto #2|NULL|NULL|454.91093117408906
n stn steseprically|amalgimporto #2|accessories|NULL|454.91093117408906
n stn steseprically|amalgimporto #2|accessories|Men|454.91093117408906
antin stoughtationation|NULL|NULL|NULL|454.93360160965796
antin stoughtationation|scholarnameless #6|NULL|NULL|454.93360160965796
antin stoughtationation|scholarnameless #6|tables|NULL|454.93360160965796
antin stoughtationation|scholarnameless #6|tables|Home|454.93360160965796
callyesebarationcally|NULL|NULL|NULL|455.010101010101
callyesebarationcally|edu packamalgamalg #16|NULL|NULL|455.010101010101
callyesebarationcally|edu packamalgamalg #16|automotive|NULL|455.010101010101
callyesebarationcally|edu packamalgamalg #16|automotive|Electronics|455.010101010101
ationantiationprin st|NULL|NULL|NULL|455.286
ationantiationprin st|maxibrand #8|NULL|NULL|455.286
ationantiationprin st|maxibrand #8|mattresses|NULL|455.286
ationantiationprin st|maxibrand #8|mattresses|Home|455.286
n stcallyoughtprin st|NULL|NULL|NULL|455.56935817805385
n stcallyoughtprin st|importoamalg #2|NULL|NULL|455.56935817805385
n stcallyoughtprin st|importoamalg #2|fragrances|NULL|455.56935817805385
n stcallyoughtprin st|importoamalg #2|fragrances|Women|455.56935817805385
prieseprin st|NULL|NULL|NULL|455.6363636363636
prieseprin st|edu packscholar #2|NULL|NULL|455.6363636363636
prieseprin st|edu packscholar #2|classical|NULL|455.6363636363636
prieseprin st|edu packscholar #2|classical|Music|455.6363636363636
callypricallybarable|NULL|NULL|NULL|455.6565040650407
callypricallybarable|importoedu pack #1|NULL|NULL|455.6565040650407
callypricallybarable|importoedu pack #1|mens|NULL|455.6565040650407
callypricallybarable|importoedu pack #1|mens|Shoes|455.6565040650407
n stn steseableable|NULL|NULL|NULL|455.679012345679
n stn steseableable|importoimporto #2|NULL|NULL|455.679012345679
n stn steseableable|importoimporto #2|shirts|NULL|455.679012345679
n stn steseableable|importoimporto #2|shirts|Men|455.679012345679
antiablecallyeingese|NULL|NULL|NULL|456.05389221556885
antiablecallyeingese|exportiamalg #2|NULL|NULL|456.05389221556885
antiablecallyeingese|exportiamalg #2|maternity|NULL|456.05389221556885
antiablecallyeingese|exportiamalg #2|maternity|Women|456.05389221556885
prioughtbarcallypri|NULL|NULL|NULL|456.0565656565657
prioughtbarcallypri|edu packamalg #2|NULL|NULL|456.0565656565657
prioughtbarcallypri|edu packamalg #2|swimwear|NULL|456.0565656565657
prioughtbarcallypri|edu packamalg #2|swimwear|Women|456.0565656565657
eingbarn stantiese|NULL|NULL|NULL|456.17835671342687
eingbarn stantiese|importoimporto #1|NULL|NULL|456.17835671342687
eingbarn stantiese|importoimporto #1|shirts|NULL|456.17835671342687
eingbarn stantiese|importoimporto #1|shirts|Men|456.17835671342687
n steingn stprin st|NULL|NULL|NULL|456.39350912778906
n steingn stprin st|edu packbrand #10|NULL|NULL|456.39350912778906
n steingn stprin st|edu packbrand #10|curtains/drapes|NULL|456.39350912778906
n steingn stprin st|edu packbrand #10|curtains/drapes|Home|456.39350912778906
ableantibarcallyese|NULL|NULL|NULL|456.3963414634146
ableantibarcallyese|univnameless #3|NULL|NULL|456.3963414634146
ableantibarcallyese|univnameless #3|flatware|NULL|456.3963414634146
ableantibarcallyese|univnameless #3|flatware|Home|456.3963414634146
n stationeingbarese|NULL|NULL|NULL|456.6830265848671
n stationeingbarese|amalgcorp #8|NULL|NULL|456.6830265848671
n stationeingbarese|amalgcorp #8|birdal|NULL|456.6830265848671
n stationeingbarese|amalgcorp #8|birdal|Jewelry|456.6830265848671
pripriableprically|NULL|NULL|NULL|456.98192771084337
pripriableprically|edu packamalg #2|NULL|NULL|456.98192771084337
pripriableprically|edu packamalg #2|swimwear|NULL|456.98192771084337
pripriableprically|edu packamalg #2|swimwear|Women|456.98192771084337
eingprioughteseought|NULL|NULL|NULL|457.35258964143424
eingprioughteseought|importobrand #3|NULL|NULL|457.35258964143424
eingprioughteseought|importobrand #3|costume|NULL|457.35258964143424
eingprioughteseought|importobrand #3|costume|Jewelry|457.35258964143424
