i_category|i_class|i_brand|s_store_name|s_company_name|d_moy|sum_sales|avg_monthly_sales
Women|dresses|amalgamalg #1|cally|Unknown|2|19233.37|33616.40833333333
Men|shirts|importoimporto #1|cally|Unknown|7|19278.28|33592.87666666666
Women|dresses|amalgamalg #1|cally|Unknown|4|19388.30|33616.40833333333
Men|shirts|importoimporto #1|eing|Unknown|5|24616.92|38650.2625
Men|shirts|importoimporto #1|ese|Unknown|1|25335.82|39339.64916666667
Men|shirts|importoimporto #1|cally|Unknown|6|19946.46|33592.87666666666
Men|shirts|importoimporto #1|cally|Unknown|5|20093.07|33592.87666666666
Women|dresses|amalgamalg #1|cally|Unknown|7|20759.96|33616.40833333333
Men|shirts|importoimporto #1|cally|Unknown|4|20913.20|33592.87666666666
Women|dresses|amalgamalg #1|ese|Unknown|1|26606.79|38997.91416666667
Women|dresses|amalgamalg #1|bar|Unknown|1|26211.29|38259.79416666667
Women|dresses|amalgamalg #1|able|Unknown|1|26939.91|38549.21
Men|shirts|importoimporto #1|eing|Unknown|1|27213.76|38650.2625
Women|dresses|amalgamalg #1|cally|Unknown|1|22405.56|33616.40833333333
Women|dresses|amalgamalg #1|ought|Unknown|3|11225.82|21816.546666666665
Women|dresses|amalgamalg #1|ation|Unknown|5|11746.04|22132.6825
Men|shirts|importoimporto #1|bar|Unknown|1|27723.63|38049.47583333333
Men|shirts|importoimporto #1|ation|Unknown|2|11490.51|21788.4675
Women|dresses|amalgamalg #2|eing|Unknown|2|10292.65|20485.199166666665
Women|dresses|amalgamalg #1|ation|Unknown|2|12020.54|22132.6825
Men|shirts|importoimporto #1|able|Unknown|1|27573.11|37432.59
Women|dresses|amalgamalg #1|ought|Unknown|2|11976.59|21816.546666666665
Women|dresses|amalgamalg #1|ought|Unknown|7|12095.64|21816.546666666665
Men|shirts|importoimporto #1|ought|Unknown|5|12375.19|22038.2225
Women|dresses|amalgamalg #2|bar|Unknown|5|10531.21|20153.636666666665
Men|shirts|importoimporto #1|ought|Unknown|2|12419.27|22038.2225
Men|shirts|importoimporto #1|cally|Unknown|1|23984.84|33592.87666666666
Women|dresses|amalgamalg #2|eing|Unknown|4|10913.05|20485.199166666665
Men|shirts|importoimporto #1|ation|Unknown|4|12222.04|21788.4675
Women|dresses|amalgamalg #2|eing|Unknown|6|10937.98|20485.199166666665
Women|dresses|amalgamalg #2|eing|Unknown|3|10945.75|20485.199166666665
Women|dresses|amalgamalg #1|eing|Unknown|1|29000.89|38539.45583333333
Men|shirts|importoimporto #1|ought|Unknown|7|12528.92|22038.2225
Women|dresses|amalgamalg #2|able|Unknown|4|10737.82|20244.975833333334
Women|dresses|amalgamalg #2|able|Unknown|2|10840.27|20244.975833333334
Women|dresses|amalgamalg #2|able|Unknown|3|10879.01|20244.975833333334
Women|dresses|amalgamalg #1|ation|Unknown|4|12797.32|22132.6825
Men|shirts|importoimporto #1|ought|Unknown|4|12758.89|22038.2225
Women|dresses|amalgamalg #2|able|Unknown|6|10996.35|20244.975833333334
Women|dresses|amalgamalg #1|ought|Unknown|4|12589.45|21816.546666666665
Men|shirts|importoimporto #2|eing|Unknown|4|8774.36|17987.34
Men|shirts|importoimporto #1|ought|Unknown|6|12910.10|22038.2225
Men|shirts|importoimporto #1|ation|Unknown|5|12731.66|21788.4675
Men|shirts|importoimporto #2|able|Unknown|4|8638.11|17639.474166666667
Women|dresses|amalgamalg #1|ation|Unknown|3|13184.92|22132.6825
Women|dresses|amalgamalg #1|ought|Unknown|6|12903.49|21816.546666666665
Men|shirts|importoimporto #1|ation|Unknown|6|12969.52|21788.4675
Women|dresses|amalgamalg #1|ation|Unknown|7|13329.86|22132.6825
