ss_sold_year|ss_item_sk|ss_customer_sk|ratio|store_qty|store_wholesale_cost|store_sales_price|other_chan_qty|other_chan_wholesale_cost|other_chan_sales_price
2000|8342|107795|2.04|98|5.59|3.22|48|4.81|5.77
2000|8429|481620|1.19|87|13.22|18.19|73|63.30|171.54
2000|8465|240698|0.78|71|76.35|91.85|91|9.71|14.78
2000|8942|333985|0.77|23|18.47|13.21|30|37.21|56.20
2000|9044|137302|0.41|32|73.42|121.48|78|43.10|71.15
2000|9053|180325|0.61|35|20.64|4.74|57|69.03|133.82
2000|9071|269352|4.37|83|54.34|37.28|19|19.12|3.28
2000|9164|476888|0.33|29|14.67|13.63|88|63.72|70.03
2000|9167|458977|0.85|53|7.21|3.87|62|74.61|153.43
2000|9331|147862|34.0|34|37.13|0.00|1|13.56|16.36
2000|9332|339725|0.63|46|47.33|61.39|73|59.68|5.37
2000|9404|286413|4.38|92|20.85|17.25|21|55.73|80.00
2000|9569|405453|12.0|48|14.18|0.14|4|80.32|53.52
2000|9577|72135|0.51|31|11.19|12.35|61|15.69|2.70
2000|9740|300392|1.35|100|5.60|0.71|74|43.52|55.58
2000|9781|264284|0.52|40|96.30|22.34|77|8.75|0.80
2000|9791|312344|0.99|77|10.73|7.02|78|76.00|39.03
2000|10057|74997|1.49|70|66.25|27.21|47|28.31|59.09
2000|10129|379652|4.58|55|52.83|24.97|12|44.01|10.74
2000|10255|310023|0.4|4|83.60|31.69|10|72.11|67.41
2000|10514|228079|3.94|67|25.88|20.02|17|93.74|59.59
2000|10801|253859|1.86|13|82.41|110.42|7|75.06|66.20
2000|10874|133567|0.68|42|44.41|66.45|62|55.01|96.92
2000|11057|458991|0.59|17|45.46|74.35|29|89.09|90.39
2000|11105|415031|0.47|34|8.89|5.86|72|53.40|40.55
2000|11113|323202|1.48|68|4.88|2.44|46|46.10|58.21
2000|11315|490075|1.8|83|24.12|19.04|46|33.75|28.70
2000|11483|45457|1.23|76|34.76|28.67|62|57.32|24.57
2000|11666|347675|NULL|NULL|NULL|NULL|20|13.68|12.78
2000|11738|364891|1.78|71|8.10|9.39|40|58.93|16.14
2000|11855|415859|0.76|28|79.16|53.52|37|36.24|35.48
2000|12179|213964|2.48|72|27.65|31.31|29|81.88|53.18
2000|12451|205639|1.0|65|9.97|2.13|65|79.90|88.87
2000|12487|99327|NULL|NULL|13.02|NULL|43|83.81|15.47
2000|12947|99345|1.16|67|11.52|5.30|58|77.53|43.32
2000|13031|454219|1.0|63|76.15|12.71|63|69.39|13.21
2000|13055|211485|0.14|11|72.52|107.31|76|8.53|8.10
2000|13076|190458|2.97|92|7.64|6.21|31|89.49|51.54
2000|13207|393839|0.04|3|84.77|13.14|84|1.06|0.87
2000|13256|331802|0.03|2|8.30|4.86|79|75.48|24.56
2000|13483|7691|3.91|43|6.63|4.77|11|27.09|7.11
2000|13712|59131|2.56|41|9.22|6.55|16|2.15|1.02
2000|14057|128055|0.72|65|70.51|96.17|90|36.21|58.14
2000|14198|453194|0.96|93|34.84|21.32|97|29.06|21.61
2000|14384|434260|0.04|1|8.04|5.35|23|78.05|59.20
