c_name|c_custkey|o_orderkey|o_orderdate|o_totalprice|sum(l_quantity)
"Customer#000212452"|212452|23245603|1994-11-22|504070.63|321.00
"Customer#000602488"|602488|43980355|1994-09-22|503468.79|312.00
"Customer#000266747"|266747|41274690|1992-08-10|503260.49|317.00
"Customer#000896006"|896006|24923202|1993-10-04|503198.09|316.00
"Customer#000514688"|514688|15572326|1995-02-26|503145.69|309.00
"Customer#001274600"|1274600|30728833|1994-01-05|502908.12|306.00
"Customer#000180970"|180970|28378659|1997-03-21|502856.99|303.00
"Customer#001235618"|1235618|14891232|1992-05-30|502746.90|311.00
"Customer#000391210"|391210|26587169|1996-01-19|502318.70|306.00
"Customer#001493087"|1493087|38422560|1994-04-17|502119.94|305.00
"Customer#001143101"|1143101|52415075|1996-05-10|501221.45|312.00
"Customer#000954800"|954800|42359809|1996-03-09|500726.71|305.00
"Customer#000018472"|18472|22291718|1992-09-03|500694.69|306.00
"Customer#001000024"|1000024|59057792|1993-12-30|500422.55|314.00
"Customer#000569749"|569749|33002339|1993-10-09|499928.12|306.00
"Customer#000117275"|117275|8506019|1992-12-16|499719.70|306.00
"Customer#000655072"|655072|46777222|1993-06-27|499565.93|314.00
"Customer#000647701"|647701|14614786|1997-08-28|499464.65|306.00
"Customer#000125987"|125987|4259524|1998-02-12|498390.39|304.00
"Customer#000138238"|138238|43491654|1992-05-20|498276.78|308.00
"Customer#000035656"|35656|2329187|1998-01-04|497858.67|304.00
"Customer#000518995"|518995|15104033|1995-02-03|497743.61|308.00
"Customer#001410662"|1410662|33414662|1996-05-07|497540.55|310.00
"Customer#001422388"|1422388|51409728|1996-03-12|497139.69|306.00
"Customer#000828802"|828802|10678725|1992-12-07|497072.66|309.00
"Customer#001291849"|1291849|31192034|1993-09-05|497050.74|309.00
"Customer#000607090"|607090|34181762|1992-03-25|496418.69|309.00
"Customer#000242576"|242576|43438883|1992-11-27|496298.09|314.00
"Customer#000689971"|689971|11120293|1995-08-08|496190.55|311.00
"Customer#000776071"|776071|39154146|1992-12-03|496189.68|305.00
"Customer#000027808"|27808|32161635|1992-08-06|496173.99|309.00
"Customer#000166589"|166589|46685344|1993-12-14|496075.11|327.00
"Customer#001265035"|1265035|12845285|1993-05-25|495963.43|304.00
"Customer#000385288"|385288|51929955|1993-04-19|495841.65|304.00
"Customer#000903416"|903416|22789733|1997-06-18|494910.15|303.00
"Customer#000961012"|961012|5984582|1992-03-16|494315.92|312.00
"Customer#000608233"|608233|28092902|1997-03-23|494174.42|306.00
"Customer#001000373"|1000373|18200676|1994-06-22|494028.41|307.00
"Customer#000414544"|414544|33162084|1994-02-15|493935.58|304.00
"Customer#000149107"|149107|52357185|1993-04-06|493715.64|307.00
"Customer#000895330"|895330|21312615|1995-12-08|493501.75|303.00
