s_acctbal|s_name|n_name|p_partkey|p_mfgr|s_address|s_phone|s_comment
9918.88|"Supplier#000082683"|UNITED KINGDOM|1932644|"Manufacturer#1"|a9TtrspI23BhQv|33-114-482-3385|he carefully final attainments. slyly unusual platelets haggle enticingly. doggedly bold pinto bean
9915.38|"Supplier#000006085"|ROMANIA|1506084|"Manufacturer#5"|8XhxUTe6JiQYJB7dXLSclk|29-528-113-9241|y bold foxes? regular, express deposits boost s
9909.28|"Supplier#000066602"|GERMANY|1341588|"Manufacturer#2"|kgRBv2QRMiK6xQyqGN8ktACPgv8v7FjrJ0kD33|17-803-997-4487|ronic pinto beans. final, regular requests i
9909.28|"Supplier#000066602"|GERMANY|1791550|"Manufacturer#3"|kgRBv2QRMiK6xQyqGN8ktACPgv8v7FjrJ0kD33|17-803-997-4487|ronic pinto beans. final, regular requests i
9902.07|"Supplier#000075736"|RUSSIA|650729|"Manufacturer#2"|ZqyqjCSo5uvwP5pnw,v7Iaduy9RRjFi|32-923-189-5079|al requests boost along the furiously unusual ac
9900.50|"Supplier#000059434"|UNITED KINGDOM|59433|"Manufacturer#3"|ISzYUl1WmlVwsARDi9zzCiYsys6zzy|33-696-691-9604|sly above the blithely bold exc
9898.61|"Supplier#000059419"|FRANCE|1509388|"Manufacturer#2"|psDrWuBWplcXONcSg5BOn5gLlX|16-660-798-1130| enticingly even requests wake even asymptotes. furiously even deposits affix iro
9897.41|"Supplier#000017795"|UNITED KINGDOM|667782|"Manufacturer#5"|rVQZFDw20tbC8jQ3CDVOlKCZF|33-398-227-1033|sits against the unusual packages run furiously even, even deposits. instructions cajole care
9892.10|"Supplier#000042566"|RUSSIA|992547|"Manufacturer#2"|QBfoIp5vFUyu29|32-550-577-4769|counts. busy requests about the foxes serve carefully final requests. even, expr
9892.10|"Supplier#000042566"|RUSSIA|1217553|"Manufacturer#5"|QBfoIp5vFUyu29|32-550-577-4769|counts. busy requests about the foxes serve carefully final requests. even, expr
9888.93|"Supplier#000090097"|RUSSIA|515081|"Manufacturer#1"|vrcaS3r76mtxi|32-748-779-9791|e blithely quickly close accounts.
9884.84|"Supplier#000082184"|UNITED KINGDOM|1907126|"Manufacturer#2"|Z6dvFXqyGD|33-406-348-8224|ckly ironic deposits across the blithely regular requests hind
9884.20|"Supplier#000068361"|GERMANY|1968360|"Manufacturer#2"|f9Mw,K7P9R3Vumb71ueYT|17-385-307-2876|refully regular requests sho
9880.10|"Supplier#000042667"|GERMANY|817658|"Manufacturer#5"|XLa1pUfVM1o5z|17-847-751-8418|usly dogged accounts nag among the slyl
9878.75|"Supplier#000028803"|RUSSIA|1478774|"Manufacturer#1"|MZEbQZyzY77oP1R75ExnyxYF3gKL27c|32-220-759-7420|the regularly special notornis wake across the dogged, permanent accounts. brave
9878.75|"Supplier#000028803"|RUSSIA|1703785|"Manufacturer#4"|MZEbQZyzY77oP1R75ExnyxYF3gKL27c|32-220-759-7420|the regularly special notornis wake across the dogged, permanent accounts. brave
9875.72|"Supplier#000073719"|FRANCE|1898664|"Manufacturer#2"|cIcvrIyK1u1l3HrJQ6udFu5mt6CTTiI2AqoPHG|16-823-901-3878|eans shall have to sleep. carefully express theodolites doubt sl
9874.90|"Supplier#000040624"|GERMANY|140623|"Manufacturer#1"|X8,7Xe38mlkY5sAjvGwPjyEXMmlM,I5BvP5,R8ls|17-233-896-4431|uriously quickly regular packages. sl
9873.90|"Supplier#000058391"|GERMANY|508380|"Manufacturer#3"|mqrWVj0ArcoqOiu5mmWrlP0EZCVMl4ZzoCOGofz|17-311-740-7234|leep after the final deposits. carefully final requests serve cour
9872.81|"Supplier#000097316"|ROMANIA|272313|"Manufacturer#4"|PhTk,CLf74dqBWamyGzEFk9Zo8oi|29-726-802-1880|nic requests wake regular ideas. slyly express courts run
9871.22|"Supplier#000006373"|GERMANY|556362|"Manufacturer#5"|iSLO35z7Ae|17-813-485-8637|against the slyly daring requests. unusual accounts wake atop the blithely spe
9870.58|"Supplier#000027835"|ROMANIA|1977796|"Manufacturer#3"|AadFh5ynCy4mSkgWl3in1HPG5 9lpSU161th|29-103-673-6501|r foxes. blithe packages nag accordin
9869.98|"Supplier#000081446"|FRANCE|556440|"Manufacturer#1"|vaDD5LxrbL6C|16-912-320-8438|usly final pinto beans accordi
9869.66|"Supplier#000016553"|ROMANIA|291550|"Manufacturer#4"|fpwUuQP5FfJIRvRQVxpC|29-212-862-7077|alongside of the special, regular packages are quickly along the fluffily ironic packages. blithely 
9868.44|"Supplier#000062507"|ROMANIA|1862506|"Manufacturer#5"|,NMbbll422h|29-895-360-4525|usly even deposits sleep according to the regular, special requests. closely final ideas ar
9865.69|"Supplier#000011713"|ROMANIA|511712|"Manufacturer#1"|tYZ2RSX,z98z7KcjCrCEg7L4NN 3SYo5Nb5 Kz|29-368-999-1073|oss the final deposits. carefully ironic theodolites are final instructions. blithely regul
9860.62|"Supplier#000022993"|ROMANIA|1447950|"Manufacturer#4"|cairg0SMYHz0BLjajsdZ1FJ2X6GvFL|29-602-372-7262|unts detect slyly according to the quickly regular
9860.24|"Supplier#000029047"|FRANCE|154043|"Manufacturer#2"|S2c7j2 5H4QiUDl,b|16-229-827-8211|deposits. quickly special packages affix blithely a
9859.93|"Supplier#000052771"|ROMANIA|602758|"Manufacturer#5"|ANltjtVl5ZmoIYHFllo1rbFbtkruMwJCp|29-926-286-5299|furiously special ideas boost. ironic sauternes haggle slyly after the fur
9856.43|"Supplier#000045738"|UNITED KINGDOM|645737|"Manufacturer#3"|BNTHQl7LQu4rlJQFASWqRK23wYiA6,DimHpp|33-394-523-3413|nal, bold requests cajole sly
9852.52|"Supplier#000008973"|RUSSIA|483968|"Manufacturer#3"|zVfUT3Np22kUC05tYWHBotaR|32-188-594-7038|ly daring excuses unwind carefully above the fu
9850.90|"Supplier#000066053"|UNITED KINGDOM|441048|"Manufacturer#1"|p0i4MU9Bkr5jNKY28|33-766-582-8615|manent accounts detect final foxes. regular instruct
9850.90|"Supplier#000066053"|UNITED KINGDOM|916034|"Manufacturer#3"|p0i4MU9Bkr5jNKY28|33-766-582-8615|manent accounts detect final foxes. regular instruct
9850.15|"Supplier#000062925"|FRANCE|512914|"Manufacturer#2"|R3gNGKOynpGK0|16-757-400-1683|ording to the express requests. even, final accounts 
9849.09|"Supplier#000034097"|FRANCE|609090|"Manufacturer#1"|c962ZAIoroF1FR,B,qmF|16-172-883-1928|ully pending dependencies doubt slyly blithely ironic accounts. slyly pending foxes impress qui
9849.06|"Supplier#000021254"|GERMANY|1796236|"Manufacturer#5"|Sa0iy9WBFA49TjokGkXbHEVpe|17-623-110-6693|old dugouts. slyly even instructions print 
9848.73|"Supplier#000091096"|UNITED KINGDOM|1566080|"Manufacturer#3"|IE 1FEZ40397ur9QvA0d,M9S|33-848-379-3222|ounts. regular packages use furiously. pla
9846.72|"Supplier#000062848"|UNITED KINGDOM|1937828|"Manufacturer#1"|40uycaPyPKdgLyfOAKIKhpNHlbKbB 50kk|33-325-481-7818|yly thin foxes haggle. quick accounts integrate. pending deposits cajole carefully. carefully exp
9837.53|"Supplier#000005414"|RUSSIA|1905413|"Manufacturer#3"|unfEkXPu2q,IwI1UZbGmzsOnCq,g7|32-204-830-9105|along the ironic, even requests; quietly final deposits
9837.43|"Supplier#000046552"|FRANCE|1121540|"Manufacturer#2"|1OKMtH8,ZNI66RVtfeYjCM|16-424-132-3669|s. pearls are furiously daringly bold accounts. furiousl
9835.16|"Supplier#000029961"|UNITED KINGDOM|754939|"Manufacturer#4"|LjAYzlKDg1G|33-411-329-7177|o beans cajole slyly regular depende
9831.95|"Supplier#000057380"|ROMANIA|1682331|"Manufacturer#5"|di8qFeJCQOccu|29-915-260-4712|final, pending deposits haggle tow
9825.33|"Supplier#000089770"|ROMANIA|1414727|"Manufacturer#3"|a,xZZBvkfn8CSeTz|29-209-173-8510|ending requests use slyly after the even ins
9824.72|"Supplier#000072517"|ROMANIA|1097486|"Manufacturer#2"|dlvXEZuV7cY7tfNfblETF7YSII4Cj1qb6V4Vyt|29-615-917-5641|ges are blithely after the bold theodolites. 
9822.22|"Supplier#000003440"|UNITED KINGDOM|1978420|"Manufacturer#2"|SX8VBEyE4Jwr9U6X1nr9da0YKjZTPX|33-495-208-7899|urts. special accounts use quickly.
9818.98|"Supplier#000060094"|GERMANY|1110071|"Manufacturer#4"|cSo hFn7YFJJm|17-293-298-6268|blithely regular foxes. silently regular packages boost? furiously careful pack
9814.50|"Supplier#000019945"|ROMANIA|894936|"Manufacturer#1"|s2U2O5ONgX, 7culq2q0D1gKQDtspbLa|29-732-301-5529|ular theodolites use. careful
9813.27|"Supplier#000055123"|ROMANIA|1480080|"Manufacturer#1"|QnIiustd93PIKICa4Eduov5rgCXPZTZts2W|29-736-401-5608| quickly special orbits haggle quietly carefully final braids;
9809.56|"Supplier#000078281"|FRANCE|778280|"Manufacturer#4"|RVseoVKzcWNxW,unkCEBCRmkVqOwY|16-497-471-5554| blithely final packages eat care
9808.25|"Supplier#000012649"|ROMANIA|1162626|"Manufacturer#1"|fN64kCIPh2sxQEmyJwB4tKtstoDr6uGSa2GOoAP6|29-622-551-4334|ly. furiously even pinto beans eat slyly agains
9807.53|"Supplier#000000437"|GERMANY|1000436|"Manufacturer#1"|kxAiG0 gWtpUuVPN0O7Fc lAAqoj2L|17-652-134-3031|deposits. carefully silent instructi
9801.15|"Supplier#000089681"|RUSSIA|1339654|"Manufacturer#5"|vpxtZlvKIV ,fi2DbYA6U2TApyZ1xEcGfexMzp|32-947-140-8833|ve the fluffily pending excuses. carefull
9799.89|"Supplier#000059082"|GERMANY|1934062|"Manufacturer#2"|z rOv  rdWJB|17-243-631-5701|nts hinder slyly along the carefully unusual theodolites. fluffily regular notornis play blithel
9793.99|"Supplier#000020982"|ROMANIA|170979|"Manufacturer#4"| h18i7FG6TGa3OyBED4cWi3fl|29-164-384-7339|lar requests. slyly final theodolites cajole bli
9793.99|"Supplier#000020982"|ROMANIA|1095971|"Manufacturer#4"| h18i7FG6TGa3OyBED4cWi3fl|29-164-384-7339|lar requests. slyly final theodolites cajole bli
9789.61|"Supplier#000034881"|GERMANY|284876|"Manufacturer#4"|6OXnDv,evE0W2q9|17-237-600-1480|ously pending accounts print after the requests. s
9788.73|"Supplier#000083261"|FRANCE|1258248|"Manufacturer#4"|,MCLWjlWut4ImK P0lOf6T8jL|16-653-115-5484|nto beans. quickly pending requests cajole again
9784.65|"Supplier#000099527"|FRANCE|624508|"Manufacturer#4"|Vr9OKI13Ow0nSvYu2|16-658-692-3768| quickly regular theodolites. regular requests are above the blithely final dependencies. slowly
9777.85|"Supplier#000044409"|GERMANY|1419394|"Manufacturer#5"|JJcXwCQ1Ow3oBCT,KReCTpPbJTv|17-739-859-5666|er the carefully express theodolites. carefully ironic deposi
9777.75|"Supplier#000030124"|RUSSIA|355114|"Manufacturer#4"|xa7WyLCrmh9lBKpBBXVy6gZ0BYDSr9x|32-554-818-8924|ns wake slyly. quickly silent deposits cajole. slyly final realms cajole furi
9777.60|"Supplier#000039017"|UNITED KINGDOM|164013|"Manufacturer#1"|i3IznBvWbxzWDP3aHIDPoAFRK6C0EXnouvQ4Mi|33-324-389-9325|y up the quickly ironic platelets. blithely
9777.60|"Supplier#000039017"|UNITED KINGDOM|1188994|"Manufacturer#3"|i3IznBvWbxzWDP3aHIDPoAFRK6C0EXnouvQ4Mi|33-324-389-9325|y up the quickly ironic platelets. blithely
9777.37|"Supplier#000071253"|GERMANY|1496210|"Manufacturer#1"|33BSJiHID92|17-239-283-7205|n deposits. blithely sly deposits across
9771.20|"Supplier#000065102"|UNITED KINGDOM|1690053|"Manufacturer#2"|TPVzdXUjIjjCm6wrLFs yglw Cr|33-225-255-3440|ly carefully bold packages. unusual, unusual acc
9769.57|"Supplier#000043082"|UNITED KINGDOM|1568036|"Manufacturer#3"|fMWwvOq,K1FamSxo b|33-958-753-9986|egular deposits. ironic waters dazzle slyly about the blithely special excuses. slyly regu
9767.32|"Supplier#000073781"|FRANCE|1823744|"Manufacturer#4"|g4fHtF2BDbMZ5uhHpBPQyzCg8Z9B34614pco|16-282-344-5601|fter the final ideas. even pinto beans believe. quickly bold accounts use instructions.
9766.22|"Supplier#000066352"|GERMANY|1516321|"Manufacturer#3"|2Old wsdnGtLTbsOc,|17-427-880-3444|eposits use fluffily. ironic req
